ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
182852811-Service in Progress,182852811,2018-10-12 23:29:49,"4516 N 44TH ST,MKE",7,PROPERTY PICKUP,Service in Progress
182852845-Advised,182852845,2018-10-12 23:28:24,"5830 N 61ST ST,MKE",4,FAMILY TROUBLE,Advised
182852844-Assignment Completed,182852844,2018-10-12 23:28:06,"2538 N 39TH ST,MKE",3,BUSINESS CHECK,Assignment Completed
182852815-Service in Progress,182852815,2018-10-12 23:27:42,"7201 W SHERIDAN AV,MKE",4,RECK USE OF WEAP,Service in Progress
182852840-Service in Progress,182852840,2018-10-12 23:27:03,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Service in Progress
182852820-City Citation(s) Issued,182852820,2018-10-12 23:20:00,"N 7TH ST / W NORTH AV,MKE",5,SUBJ STOP,City Citation(s) Issued
182852727-Unable to Locate Complainant,182852727,2018-10-12 23:19:05,"2460 S 5TH PL,MKE",2,WELFARE CITIZEN,Unable to Locate Complainant
182852804-To be Filed,182852804,2018-10-12 23:11:15,"3006 S 27TH ST,MKE",6,REPORTS,To be Filed
182852783-Assignment Completed,182852783,2018-10-12 23:04:04,"3006 S 27TH ST,MKE",6,REPORTS,Assignment Completed
182852756-Advised/Referral,182852756,2018-10-12 22:57:49,"1619 S 20TH ST,MKE",2,VIOL REST ORDER,Advised/Referral
182852749-Advised,182852749,2018-10-12 22:56:31,"4588 N TEUTONIA AV,MKE",5,BATTERY,Advised
182852752-Unable to Locate Complainant,182852752,2018-10-12 22:55:20,"2623 W VINE ST,MKE",3,SHOTS FIRED,Unable to Locate Complainant
182852812-Advised,182852812,2018-10-12 23:32:59,"3439 S 26TH ST,MKE",6,NOISE NUISANCE,Advised
182852822-Service in Progress,182852822,2018-10-12 23:32:40,"3301 W LLOYD ST,MKE",3,FAMILY TROUBL-DV,Service in Progress
182852851-Assignment Completed,182852851,2018-10-12 23:31:09,"200 W NATIONAL AV,MKE",2,PATROL,Assignment Completed
182852843-Service in Progress,182852843,2018-10-12 23:30:35,"222 N 33RD ST,MKE",3,ENTRY,Service in Progress
182852841-Advised,182852841,2018-10-12 23:30:22,"3921 N 20TH ST,MKE",5,ENTRY,Advised
182852811-Assignment Completed,182852811,2018-10-12 23:29:49,"4516 N 44TH ST,MKE",7,PROPERTY PICKUP,Assignment Completed
182852815-Advised,182852815,2018-10-12 23:27:42,"7201 W SHERIDAN AV,MKE",4,RECK USE OF WEAP,Advised
182852840-Assignment Completed,182852840,2018-10-12 23:27:03,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed
182852805-To be Filed,182852805,2018-10-12 23:12:01,"7850 N 107TH ST,MKE",4,FOLLOW UP,To be Filed
182852751-Advised,182852751,2018-10-12 22:53:54,"S 45TH ST / W MONTANA ST,MKE",6,SUSP PERS/AUTO,Advised
182852870-Advised,182852870,2018-10-12 23:39:52,"3820 W MORGAN AV,MKE",6,TRAFFIC STOP,Advised
182852864-Advised,182852864,2018-10-12 23:38:40,"N MILWAUKEE ST / E WELLS ST,MKE",1,TRAFFIC STOP,Advised
182852863-To be Filed,182852863,2018-10-12 23:38:07,"4909 N 53RD ST,MKE",7,CITIZEN CONVEY,To be Filed
182852860-Service in Progress,182852860,2018-10-12 23:36:18,"1200-BLK N WATER ST,MKE",1,PARK AND WALK,Service in Progress
182852849-Service in Progress,182852849,2018-10-12 23:35:57,"2866 N 20TH ST,MKE",5,BATTERY DV,Service in Progress
182852793-Advised/Referral,182852793,2018-10-12 23:15:01,"4128 W BURLEIGH ST,MKE",7,ENTRY,Advised/Referral
182852720-Advised,182852720,2018-10-12 23:09:46,"455 E PLEASANT ST,MKE",1,NOISE NUISANCE,Advised
182852883-Service in Progress,182852883,2018-10-12 23:44:56,"749 W STATE ST,MKE",1,PRISONER TRANS,Service in Progress
182852882-Service in Progress,182852882,2018-10-12 23:44:34,"2333 N 49TH ST,MKE",3,PROPERTY PICKUP,Service in Progress
182852878-Assignment Completed,182852878,2018-10-12 23:43:48,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Assignment Completed
182852856-Service in Progress,182852856,2018-10-12 23:43:43,"3626 W FOND DU LAC AV,MKE",7,CONVEY PROPERTY,Service in Progress
182852873-Assignment Completed,182852873,2018-10-12 23:40:53,"2458 N 33RD ST,MKE",3,VACANT HOUSE CHK,Assignment Completed
182852859-Service in Progress,182852859,2018-10-12 23:40:08,"10544 W LEON TR,MKE",4,SUSP PERS/AUTO,Service in Progress
182852818-Assignment Completed,182852818,2018-10-12 23:19:54,"2600 W ATKINSON AV,MKE",5,PARK AND WALK,Assignment Completed
182852898-Assignment Completed,182852898,2018-10-12 23:49:25,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Assignment Completed
182852897-Assignment Completed,182852897,2018-10-12 23:49:22,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed
182852896-Service in Progress,182852896,2018-10-12 23:48:45,"5600 W CAPITOL DR,MKE",7,RETURN STATION,Service in Progress
182852895-Assignment Completed,182852895,2018-10-12 23:48:26,"749 W STATE ST,MKE",1,OUT OF SERVICE,Assignment Completed
182852894-Advised,182852894,2018-10-12 23:48:11,"2525 N 38TH ST,MKE",3,NOISE NUISANCE,Advised
182852891-Assignment Completed,182852891,2018-10-12 23:47:53,145 W/B LANE,4,ACC PDO,Assignment Completed
182852865-Advised,182852865,2018-10-12 23:47:38,"2963 N NEWHALL ST,MKE",1,TRBL W/SUBJ,Advised
182852861-Service in Progress,182852861,2018-10-12 23:47:11,"7116 W WARBLER CT,MKE",4,WELFARE CITIZEN,Service in Progress
182852887-Advised,182852887,2018-10-12 23:46:43,"N 35TH ST / W NASH ST,MKE",7,TRAFFIC STOP,Advised
182852886-Assignment Completed,182852886,2018-10-12 23:46:23,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed
182852874-Unable to Locate Complainant,182852874,2018-10-12 23:45:46,"N 24TH PL / W HADLEY ST,MKE",5,SUBJ WITH GUN,Unable to Locate Complainant
182852859-Assignment Completed,182852859,2018-10-12 23:40:08,"10544 W LEON TR,MKE",4,SUSP PERS/AUTO,Assignment Completed
182852773-Assignment Completed,182852773,2018-10-12 23:01:06,"3800 W CUSTER AV,MKE",4,INVESTIGATION,Assignment Completed
182852916-Assignment Completed,182852916,2018-10-12 23:54:58,"2920 N VEL R PHILLIPS AV,MKE",5,RETURN STATION,Assignment Completed
182852913-Assignment Completed,182852913,2018-10-12 23:54:53,"S 26TH ST / W EUCLID AV,MKE",6,SUSP PERS/AUTO,Assignment Completed
182852912-Unable to Locate Complainant,182852912,2018-10-12 23:54:18,"6233 S 23RD ST,MKE",6,SUSP PERS/AUTO,Unable to Locate Complainant
182852915-Assignment Completed,182852915,2018-10-12 23:54:18,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed
182852893-Service in Progress,182852893,2018-10-12 23:54:12,"1 S BREWERS WA,MKE",3,BATTERY,Service in Progress
182852862-Service in Progress,182852862,2018-10-12 23:53:56,"5817 N 41ST ST,MKE",4,SUBJ W/WEAPON-DV,Service in Progress
182852909-Service in Progress,182852909,2018-10-12 23:52:20,"245 W LINCOLN AV,MKE",2,RETURN STATION,Service in Progress
182852907-Assignment Completed,182852907,2018-10-12 23:51:38,"245 W LINCOLN AV,MKE",2,RETURN STATION,Assignment Completed
182852903-To be Filed,182852903,2018-10-12 23:50:23,"634 W NORTH AV,MKE",5,TAVERN CHECK,To be Filed
182852882-Assignment Completed,182852882,2018-10-12 23:44:34,"2333 N 49TH ST,MKE",3,PROPERTY PICKUP,Assignment Completed
182852787-Advised/Referral,182852787,2018-10-12 23:06:35,"5321 N 53RD ST,MKE",4,SUBJ WITH WEAPON,Advised/Referral
182852781-Assignment Completed,182852781,2018-10-12 23:03:04,"4715 W VLIET ST,MKE",3,REPORTS,Assignment Completed
182852867-Open Investigation,182852867,2018-10-12 23:59:21,"2720 N FREDERICK AV,MKE",1,NOISE NUISANCE,Open Investigation
182852922-Assignment Completed,182852922,2018-10-12 23:58:23,"5000 W LINCOLN AV,MKE",6,CITIZEN CONVEY,Assignment Completed
182852918-Assignment Completed,182852918,2018-10-12 23:58:16,"5283 S 13TH ST,MKE",6,VIOL REST ORDER,Assignment Completed
