ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
190362854-Assignment Completed,190362854,2019-02-05 23:29:17,"3506 S 68TH ST,MKE",6,TRBL W/SUBJ-DV,Assignment Completed
190362858-Assignment Completed,190362858,2019-02-05 23:29:05,"1836 N 52ND ST,MKE",3,INVESTIGATION,Assignment Completed
190362857-Advised,190362857,2019-02-05 23:27:47,"3364 S 20TH ST,MKE",6,TRAFFIC STOP,Advised
190362827-Service in Progress,190362827,2019-02-05 23:27:19,"N 107TH ST / W APPLETON AV,MKE",4,ACC PDO,Service in Progress
190362830-Service in Progress,190362830,2019-02-05 23:27:14,"2636 N 23RD ST,MKE",3,INJ PERSON/SICK,Service in Progress
190362849-Service in Progress,190362849,2019-02-05 23:26:56,"3133 S 92ND ST,MKE",6,TRBL W/SUBJ,Service in Progress
190362856-Service in Progress,190362856,2019-02-05 23:33:41,"1720 S 29TH ST,MKE",2,PROPERTY DAMAGE,Service in Progress
190362865-Service in Progress,190362865,2019-02-05 23:33:25,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Service in Progress
190362860-Unable to Locate Complainant,190362860,2019-02-05 23:31:04,"1812 W HIGHLAND AV,MKE",3,SHOTS FIRED,Unable to Locate Complainant
190362848-To be Filed,190362848,2019-02-05 23:21:56,"2920 N VEL R PHILLIPS AV,MKE",5,REPORTS,To be Filed
190362842-Unable to Locate Complainant,190362842,2019-02-05 23:19:21,"1109 N 18TH ST,MKE",3,SHOTS FIRED,Unable to Locate Complainant
190362813-Open Investigation,190362813,2019-02-05 23:11:09,"1073 W WINDLAKE AV,MKE",2,ENTRY AUTOS,Open Investigation
190362820-Assignment Completed,190362820,2019-02-05 23:06:17,"2920 N VEL R PHILLIPS AV,MKE",5,INVESTIGATION,Assignment Completed
190362809-To be Filed,190362809,2019-02-05 23:00:50,"3006 S 27TH ST,MKE",6,REPORTS,To be Filed
190362757-Assignment Completed,190362757,2019-02-05 22:35:53,"245 W LINCOLN AV,MKE",2,RETURN STATION,Assignment Completed
190362873-Service in Progress,190362873,2019-02-05 23:39:46,"2331 S 31ST ST,MKE",2,SUSP PERS/AUTO,Service in Progress
190362874-Assignment Completed,190362874,2019-02-05 23:38:46,"828 S 19TH ST,MKE",2,ENTRY,Assignment Completed
190362875-Assignment Completed,190362875,2019-02-05 23:37:54,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed
190362871-Assignment Completed,190362871,2019-02-05 23:37:04,"1401 W MITCHELL ST,MKE",2,BUSINESS CHECK,Assignment Completed
190362870-Service in Progress,190362870,2019-02-05 23:36:46,"W COLUMBIA ST / N TEUTONIA AV,MKE",5,VEHICLE PURSUIT,Service in Progress
190362869-Assignment Completed,190362869,2019-02-05 23:36:42,"1600 W ATKINSON AV,MKE",5,PATROL,Assignment Completed
190362868-Service in Progress,190362868,2019-02-05 23:35:49,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Service in Progress
190362878-Assignment Completed,190362878,2019-02-05 23:43:58,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Assignment Completed
190362774-Service in Progress,190362774,2019-02-05 23:41:04,"W ROOSEVELT DR / N NORWOOD PL,MKE",7,STOLEN VEHICLE,Service in Progress
190362873-Advised,190362873,2019-02-05 23:39:46,"2331 S 31ST ST,MKE",2,SUSP PERS/AUTO,Advised
190362868-Assignment Completed,190362868,2019-02-05 23:35:49,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed
190362856-Assignment Completed,190362856,2019-02-05 23:33:41,"1720 S 29TH ST,MKE",2,PROPERTY DAMAGE,Assignment Completed
190362865-Assignment Completed,190362865,2019-02-05 23:33:25,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed
190362849-Assignment Completed,190362849,2019-02-05 23:26:56,"3133 S 92ND ST,MKE",6,TRBL W/SUBJ,Assignment Completed
190362850-Assignment Completed,190362850,2019-02-05 23:24:21,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Assignment Completed
190362841-Assignment Completed,190362841,2019-02-05 23:18:09,"7600 W CAPITOL DR,MKE",7,INJ PERSON/SICK,Assignment Completed
190362705-To be Filed,190362705,2019-02-05 23:15:18,"4925 W HAMPTON AV,MKE",7,PROPERTY DAMAGE,To be Filed
190362821-To be Filed,190362821,2019-02-05 23:06:43,"5855 N 71ST ST,MKE",4,FOLLOW UP,To be Filed
190362882-Assignment Completed,190362882,2019-02-05 23:45:45,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed
190362897-Service in Progress,190362897,2019-02-05 23:54:48,"245 W LINCOLN AV,MKE",2,VEHICLE MAINT,Service in Progress
190362890-Service in Progress,190362890,2019-02-05 23:53:05,"3425 N 60TH ST,MKE",7,WELFARE CITIZEN,Service in Progress
190362892-Assignment Completed,190362892,2019-02-05 23:52:24,"749 W STATE ST,MKE",1,OUT OF SERVICE,Assignment Completed
