ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
190042900-Unable to Locate Complainant,190042900,2019-01-04 23:27:53,"1678 S 11TH ST,MKE",2,CALL FOR POLICE,Unable to Locate Complainant
190042940-Service in Progress,190042940,2019-01-04 23:27:11,"2700 W VLIET ST,MKE",3,PATROL,Service in Progress
190042861-Advised,190042861,2019-01-04 23:27:01,"1529 S 20TH ST,MKE",2,TRBL W/SUBJ-DV,Advised
190042938-Service in Progress,190042938,2019-01-04 23:26:36,"2700 W PIERCE ST,MKE",2,TRAFFIC STOP,Service in Progress
190042931-Assignment Completed,190042931,2019-01-04 23:24:18,"900 N 35TH ST,MKE",3,TRAFFIC LASER,Assignment Completed
190042912-Assignment Completed,190042912,2019-01-04 23:17:49,"3006 S 27TH ST,MKE",6,RETURN STATION,Assignment Completed
190042852-Assignment Completed,190042852,2019-01-04 22:53:18,"3224 S 16TH ST,MKE",6,HOSPITAL TO MCMH,Assignment Completed
190042842-Cleared by Arrest,190042842,2019-01-04 22:50:10,"N 26TH ST / W CAPITOL DR,MKE",5,SUBJ STOP,Cleared by Arrest
190042841-Assignment Completed,190042841,2019-01-04 22:49:50,"3626 W FOND DU LAC AV,MKE",7,INVESTIGATION,Assignment Completed
190042801-To be Filed,190042801,2019-01-04 22:32:38,"3626 W FOND DU LAC AV,MKE",7,REPORTS,To be Filed
190042957-Assignment Completed,190042957,2019-01-04 23:34:24,"2333 N 49TH ST,MKE",3,RETURN STATION,Assignment Completed
190042951-Assignment Completed,190042951,2019-01-04 23:31:47,"2200 N 40TH ST,MKE",3,PATROL,Assignment Completed
190042913-Advised,190042913,2019-01-04 23:30:49,"3006 W PIERCE ST,MKE",2,FAMILY TROUBLE,Advised
190042949-Service in Progress,190042949,2019-01-04 23:30:33,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Service in Progress
190042948-Assignment Completed,190042948,2019-01-04 23:30:31,"2333 N 49TH ST,MKE",3,RETURN STATION,Assignment Completed
190042947-City Citation(s) Issued,190042947,2019-01-04 23:30:12,"3218 W LISBON AV,MKE",3,TRAFFIC STOP,City Citation(s) Issued
190042969-Advised,190042969,2019-01-04 23:38:59,"N 30TH ST / W HAMPTON AV,MKE",5,TRAFFIC STOP,Advised
190042965-Assignment Completed,190042965,2019-01-04 23:37:55,"3006 S 27TH ST,MKE",6,REPORTS,Assignment Completed
