ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
182612756-Assignment Completed,182612756,2018-09-18 23:27:06,"2333 N 49TH ST,MKE",3,PROPERTY PICKUP,Assignment Completed
182612754-Advised,182612754,2018-09-18 23:26:35,"3022 W WISCONSIN AV,MKE",3,WELFARE CITIZEN,Advised
182612753-Service in Progress,182612753,2018-09-18 23:26:32,"10130 W APPLETON AV,MKE",4,BUSINESS CHECK,Service in Progress
182612742-Service in Progress,182612742,2018-09-18 23:26:10,"W NATIONAL AV / S CESAR E CHAVEZ DR,MKE",2,WELFARE CITIZEN,Service in Progress
182612713-Advised/Referral,182612713,2018-09-18 23:23:31,"2766 N 44TH ST,MKE",7,BATTERY DV,Advised/Referral
182612743-Assignment Completed,182612743,2018-09-18 23:22:13,"2522 N 50TH ST,MKE",3,FIRE,Assignment Completed
182612730-Assignment Completed,182612730,2018-09-18 23:14:37,"E CAPITOL DR / N HUMBOLDT BL,MKE",5,INVESTIGATION,Assignment Completed
182612695-To be Filed,182612695,2018-09-18 23:14:33,"6527 W FLORIST AV,MKE",4,TRBL W/SUBJ,To be Filed
182612725-Unable to Locate Complainant,182612725,2018-09-18 23:12:00,"621 N 9TH ST,MKE",1,CALL FOR POLICE,Unable to Locate Complainant
182612702-Assignment Completed,182612702,2018-09-18 22:58:31,"N 37TH ST / W NORTH AV,MKE",3,INVESTIGATION,Assignment Completed
182612554-Advised,182612554,2018-09-18 22:57:01,"1225 W LINCOLN AV,MKE",2,THEFT,Advised
182612749-Assignment Completed,182612749,2018-09-18 23:35:00,"3459 N HUBBARD ST,MKE",5,SUSP PERS/AUTO,Assignment Completed
182612762-Service in Progress,182612762,2018-09-18 23:33:22,"7924 W APPLETON AV,MKE",7,BATTERY DV,Service in Progress
182612766-Service in Progress,182612766,2018-09-18 23:31:43,"N 107TH ST / W BROWN DEER RD,MKE",4,RECKLESS VEHICLE,Service in Progress
182612765-Assignment Completed,182612765,2018-09-18 23:31:04,"3006 S 27TH ST,MKE",6,RETURN STATION,Assignment Completed
182612755-To be Filed,182612755,2018-09-18 23:30:20,"1719 W KEEFE AV,MKE",5,SHOTSPOTTER,To be Filed
182612753-Assignment Completed,182612753,2018-09-18 23:26:32,"10130 W APPLETON AV,MKE",4,BUSINESS CHECK,Assignment Completed
182612746-Assignment Completed,182612746,2018-09-18 23:22:58,"2393 N 14TH ST,MKE",3,BATTERY DV,Assignment Completed
182612743-Open Investigation,182612743,2018-09-18 23:22:13,"2522 N 50TH ST,MKE",3,FIRE,Open Investigation
182612735-To be Filed,182612735,2018-09-18 23:16:27,"3006 S 27TH ST,MKE",6,REPORTS,To be Filed
182612686-Advised,182612686,2018-09-18 23:12:45,"6700 W APPLETON AV,MKE",7,FAMILY TROUBL-DV,Advised
