ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
183403047-Assignment Completed,183403047,2018-12-06 23:26:53,"1300 W LAYTON AV,MKE",6,BUSINESS CHECK,Assignment Completed
183403045-City Citation(s) Issued,183403045,2018-12-06 23:25:31,"651 S LAYTON BL,MKE",2,TRAFFIC STOP,City Citation(s) Issued
183403041-Assignment Completed,183403041,2018-12-06 23:24:14,"3952 N 76TH ST,MKE",7,BUSINESS CHECK,Assignment Completed
183403034-Unable to Locate Complainant,183403034,2018-12-06 23:23:05,"N 48TH ST / W MEINECKE AV,MKE",3,FIGHT,Unable to Locate Complainant
183403037-Assignment Completed,183403037,2018-12-06 23:22:18,"3006 S 27TH ST,MKE",6,POLICE ADMIN,Assignment Completed
183403009-Advised/Referral,183403009,2018-12-06 23:11:31,"S 24TH ST / W SCOTT ST,MKE",2,PROPERTY DAMAGE,Advised/Referral
183403016-Assignment Completed,183403016,2018-12-06 23:10:34,"200 W CAPITOL DR,MKE",5,TRAFFIC LASER,Assignment Completed
183403011-Assignment Completed,183403011,2018-12-06 23:08:53,"3006 S 27TH ST,MKE",6,POLICE ADMIN,Assignment Completed
183402934-Assignment Completed,183402934,2018-12-06 23:03:25,"2301 N LAKE DR,MKE",1,INJ PERSON/SICK,Assignment Completed
183402996-Assignment Completed,183402996,2018-12-06 23:02:50,"N 64TH ST / W CARMEN AV,MKE",4,INVESTIGATION,Assignment Completed
183402995-Assignment Completed,183402995,2018-12-06 23:02:31,"N 76TH ST / W CAPITOL DR,MKE",7,PARK AND WALK,Assignment Completed
183402966-Assignment Completed,183402966,2018-12-06 22:58:35,"2113 S LAYTON BL,MKE",2,NOISE NUISANCE,Assignment Completed
183402973-To be Filed,183402973,2018-12-06 22:51:33,"245 W LINCOLN AV,MKE",2,REPORTS,To be Filed
183403066-Service in Progress,183403066,2018-12-06 23:34:47,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Service in Progress
183402921-Unable to Locate Complainant,183402921,2018-12-06 23:34:03,"1254 N 35TH ST,MKE",3,TRBL W/SUBJ,Unable to Locate Complainant
183403061-Service in Progress,183403061,2018-12-06 23:32:47,"N 41ST ST / W CAPITOL DR,MKE",7,TRAFFIC STOP,Service in Progress
183403059-Assignment Completed,183403059,2018-12-06 23:32:04,"700 S 2ND ST,MKE",2,TAVERN CHECK,Assignment Completed
183403058-Assignment Completed,183403058,2018-12-06 23:31:24,"N TEUTONIA AV / W CENTER ST,MKE",3,NON PURSUIT NO P,Assignment Completed
183403052-Service in Progress,183403052,2018-12-06 23:31:15,"N 26TH ST / W MEINECKE AV,MKE",3,BATTERY,Service in Progress
183403057-Assignment Completed,183403057,2018-12-06 23:31:01,"749 W STATE ST,MKE",1,OUT OF SERVICE,Assignment Completed
183403053-Advised,183403053,2018-12-06 23:30:29,"2732 N 15TH ST,MKE",5,INVESTIGATION,Advised
183403050-Assignment Completed,183403050,2018-12-06 23:30:15,"110 E LAYTON AV,MKE",6,BUSINESS CHECK,Assignment Completed
183402960-Assignment Completed,183402960,2018-12-06 22:45:25,"10914 W FAIRMOUNT AV,MKE",4,FOLLOW UP,Assignment Completed
183403075-Assignment Completed,183403075,2018-12-06 23:39:46,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed
183403070-Assignment Completed,183403070,2018-12-06 23:37:31,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed
183403062-Assignment Completed,183403062,2018-12-06 23:36:37,"3232 N 15TH ST,MKE",5,BATTERY CUTTING,Assignment Completed
183402924-Service in Progress,183402924,2018-12-06 23:36:27,"2333 N 49TH ST,MKE",3,PRISONER TRANS,Service in Progress
183403048-Service in Progress,183403048,2018-12-06 23:35:22,"924 E JUNEAU AV,MKE",1,THEFT,Service in Progress
183403061-Advised,183403061,2018-12-06 23:32:47,"N 41ST ST / W CAPITOL DR,MKE",7,TRAFFIC STOP,Advised
183403049-Advised,183403049,2018-12-06 23:44:24,"2208 W LOCUST ST,MKE",5,THEFT,Advised
183403079-Advised/Referral,183403079,2018-12-06 23:43:37,"1044 N OLD WORLD THIRD ST,MKE",1,BATTERY,Advised/Referral
183403080-Service in Progress,183403080,2018-12-06 23:42:46,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Service in Progress
183403074-Service in Progress,183403074,2018-12-06 23:42:26,"201 W AIR CARGO WA,MKE",6,ENTRY,Service in Progress
183403077-City Citation(s) Issued,183403077,2018-12-06 23:41:23,"300 N 27TH ST,MKE",3,TRAFFIC STOP,City Citation(s) Issued
183403076-Assignment Completed,183403076,2018-12-06 23:41:07,"6929 W SILVER SPRING DR,MKE",4,RETURN STATION,Assignment Completed
183403073-Service in Progress,183403073,2018-12-06 23:40:35,"S 7TH ST / W LAPHAM BL,MKE",2,WELFARE CITIZEN,Service in Progress
183403086-Assignment Completed,183403086,2018-12-06 23:48:05,"N 24TH ST / W HOPKINS ST,MKE",5,INVESTIGATION,Assignment Completed
183403081-Service in Progress,183403081,2018-12-06 23:47:27,"6929 W SILVER SPRING DR,MKE",4,MED RUN,Service in Progress
183403084-Service in Progress,183403084,2018-12-06 23:47:23,"N WATER ST / E JUNEAU AV,MKE",1,SPECIAL ASSIGN,Service in Progress
183403085-Assignment Completed,183403085,2018-12-06 23:47:23,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Assignment Completed
183403082-Service in Progress,183403082,2018-12-06 23:45:35,"N GREEN BAY AV / W HAMPTON AV,MKE",7,TRBL W/SUBJ,Service in Progress
183403080-Assignment Completed,183403080,2018-12-06 23:42:46,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Assignment Completed
183403073-Advised,183403073,2018-12-06 23:40:35,"S 7TH ST / W LAPHAM BL,MKE",2,WELFARE CITIZEN,Advised
183403066-Assignment Completed,183403066,2018-12-06 23:34:47,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed
183403093-Advised,183403093,2018-12-06 23:53:15,"300 E LAYTON AV,MKE",6,TRAFFIC STOP,Advised
183403092-Service in Progress,183403092,2018-12-06 23:53:12,"N LOVERS LANE RD / W SILVER SPRING DR,MKE",4,TRAFFIC STOP,Service in Progress
183403091-Assignment Completed,183403091,2018-12-06 23:53:06,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed
183403090-Assignment Completed,183403090,2018-12-06 23:52:09,"5311 S HOWELL AV,MKE",6,BUSINESS CHECK,Assignment Completed
183403089-Service in Progress,183403089,2018-12-06 23:51:06,"245 W LINCOLN AV,MKE",2,REPORTS,Service in Progress
183403088-Assignment Completed,183403088,2018-12-06 23:51:03,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Assignment Completed
183403099-Advised,183403099,2018-12-06 23:58:36,"11800 W SILVER SPRING DR,MKE",4,BUSINESS CHECK,Advised
183403097-Service in Progress,183403097,2018-12-06 23:57:12,"2920 N VEL R PHILLIPS AV,MKE",5,RETURN STATION,Service in Progress
183403095-Assignment Completed,183403095,2018-12-06 23:55:36,"11800 W SILVER SPRING DR,MKE",4,BUSINESS CHECK,Assignment Completed
183403092-Advised,183403092,2018-12-06 23:53:12,"N LOVERS LANE RD / W SILVER SPRING DR,MKE",4,TRAFFIC STOP,Advised
183403082-Advised,183403082,2018-12-06 23:45:35,"N GREEN BAY AV / W HAMPTON AV,MKE",7,TRBL W/SUBJ,Advised
183403012-To be Filed,183403012,2018-12-06 23:09:11,"749 W STATE ST,MKE",1,INVESTIGATION,To be Filed
183410006-Service in Progress,183410006,2018-12-07 00:04:58,"5350 W FOND DU LAC AV,MKE",7,BUSINESS CHECK,Service in Progress
183403100-Service in Progress,183403100,2018-12-07 00:03:34,"2835 W KILBOURN AV,MKE",3,SUBJ WITH WEAPON,Service in Progress
183410004-Advised,183410004,2018-12-07 00:03:21,"1135 N WATER ST,MKE",1,TRBL W/SUBJ,Advised
183410002-Assignment Completed,183410002,2018-12-07 00:02:43,"1400 E BRADY ST,MKE",1,BUSINESS CHECK,Assignment Completed
183403054-Service in Progress,183403054,2018-12-07 00:02:21,"749 W STATE ST,MKE",1,CONVEY PROPERTY,Service in Progress
183410001-Service in Progress,183410001,2018-12-07 00:00:52,"545 W LAYTON AV,MKE",6,BUSINESS CHECK,Service in Progress
183403097-Assignment Completed,183403097,2018-12-06 23:57:12,"2920 N VEL R PHILLIPS AV,MKE",5,RETURN STATION,Assignment Completed
183403015-Advised,183403015,2018-12-06 23:16:31,"W LAPHAM BL / S 11TH ST,MKE",2,ENTRY AUTOS,Advised
183410014-Service in Progress,183410014,2018-12-07 00:09:50,"6411 W BURLEIGH ST,MKE",7,BUSINESS CHECK,Service in Progress
183410013-Advised,183410013,2018-12-07 00:09:36,"154 E JUNEAU AV,MKE",1,TRBL W/SUBJ,Advised
183410012-Service in Progress,183410012,2018-12-07 00:09:22,"6929 W SILVER SPRING DR,MKE",4,ASSIGNMENT,Service in Progress
183410010-Assignment Completed,183410010,2018-12-07 00:09:00,"6929 W SILVER SPRING DR,MKE",4,JUV CONVEY,Assignment Completed
183410003-Service in Progress,183410003,2018-12-07 00:08:49,"2835 N 29TH ST,MKE",5,BATTERY DV,Service in Progress
183402969-Service in Progress,183402969,2018-12-07 00:08:39,"10404 W FOUNTAIN AV,MKE",4,TRBL W/SUBJ,Service in Progress
183410009-Advised,183410009,2018-12-07 00:07:04,"641 S LAYTON BL,MKE",2,TRAFFIC STOP,Advised
183410005-Service in Progress,183410005,2018-12-07 00:06:34,"1129 E MEINECKE AV,MKE",5,BATTERY,Service in Progress
183410008-Service in Progress,183410008,2018-12-07 00:06:29,"5890 S HOWELL AV,MKE",6,BUSINESS CHECK,Service in Progress
183403068-Service in Progress,183403068,2018-12-07 00:06:15,"245 W LINCOLN AV,MKE",2,PRISONER TRANS,Service in Progress
183403098-Service in Progress,183403098,2018-12-07 00:05:36,"2529 S 15TH ST,MKE",2,FAMILY TROUBLE,Service in Progress
183410016-Service in Progress,183410016,2018-12-07 00:14:05,6300 S 27TH ST; OAK CREEK,6,MEET GOVT AGENCY,Service in Progress
183410014-Assignment Completed,183410014,2018-12-07 00:09:50,"6411 W BURLEIGH ST,MKE",7,BUSINESS CHECK,Assignment Completed
183410008-Assignment Completed,183410008,2018-12-07 00:06:29,"5890 S HOWELL AV,MKE",6,BUSINESS CHECK,Assignment Completed
183410006-Assignment Completed,183410006,2018-12-07 00:04:58,"5350 W FOND DU LAC AV,MKE",7,BUSINESS CHECK,Assignment Completed
183410001-Assignment Completed,183410001,2018-12-07 00:00:52,"545 W LAYTON AV,MKE",6,BUSINESS CHECK,Assignment Completed
