ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
182802740-Advised,182802740,2018-10-07 23:29:04,"N 53RD ST / W CAPITOL DR,MKE",7,TRAFFIC STOP,Advised
182802728-Assignment Completed,182802728,2018-10-07 23:20:37,"7600 W GOOD HOPE RD,MKE",4,PATROL,Assignment Completed
182802710-Assignment Completed,182802710,2018-10-07 23:11:28,"6929 W SILVER SPRING DR,MKE",4,REPORTS,Assignment Completed
182802702-Cleared by Arrest,182802702,2018-10-07 23:07:40,"4202 W MEINECKE AV,MKE",3,TRAFFIC STOP,Cleared by Arrest
182802695-To be Filed,182802695,2018-10-07 23:03:07,"2920 N VEL R PHILLIPS AV,MKE",5,REPORTS,To be Filed
182802683-To be Filed,182802683,2018-10-07 22:52:40,"N 93RD ST / W CAPITOL DR,MKE",7,INVESTIGATION,To be Filed
182802662-Assignment Completed,182802662,2018-10-07 22:52:33,"4513 W SUMAC PL,MKE",6,VIOL REST ORDER,Assignment Completed
182802665-Assignment Completed,182802665,2018-10-07 22:44:57,"1650 W FOND DU LAC AV,MKE",3,INJ PERSON/SICK,Assignment Completed
182802749-Service in Progress,182802749,2018-10-07 23:34:45,"949 N 9TH ST,MKE",1,PRISONER TRANS,Service in Progress
182802741-Service in Progress,182802741,2018-10-07 23:33:55,"5442 N LOVERS LANE RD,MKE",4,TRBL W/SUBJ,Service in Progress
182802748-Advised,182802748,2018-10-07 23:33:54,"351 E KEEFE AV,MKE",5,TRAFFIC STOP,Advised
182802724-Unable to Locate Complainant,182802724,2018-10-07 23:33:15,"1800 N ARLINGTON PL,MKE",1,NOISE NUISANCE,Unable to Locate Complainant
182802746-Assignment Completed,182802746,2018-10-07 23:32:48,"W BROWN DEER RD / N 107TH ST,MKE",4,BUSINESS CHECK,Assignment Completed
182802745-Advised,182802745,2018-10-07 23:32:36,"4525 W CAPITOL DR,MKE",7,TRAFFIC STOP,Advised
182802742-Service in Progress,182802742,2018-10-07 23:30:49,"200 W MICHIGAN ST,MKE",1,TRAFFIC STOP,Service in Progress
182802739-Unable to Locate Complainant,182802739,2018-10-07 23:30:06,"2032 S 18TH ST,MKE",2,FAMILY TROUBL-DV,Unable to Locate Complainant
182802697-Assignment Completed,182802697,2018-10-07 23:03:50,"8913 W CONGRESS ST,MKE",7,FOLLOW UP,Assignment Completed
182802758-Assignment Completed,182802758,2018-10-07 23:39:48,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Assignment Completed
