ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
190552442-Service in Progress,190552442,2019-02-24 23:29:46,"1100 N OLD WORLD THIRD ST,MKE",1,PARK AND WALK,Service in Progress
190552440-Advised,190552440,2019-02-24 23:28:55,"2811 N 54TH ST,MKE",7,TRAFFIC STOP,Advised
190552422-Advised/Referral,190552422,2019-02-24 23:27:45,"3824 N 12TH ST,MKE",5,CRUELTY ANIMAL,Advised/Referral
190552439-Service in Progress,190552439,2019-02-24 23:26:53,"8015 N 76TH ST,MKE",4,BUSINESS CHECK,Service in Progress
190552438-Assignment Completed,190552438,2019-02-24 23:26:29,"4781 N SHERMAN BL,MKE",7,TRAFFIC STOP,Assignment Completed
190552434-Unable to Locate Complainant,190552434,2019-02-24 23:25:28,"N WATER ST / E JUNEAU AV,MKE",1,WELFARE CITIZEN,Unable to Locate Complainant
190552427-Unable to Locate Complainant,190552427,2019-02-24 23:19:47,"2178 W FOREST HOME AV,MKE",2,BATTERY DV,Unable to Locate Complainant
190552413-Advised,190552413,2019-02-24 23:10:39,"3751 W CHEYENNE ST,MKE",4,CALL FOR POLICE,Advised
190552447-Advised,190552447,2019-02-24 23:34:12,"2325 S HOWELL AV,MKE",6,TRAFFIC STOP,Advised
190552446-Assignment Completed,190552446,2019-02-24 23:31:58,"1344 E BRADY ST,MKE",1,BUSINESS CHECK,Assignment Completed
190552443-Assignment Completed,190552443,2019-02-24 23:30:27,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Assignment Completed
190552439-Assignment Completed,190552439,2019-02-24 23:26:53,"8015 N 76TH ST,MKE",4,BUSINESS CHECK,Assignment Completed
190552450-Assignment Completed,190552450,2019-02-24 23:37:28,"5890 S HOWELL AV,MKE",6,BUSINESS CHECK,Assignment Completed
190552463-Service in Progress,190552463,2019-02-24 23:44:33,"2300 S 27TH ST,MKE",2,PATROL,Service in Progress
190552462-Assignment Completed,190552462,2019-02-24 23:43:46,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed
190552461-Advised,190552461,2019-02-24 23:43:21,"N 49TH ST / W HAMPTON AV,MKE",7,TRAFFIC STOP,Advised
190552460-Assignment Completed,190552460,2019-02-24 23:43:10,"749 W STATE ST,MKE",1,OUT OF SERVICE,Assignment Completed
190552459-Assignment Completed,190552459,2019-02-24 23:42:54,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Assignment Completed
190552456-Service in Progress,190552456,2019-02-24 23:41:50,"2920 N VEL R PHILLIPS AV,MKE",5,POLICE ADMIN,Service in Progress
