ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
182692844-Unable to Locate Complainant,182692844,2018-09-26 23:29:40,"975 W WALNUT ST,MKE",5,CALL FOR POLICE,Unable to Locate Complainant
182692861-Service in Progress,182692861,2018-09-26 23:28:16,"N 91ST ST / W SILVER SPRING DR,MKE",4,PATROL,Service in Progress
182692860-Service in Progress,182692860,2018-09-26 23:27:31,"2319 W AUER AV,MKE",5,PARK AND WALK,Service in Progress
182692859-Service in Progress,182692859,2018-09-26 23:27:28,"749 W STATE ST,MKE",1,PRISONER TRANS,Service in Progress
182692858-Assignment Completed,182692858,2018-09-26 23:27:15,"9622 W FOND DU LAC AV,MKE",4,BUSINESS CHECK,Assignment Completed
182692848-Service in Progress,182692848,2018-09-26 23:25:38,"1652 N 10TH ST,MKE",5,CALL FOR POLICE,Service in Progress
182692845-Assignment Completed,182692845,2018-09-26 23:20:22,"1432 W LOCUST ST,MKE",5,BUSINESS CHECK,Assignment Completed
182692792-To be Filed,182692792,2018-09-26 22:55:31,"N 56TH ST / W SHERIDAN AV,MKE",4,ROBBERY ARMED,To be Filed
182692786-To be Filed,182692786,2018-09-26 22:51:53,"2132 S 15TH PL,MKE",2,TRAFFIC STOP,To be Filed
182692866-Assignment Completed,182692866,2018-09-26 23:31:24,"11800 W SILVER SPRING DR,MKE",4,BUSINESS CHECK,Assignment Completed
182692865-Assignment Completed,182692865,2018-09-26 23:31:12,"245 W LINCOLN AV,MKE",2,ASSIGNMENT,Assignment Completed
182692862-Service in Progress,182692862,2018-09-26 23:31:06,"3026 N 49TH ST,MKE",7,SHOTSPOTTER,Service in Progress
182692864-Service in Progress,182692864,2018-09-26 23:31:04,"600 N WATER ST,MKE",1,PARK AND WALK,Service in Progress
182692861-Assignment Completed,182692861,2018-09-26 23:28:16,"N 91ST ST / W SILVER SPRING DR,MKE",4,PATROL,Assignment Completed
182692847-Assignment Completed,182692847,2018-09-26 23:21:21,"2920 N VEL R PHILLIPS AV,MKE",5,REPORTS,Assignment Completed
182692798-Unable to Locate Complainant,182692798,2018-09-26 23:18:43,"1432 S 15TH ST,MKE",2,DRUG DEALING,Unable to Locate Complainant
182692829-Assignment Completed,182692829,2018-09-26 23:12:09,"2920 N VEL R PHILLIPS AV,MKE",5,REPORTS,Assignment Completed
182692771-To be Filed,182692771,2018-09-26 22:41:42,"6204 W BIRCH AV,MKE",4,THEFT FROM PERSN,To be Filed
182692770-Cleared by Arrest,182692770,2018-09-26 22:41:03,"2522 W STATE ST,MKE",3,BOMB THREAT,Cleared by Arrest
182692873-Advised,182692873,2018-09-26 23:39:33,"231 W WISCONSIN AV,MKE",1,TRAFFIC STOP,Advised
182692872-Service in Progress,182692872,2018-09-26 23:39:10,"749 W STATE ST,MKE",1,OUT OF SERVICE,Service in Progress
182692871-Assignment Completed,182692871,2018-09-26 23:38:35,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Assignment Completed
182692870-Assignment Completed,182692870,2018-09-26 23:37:26,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed
182692869-Assignment Completed,182692869,2018-09-26 23:36:12,"1300 E BRADY ST,MKE",1,PARK AND WALK,Assignment Completed
182692862-Unable to Locate Complainant,182692862,2018-09-26 23:31:06,"3026 N 49TH ST,MKE",7,SHOTSPOTTER,Unable to Locate Complainant
182692860-Assignment Completed,182692860,2018-09-26 23:27:31,"2319 W AUER AV,MKE",5,PARK AND WALK,Assignment Completed
182692848-Advised/Referral,182692848,2018-09-26 23:25:38,"1652 N 10TH ST,MKE",5,CALL FOR POLICE,Advised/Referral
182692738-To be Filed,182692738,2018-09-26 22:41:13,"3117 W DRURY LA,MKE",6,ENTRY,To be Filed
182692654-Service in Progress,182692654,2018-09-26 23:44:35,"2620 W GRANT ST,MKE",2,RECK USE OF WEAP,Service in Progress
