ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
190502970-Assignment Completed,190502970,2019-02-19 23:29:32,"2900 N 12TH ST,MKE",5,INVESTIGATION,Assignment Completed
190502968-Assignment Completed,190502968,2019-02-19 23:28:16,"1200 W CLARKE ST,MKE",3,INVESTIGATION,Assignment Completed
190502966-Advised,190502966,2019-02-19 23:27:49,"1830 N 27TH ST,MKE",3,TRAFFIC STOP,Advised
190502962-Service in Progress,190502962,2019-02-19 23:25:57,"231 E BUFFALO ST,MKE",1,BUSINESS CHECK,Service in Progress
190502957-Service in Progress,190502957,2019-02-19 23:25:28,"1825 W FAIRMOUNT AV,MKE",7,FAMILY TROUBL-DV,Service in Progress
190502956-Assignment Completed,190502956,2019-02-19 23:24:02,"6929 W SILVER SPRING DR,MKE",4,SPECIAL ASSIGN,Assignment Completed
190502905-Unable to Locate Complainant,190502905,2019-02-19 22:55:19,"1721 W CANAL ST,MKE",3,DUI,Unable to Locate Complainant
190502972-Advised,190502972,2019-02-19 23:34:07,"1225 W LINCOLN AV,MKE",2,TRBL W/SUBJ,Advised
190502971-Service in Progress,190502971,2019-02-19 23:33:46,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Service in Progress
190502907-Advised,190502907,2019-02-19 23:32:58,"1829 W WRIGHT ST,MKE",3,TRBL W/SUBJ,Advised
190502963-Unable to Locate Complainant,190502963,2019-02-19 23:31:46,"8541 W HAMPTON AV,MKE",7,SUSP PERS/AUTO,Unable to Locate Complainant
190502942-To be Filed,190502942,2019-02-19 23:17:40,"3006 S 27TH ST,MKE",6,REPORTS,To be Filed
190502882-Advised,190502882,2019-02-19 23:05:33,"3833 N 23RD ST,MKE",5,TRBL W/SUBJ,Advised
190502910-Advised/Referral,190502910,2019-02-19 22:59:04,"N 25TH ST / W VINE ST,MKE",3,BATTERY DV,Advised/Referral
190502977-Assignment Completed,190502977,2019-02-19 23:39:07,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed
190502973-Service in Progress,190502973,2019-02-19 23:36:22,"N 8TH ST / W CONCORDIA AV,MKE",5,TRAFFIC STOP,Service in Progress
190502971-Assignment Completed,190502971,2019-02-19 23:33:46,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Assignment Completed
190502986-Service in Progress,190502986,2019-02-19 23:44:55,"5477 N HOPKINS ST,MKE",4,INJ PERSON/SICK,Service in Progress
190502988-Advised,190502988,2019-02-19 23:44:05,"N 56TH ST / W LISBON AV,MKE",3,TRAFFIC STOP,Advised
190502987-Assignment Completed,190502987,2019-02-19 23:43:39,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed
190502974-Service in Progress,190502974,2019-02-19 23:43:27,"N 91ST ST / W SILVER SPRING DR,MKE",4,MEET GOVT AGENCY,Service in Progress
190502985-Assignment Completed,190502985,2019-02-19 23:42:48,"5624 W NORTH AV,MKE",3,TAVERN CHECK,Assignment Completed
190502984-Assignment Completed,190502984,2019-02-19 23:42:44,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Assignment Completed
190502983-Assignment Completed,190502983,2019-02-19 23:42:39,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed
190502981-Advised,190502981,2019-02-19 23:41:30,"1429 S 5TH ST,MKE",2,TRAFFIC STOP,Advised
190502980-Advised,190502980,2019-02-19 23:41:08,"4762 N 69TH ST,MKE",7,TRAFFIC STOP,Advised
190502978-Assignment Completed,190502978,2019-02-19 23:40:52,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed
190502973-Unable to Locate Complainant,190502973,2019-02-19 23:36:22,"N 8TH ST / W CONCORDIA AV,MKE",5,TRAFFIC STOP,Unable to Locate Complainant
190502976-Service in Progress,190502976,2019-02-19 23:47:13,"4946 N 66TH ST,MKE",7,FAMILY TROUBL-DV,Service in Progress
190502952-Advised,190502952,2019-02-19 23:46:07,"222 W CONCORDIA AV,MKE",5,TRBL W/SUBJ,Advised
190502931-Advised,190502931,2019-02-19 23:52:29,"2341 S 12TH ST,MKE",2,NOISE NUISANCE,Advised
190502998-Unable to Locate Complainant,190502998,2019-02-19 23:51:53,"1511 N WATER ST,MKE",1,INJ PERSON/SICK,Unable to Locate Complainant
190502996-Advised,190502996,2019-02-19 23:50:49,"6119 W APPLETON AV,MKE",7,TRAFFIC STOP,Advised
190502994-Service in Progress,190502994,2019-02-19 23:50:31,"749 W STATE ST,MKE",1,OUT OF SERVICE,Service in Progress
190502945-Advised,190502945,2019-02-19 23:50:09,"9020 N 96TH ST,MKE",4,TRBL W/SUBJ,Advised
190503002-Assignment Completed,190503002,2019-02-19 23:58:29,"1208 S 20TH ST,MKE",2,LOOSE ANIMAL,Assignment Completed
190502994-Assignment Completed,190502994,2019-02-19 23:50:31,"749 W STATE ST,MKE",1,OUT OF SERVICE,Assignment Completed
190502976-Advised,190502976,2019-02-19 23:47:13,"4946 N 66TH ST,MKE",7,FAMILY TROUBL-DV,Advised
190502986-Unable to Locate Complainant,190502986,2019-02-19 23:44:55,"5477 N HOPKINS ST,MKE",4,INJ PERSON/SICK,Unable to Locate Complainant
190502947-Assignment Completed,190502947,2019-02-19 23:24:14,"1140 S 26TH ST,MKE",2,PARKING TROUBLE,Assignment Completed
190502816-Advised/Referral,190502816,2019-02-19 23:08:04,"3007 N 6TH ST,MKE",5,BATTERY,Advised/Referral
190502944-Service in Progress,190502944,2019-02-20 00:04:41,"9009 N 75TH ST,MKE",4,ENTRY,Service in Progress
190503001-Service in Progress,190503001,2019-02-20 00:04:17,"N 88TH ST / W BURLEIGH ST,MKE",7,ACC PDO,Service in Progress
190510002-Service in Progress,190510002,2019-02-20 00:04:08,"2920 N VEL R PHILLIPS AV,MKE",5,SUBJ WANTED,Service in Progress
190502997-Service in Progress,190502997,2019-02-20 00:03:33,"8544 W APPLETON AV,MKE",7,FAMILY TROUBL-DV,Service in Progress
190503004-Service in Progress,190503004,2019-02-20 00:02:53,"N 53RD ST / W CENTER ST,MKE",3,BATTERY DV,Service in Progress
190510007-Service in Progress,190510007,2019-02-20 00:07:52,"2364 N 21ST ST,MKE",3,BATTERY DV,Service in Progress
190510009-Assignment Completed,190510009,2019-02-20 00:07:46,"855 W LAYTON AV,MKE",6,BUSINESS CHECK,Assignment Completed
190510005-Advised/Referral,190510005,2019-02-20 00:07:25,"5950 N 64TH ST,MKE",4,BATTERY,Advised/Referral
190510006-Service in Progress,190510006,2019-02-20 00:07:02,"1355 N 35TH ST,MKE",3,HOLDUP ALARM,Service in Progress
190510004-Assignment Completed,190510004,2019-02-20 00:05:47,"176 W WISCONSIN AV,MKE",1,BUSINESS CHECK,Assignment Completed
190510003-Service in Progress,190510003,2019-02-20 00:05:43,"245 W LINCOLN AV,MKE",2,BATTERY DV,Service in Progress
190502999-Unable to Locate Complainant,190502999,2019-02-20 00:05:27,"N 52ND ST / W CENTER ST,MKE",3,CALL FOR POLICE,Unable to Locate Complainant
190503003-Service in Progress,190503003,2019-02-20 00:05:07,"3110 N 35TH ST,MKE",7,THEFT,Service in Progress
