ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
190212722-Service in Progress,190212722,2019-01-21 23:28:40,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Service in Progress
190212718-Service in Progress,190212718,2019-01-21 23:27:39,"1517 W SCOTT ST,MKE",2,BATTERY DV,Service in Progress
190212720-Assignment Completed,190212720,2019-01-21 23:27:11,"110 E LAYTON AV,MKE",6,BUSINESS CHECK,Assignment Completed
190212719-Advised,190212719,2019-01-21 23:26:46,"6600 W RUBY AV,MKE",7,TRAFFIC STOP,Advised
190212646-To be Filed,190212646,2019-01-21 22:43:14,"4635 S 20TH ST,MKE",6,ACC PDO,To be Filed
190212713-Service in Progress,190212713,2019-01-21 23:34:30,"3847 N TEUTONIA AV,MKE",5,ACC UNKN INJ,Service in Progress
190212733-Service in Progress,190212733,2019-01-21 23:34:16,3211 W MCKINLEY BLVD,3,TRAFFIC STOP,Service in Progress
190212730-Assignment Completed,190212730,2019-01-21 23:32:38,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed
190212728-Advised,190212728,2019-01-21 23:32:33,"4151 W NORTH AV,MKE",3,TRAFFIC STOP,Advised
190212724-Service in Progress,190212724,2019-01-21 23:30:46,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Service in Progress
190212722-Assignment Completed,190212722,2019-01-21 23:28:40,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed
190212667-Advised,190212667,2019-01-21 23:24:44,"5438 N 41ST ST,MKE",4,WELFARE CITIZEN,Advised
190212674-Advised,190212674,2019-01-21 23:19:34,"3224 S 16TH ST,MKE",6,TRBL W/SUBJ,Advised
190212700-Assignment Completed,190212700,2019-01-21 23:18:40,"730 N 29TH ST,MKE",3,SUBJ WANTED,Assignment Completed
190212695-Advised,190212695,2019-01-21 23:13:00,"N 40TH ST / W CLYBOURN ST,MKE",3,SUSP PERS/AUTO,Advised
190212690-To be Filed,190212690,2019-01-21 23:09:11,"1200 N 22ND ST,MKE",3,FOLLOW UP,To be Filed
190212684-Advised,190212684,2019-01-21 23:08:57,"1681 N VAN BUREN ST,MKE",1,STOLEN VEHICLE,Advised
190212676-Assignment Completed,190212676,2019-01-21 23:03:30,"1300 W ST PAUL AV,MKE",3,PATROL,Assignment Completed
190212743-Assignment Completed,190212743,2019-01-21 23:39:21,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed
190212708-Service in Progress,190212708,2019-01-21 23:38:46,"5749 N 62ND ST,MKE",4,INJ PERSON/SICK,Service in Progress
190212691-Service in Progress,190212691,2019-01-21 23:38:05,"5750 N 75TH ST,MKE",4,CALL FOR POLICE,Service in Progress
190212741-Advised,190212741,2019-01-21 23:37:36,"N 41ST ST / W CENTER ST,MKE",3,TRAFFIC STOP,Advised
190212740-Assignment Completed,190212740,2019-01-21 23:37:31,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Assignment Completed
190212738-Service in Progress,190212738,2019-01-21 23:36:10,"W FOND DU LAC AV / W CONGRESS ST,MKE",7,TRAFFIC HAZARD,Service in Progress
190212638-Unable to Locate Complainant,190212638,2019-01-21 23:35:56,"N 13TH ST / W BURLEIGH ST,MKE",5,THEFT VEHICLE,Unable to Locate Complainant
190212736-Assignment Completed,190212736,2019-01-21 23:35:08,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Assignment Completed
190212733-Assignment Completed,190212733,2019-01-21 23:34:16,3211 W MCKINLEY BLVD,3,TRAFFIC STOP,Assignment Completed
190212724-Assignment Completed,190212724,2019-01-21 23:30:46,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed
190212757-Service in Progress,190212757,2019-01-21 23:44:10,"245 W LINCOLN AV,MKE",2,ASSIGNMENT,Service in Progress
190212755-Assignment Completed,190212755,2019-01-21 23:42:45,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed
190212747-Service in Progress,190212747,2019-01-21 23:42:29,"N 26TH ST / W VINE ST,MKE",3,ROBBERY ARMED,Service in Progress
190212750-Assignment Completed,190212750,2019-01-21 23:41:16,"749 W STATE ST,MKE",1,OUT OF SERVICE,Assignment Completed
190212745-Service in Progress,190212745,2019-01-21 23:40:54,"4377 N 48TH ST,MKE",7,SUSP PERS/AUTO,Service in Progress
190212737-Service in Progress,190212737,2019-01-21 23:40:17,"1402 W MEINECKE AV,MKE",3,SHOTS FIRED,Service in Progress
190212644-Advised,190212644,2019-01-21 22:46:02,"2015 S 31ST ST,MKE",2,TRBL W/SUBJ-DV,Advised
190212763-Service in Progress,190212763,2019-01-21 23:48:54,"6851 W GRANTOSA DR,MKE",4,ENTRY,Service in Progress
190212759-Assignment Completed,190212759,2019-01-21 23:45:02,"5901 W BLUE MOUND RD,MKE",3,TAVERN CHECK,Assignment Completed
190212691-Advised/Referral,190212691,2019-01-21 23:38:05,"5750 N 75TH ST,MKE",4,CALL FOR POLICE,Advised/Referral
190212738-Advised,190212738,2019-01-21 23:36:10,"W FOND DU LAC AV / W CONGRESS ST,MKE",7,TRAFFIC HAZARD,Advised
190212699-Advised/Referral,190212699,2019-01-21 23:16:22,"2439 N 6TH ST,MKE",5,SUBJ WITH GUN-DV,Advised/Referral
190212692-Assignment Completed,190212692,2019-01-21 23:11:03,"9200 W BLUE MOUND RD,MKE",3,BUSINESS CHECK,Assignment Completed
190212666-Advised,190212666,2019-01-21 22:54:59,"8794 W CARMEN AV,MKE",4,SUBJ WITH WEAPON,Advised
190212776-Assignment Completed,190212776,2019-01-21 23:53:23,"111 W HOWARD AV,MKE",6,TAVERN CHECK,Assignment Completed
190212774-Assignment Completed,190212774,2019-01-21 23:52:15,"3006 S 27TH ST,MKE",6,RETURN STATION,Assignment Completed
190212769-Advised,190212769,2019-01-21 23:50:52,"2300 W FOND DU LAC AV,MKE",3,TRAFFIC STOP,Advised
190212766-To be Filed,190212766,2019-01-21 23:50:17,"619 W WALNUT ST,MKE",5,CONVEY PROPERTY,To be Filed
190212763-Advised/Referral,190212763,2019-01-21 23:48:54,"6851 W GRANTOSA DR,MKE",4,ENTRY,Advised/Referral
190212786-Service in Progress,190212786,2019-01-21 23:58:26,"3626 W FOND DU LAC AV,MKE",7,ASSIGNMENT,Service in Progress
190212785-Service in Progress,190212785,2019-01-21 23:57:56,"3626 W FOND DU LAC AV,MKE",7,ASSIGNMENT,Service in Progress
190212784-Service in Progress,190212784,2019-01-21 23:57:34,"545 W LAYTON AV,MKE",6,FOLLOW UP,Service in Progress
190212717-Service in Progress,190212717,2019-01-21 23:56:53,"6135 W SHERIDAN AV,MKE",4,ACC PDO,Service in Progress
190212781-Assignment Completed,190212781,2019-01-21 23:56:14,"3626 W FOND DU LAC AV,MKE",7,ASSIGNMENT,Assignment Completed
190212762-Unable to Locate Complainant,190212762,2019-01-21 23:56:09,"N SWAN RD / W BROWN DEER RD,MKE",4,TRBL W/SUBJ,Unable to Locate Complainant
190212702-Assignment Completed,190212702,2019-01-21 23:15:37,"3006 S 27TH ST,MKE",6,SPECIAL ASSIGN,Assignment Completed
190220001-Service in Progress,190220001,2019-01-22 00:04:29,"3306 W WELLS ST,MKE",3,SHOTSPOTTER,Service in Progress
190220004-Assignment Completed,190220004,2019-01-22 00:03:45,"350 N PLANKINTON AV,MKE",1,BUSINESS CHECK,Assignment Completed
190212780-Assignment Completed,190212780,2019-01-22 00:01:49,"N 36TH ST / W AUER AV,MKE",7,ABAND/PROP WEAPO,Assignment Completed
190212771-Service in Progress,190212771,2019-01-22 00:01:28,"7800 W BRADLEY RD,MKE",4,WELFARE CITIZEN,Service in Progress
190212698-Service in Progress,190212698,2019-01-22 00:09:30,"1224 S CESAR E CHAVEZ DR,MKE",2,TRBL W/SUBJ,Service in Progress
190212734-Service in Progress,190212734,2019-01-22 00:09:15,"S 32ND ST / W MORGAN AV,MKE",6,LOOSE ANIMAL,Service in Progress
190212787-Advised,190212787,2019-01-22 00:08:32,"2803 W KILBOURN AV,MKE",3,WELFARE CITIZEN,Advised
190212777-Service in Progress,190212777,2019-01-22 00:07:44,"3215 N 39TH ST,MKE",7,WELFARE CITIZEN,Service in Progress
190220006-Unable to Locate Complainant,190220006,2019-01-22 00:07:10,"3333 N 3RD ST,MKE",5,BATTERY DV,Unable to Locate Complainant
190220009-Assignment Completed,190220009,2019-01-22 00:06:52,"2333 N 49TH ST,MKE",3,REPORTS,Assignment Completed
190220008-Service in Progress,190220008,2019-01-22 00:06:16,"9200 W WISCONSIN AV,MKE",3,HOSPITAL GUARD,Service in Progress
190212752-Assignment Completed,190212752,2019-01-22 00:05:58,"2027 N 19TH ST,MKE",3,CALL FOR POLICE,Assignment Completed
190220007-Service in Progress,190220007,2019-01-22 00:05:53,"9200 W WISCONSIN AV,MKE",3,HOSPITAL GUARD,Service in Progress
190220005-Service in Progress,190220005,2019-01-22 00:05:45,"3006 S 27TH ST,MKE",6,REPORTS,Service in Progress
190212772-Service in Progress,190212772,2019-01-22 00:05:34,"3155 N 39TH ST,MKE",7,FAMILY TROUBL-DV,Service in Progress
190212688-Service in Progress,190212688,2019-01-22 00:05:30,"3747 N VEL R PHILLIPS AV,MKE",5,TRBL W/SUBJ-DV,Service in Progress
190212713-To be Filed,190212713,2019-01-21 23:34:30,"3847 N TEUTONIA AV,MKE",5,ACC UNKN INJ,To be Filed
190212754-Service in Progress,190212754,2019-01-22 00:13:16,"N WATER ST / N MARKET ST,MKE",1,ACC PDO,Service in Progress
190220013-Assignment Completed,190220013,2019-01-22 00:13:08,"1613 W WELLS ST,MKE",3,TAVERN CHECK,Assignment Completed
190220012-Service in Progress,190220012,2019-01-22 00:13:02,"749 W STATE ST,MKE",1,REPORTS,Service in Progress
190220011-Assignment Completed,190220011,2019-01-22 00:11:55,"3006 S 27TH ST,MKE",6,SPECIAL ASSIGN,Assignment Completed
190220010-Service in Progress,190220010,2019-01-22 00:11:09,"N SWAN RD / W BROWN DEER RD,MKE",4,SUBJ WITH GUN,Service in Progress
190212775-Service in Progress,190212775,2019-01-22 00:11:07,"2150 N VEL R PHILLIPS AV,MKE",5,ENTRY,Service in Progress
190212739-Service in Progress,190212739,2019-01-22 00:10:48,"3626 W FOND DU LAC AV,MKE",7,CONVEY PROPERTY,Service in Progress
190212779-Service in Progress,190212779,2019-01-22 00:10:07,"9200 W WISCONSIN AV,MKE",3,BATTERY DV,Service in Progress
190220005-Assignment Completed,190220005,2019-01-22 00:05:45,"3006 S 27TH ST,MKE",6,REPORTS,Assignment Completed
190220022-Assignment Completed,190220022,2019-01-22 00:19:45,"6929 W SILVER SPRING DR,MKE",4,REPORTS,Assignment Completed
190220021-Assignment Completed,190220021,2019-01-22 00:19:00,"6311 S 13TH ST,MKE",6,BUSINESS CHECK,Assignment Completed
190220018-Assignment Completed,190220018,2019-01-22 00:17:45,"369 E OKLAHOMA AV,MKE",6,BUSINESS CHECK,Assignment Completed
190220017-Service in Progress,190220017,2019-01-22 00:17:19,"6929 W SILVER SPRING DR,MKE",4,ASSIGNMENT,Service in Progress
190220014-Unable to Locate Complainant,190220014,2019-01-22 00:16:04,"N 12TH ST / W VLIET ST,MKE",3,CALL FOR POLICE,Unable to Locate Complainant
