ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
191032617-Advised,191032617,2019-04-13 23:29:46,"4643 W CAPITOL DR,MKE",7,TRAFFIC STOP,Advised
191032572-Service in Progress,191032572,2019-04-13 23:28:55,"9040 W SILVER SPRING DR,MKE",4,FIGHT,Service in Progress
191032612-Advised,191032612,2019-04-13 23:28:34,"3006 S 27TH ST,MKE",6,TRAFFIC STOP,Advised
191032611-Service in Progress,191032611,2019-04-13 23:28:25,9900 W EVERTS ST,4,INVESTIGATION,Service in Progress
191032609-Assignment Completed,191032609,2019-04-13 23:27:55,"6680 N TEUTONIA AV,MKE",4,RETURN STATION,Assignment Completed
191032608-Service in Progress,191032608,2019-04-13 23:27:30,"1917 W COLLEGE AV,MKE",6,TS TARGETED,Service in Progress
191032607-Assignment Completed,191032607,2019-04-13 23:25:58,"7208 N 76TH ST,MKE",4,BUSINESS CHECK,Assignment Completed
191032512-Advised,191032512,2019-04-13 23:14:19,"1670 S 6TH ST,MKE",2,WELFARE CITIZEN,Advised
191032582-City Citation(s) Issued,191032582,2019-04-13 23:13:08,"2231 N MARTIN L KING JR DR,MKE",5,PARKING TROUBLE,City Citation(s) Issued
191032489-To be Filed,191032489,2019-04-13 22:41:37,"6307 W KEEFE AVENUE PK,MKE",7,BATTERY DV,To be Filed
191032629-Service in Progress,191032629,2019-04-13 23:34:11,"2630 N 24TH PL,MKE",3,FOLLOW UP,Service in Progress
191032628-Service in Progress,191032628,2019-04-13 23:33:35,"W FOND DU LAC AV / W FLAGG AV,MKE",4,SUSP PERS/AUTO,Service in Progress
191032627-Assignment Completed,191032627,2019-04-13 23:32:26,"2400 W LOCUST ST,MKE",5,INVESTIGATION,Assignment Completed
191032624-Unable to Locate Complainant,191032624,2019-04-13 23:32:09,"2760 N 48TH ST,MKE",7,SHOTSPOTTER,Unable to Locate Complainant
191032625-Assignment Completed,191032625,2019-04-13 23:31:40,"3129 N 40TH ST,MKE",7,SUBJ WITH GUN,Assignment Completed
191032616-Service in Progress,191032616,2019-04-13 23:30:26,"8924 W BLUE MOUND RD,MKE",3,SUSP PERS/AUTO,Service in Progress
191032622-Service in Progress,191032622,2019-04-13 23:30:20,"N 84TH ST / W FLORIST AV,MKE",4,INVESTIGATION,Service in Progress
191032611-Assignment Completed,191032611,2019-04-13 23:28:25,9900 W EVERTS ST,4,INVESTIGATION,Assignment Completed
191032608-Advised,191032608,2019-04-13 23:27:30,"1917 W COLLEGE AV,MKE",6,TS TARGETED,Advised
191032584-Advised,191032584,2019-04-13 23:23:53,"3040 N 40TH ST,MKE",7,TRBL W/SUBJ,Advised
191032587-Advised,191032587,2019-04-13 23:21:42,"3368 N 38TH ST,MKE",7,CALL FOR POLICE,Advised
191032594-Advised,191032594,2019-04-13 23:17:28,"2046 N 27TH ST,MKE",3,TRAFFIC STOP,Advised
191032577-Assignment Completed,191032577,2019-04-13 23:14:37,"1139 E KANE PL,MKE",1,ENTRY,Assignment Completed
191032525-Assignment Completed,191032525,2019-04-13 22:54:49,"1900 N 24TH PL,MKE",3,INVESTIGATION,Assignment Completed
191032499-To be Filed,191032499,2019-04-13 22:53:51,"2301 N LAKE DR,MKE",1,ANIMAL BITE,To be Filed
191032634-Unable to Locate Complainant,191032634,2019-04-13 23:39:10,"N 14TH ST / W CENTER ST,MKE",3,BATTERY DV,Unable to Locate Complainant
191032637-Open Investigation,191032637,2019-04-13 23:39:06,"2916 N CRAMER ST,MKE",1,TRBL W/SUBJ,Open Investigation
191032633-Advised,191032633,2019-04-13 23:38:13,"3750 S 14TH ST,MKE",6,NOISE NUISANCE,Advised
191032632-Assignment Completed,191032632,2019-04-13 23:36:41,"1700 N 35TH ST,MKE",3,PATROL,Assignment Completed
191032631-Service in Progress,191032631,2019-04-13 23:36:35,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Service in Progress
191032657-Service in Progress,191032657,2019-04-13 23:44:19,"1827 N FARWELL AV,MKE",1,SPECIAL ASSIGN,Service in Progress
191032656-Assignment Completed,191032656,2019-04-13 23:44:14,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed
191032655-Assignment Completed,191032655,2019-04-13 23:44:09,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Assignment Completed
191032653-Assignment Completed,191032653,2019-04-13 23:44:07,"5200 N 37TH ST,MKE",4,PATROL,Assignment Completed
191032652-Service in Progress,191032652,2019-04-13 23:44:02,"2838 N 23RD ST,MKE",5,TRBL W/SUBJ,Service in Progress
191032650-Service in Progress,191032650,2019-04-13 23:43:39,"510 E HOLT AV,MKE",6,TRBL W/SUBJ,Service in Progress
191032649-Service in Progress,191032649,2019-04-13 23:43:11,"3037 N 11TH LA,MKE",5,SHOTS FIRED,Service in Progress
191032647-Service in Progress,191032647,2019-04-13 23:42:23,"3231 N 24TH PL,MKE",5,ENTRY,Service in Progress
191032648-Assignment Completed,191032648,2019-04-13 23:41:58,"749 W STATE ST,MKE",1,OUT OF SERVICE,Assignment Completed
191032646-Assignment Completed,191032646,2019-04-13 23:41:20,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed
191032645-Advised,191032645,2019-04-13 23:41:13,"369 E OKLAHOMA AV,MKE",6,BUSINESS CHECK,Advised
