ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
190462753-Advised/Referral,190462753,2019-02-15 23:29:55,"2567 N 49TH ST,MKE",3,TRBL W/SUBJ-DV,Advised/Referral
190462757-Advised,190462757,2019-02-15 23:28:20,"4018 W NATIONAL AV,WMW",OUT,TRAFFIC STOP,Advised
190462747-Unable to Locate Complainant,190462747,2019-02-15 23:26:40,"1804 N 48TH ST,MKE",3,SUSP PERS/AUTO,Unable to Locate Complainant
190462744-Advised,190462744,2019-02-15 23:26:25,"1859 N 40TH ST,MKE",3,CALL FOR POLICE,Advised
190462751-Assignment Completed,190462751,2019-02-15 23:25:58,"6929 W SILVER SPRING DR,MKE",4,POLICE ADMIN,Assignment Completed
190462750-Assignment Completed,190462750,2019-02-15 23:25:51,"2700 W LISBON AV,MKE",3,TRAFFIC LASER,Assignment Completed
190462749-Assignment Completed,190462749,2019-02-15 23:25:45,"4750 N HOPKINS ST,MKE",7,TAVERN CHECK,Assignment Completed
190462530-Advised,190462530,2019-02-15 23:09:05,"10417 W DONNA DR,MKE",4,FAMILY TROUBLE,Advised
190462704-Assignment Completed,190462704,2019-02-15 23:08:49,"749 W STATE ST,MKE",1,SPECIAL ASSIGN,Assignment Completed
190462668-Assignment Completed,190462668,2019-02-15 22:57:23,"2952 N 55TH ST,MKE",7,BATTERY DV,Assignment Completed
190462672-To be Filed,190462672,2019-02-15 22:54:16,"245 W LINCOLN AV,MKE",2,REPORTS,To be Filed
190462652-To be Filed,190462652,2019-02-15 22:47:39,"4541 W FOND DU LAC AV,MKE",7,ACC PI,To be Filed
190462642-Assignment Completed,190462642,2019-02-15 22:39:47,"3006 S 27TH ST,MKE",6,CITIZEN CONVEY,Assignment Completed
190462769-Advised,190462769,2019-02-15 23:34:57,"3980 N HOLTON ST,MKE",5,TRAFFIC STOP,Advised
190462765-Service in Progress,190462765,2019-02-15 23:34:39,"W FOND DU LAC AV / W VILLARD AV,MKE",7,ACC PI,Service in Progress
190462766-Service in Progress,190462766,2019-02-15 23:33:13,"1827 N FARWELL AV,MKE",1,SPECIAL ASSIGN,Service in Progress
190462756-Assignment Completed,190462756,2019-02-15 23:32:55,"2567 N 49TH ST,MKE",3,BATTERY,Assignment Completed
190462760-Advised,190462760,2019-02-15 23:32:35,"1438 N 39TH ST,MKE",3,TRBL W/SUBJ,Advised
190462764-Advised,190462764,2019-02-15 23:32:02,"634 S 3RD ST,MKE",2,TRAFFIC STOP,Advised
190462761-Service in Progress,190462761,2019-02-15 23:31:56,"1857 E KENILWORTH PL,MKE",1,ENTRY,Service in Progress
190462763-Advised,190462763,2019-02-15 23:30:38,"6600 W SILVER SPRING DR,MKE",4,TRAFFIC STOP,Advised
190462706-City Citation(s) Issued,190462706,2019-02-15 23:12:24,"S 76TH ST / W HOWARD AV,MKE",6,MEET GOVT AGENCY,City Citation(s) Issued
190462700-Assignment Completed,190462700,2019-02-15 23:06:46,"3000 W CANAL ST,MKE",3,POLICE ADMIN,Assignment Completed
190462779-Service in Progress,190462779,2019-02-15 23:39:34,"2600 N 23RD ST,MKE",3,FIRE,Service in Progress
190462782-Service in Progress,190462782,2019-02-15 23:39:18,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Service in Progress
190462778-Assignment Completed,190462778,2019-02-15 23:38:35,"245 W LINCOLN AV,MKE",2,REPORTS,Assignment Completed
190462775-Advised,190462775,2019-02-15 23:37:36,"1802 W SCOTT ST,MKE",2,TRAFFIC STOP,Advised
190462773-Advised,190462773,2019-02-15 23:36:30,"3257 N 28TH ST,MKE",5,TRAFFIC STOP,Advised
190462771-Advised,190462771,2019-02-15 23:35:56,"3121 N 1ST ST,MKE",5,TRAFFIC STOP,Advised
190462770-Assignment Completed,190462770,2019-02-15 23:35:24,"S 1ST ST / E NATIONAL AV,MKE",2,PATROL,Assignment Completed
190462735-Unable to Locate Complainant,190462735,2019-02-15 23:35:08,"8232 N 93RD ST,MKE",4,CALL FOR POLICE,Unable to Locate Complainant
190462788-Advised,190462788,2019-02-15 23:43:40,"3424 N 27TH ST,MKE",5,TRAFFIC STOP,Advised
190462787-Assignment Completed,190462787,2019-02-15 23:43:28,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed
190462786-Assignment Completed,190462786,2019-02-15 23:41:53,"1000 W BRUCE ST,MKE",2,PATROL,Assignment Completed
190462784-Service in Progress,190462784,2019-02-15 23:41:40,"2812 N 5TH ST,MKE",5,INJ PERSON/SICK,Service in Progress
190462785-Service in Progress,190462785,2019-02-15 23:41:37,"N 60TH ST / W SILVER SPRING DR,MKE",4,WELFARE CITIZEN,Service in Progress
190462782-Assignment Completed,190462782,2019-02-15 23:39:18,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Assignment Completed
190462725-Advised,190462725,2019-02-15 23:19:20,"2550 S 69TH ST,MKE",6,WELFARE CITIZEN,Advised
190462806-Assignment Completed,190462806,2019-02-15 23:49:47,"3551 N TEUTONIA AV,MKE",5,BUSINESS CHECK,Assignment Completed
190462805-Assignment Completed,190462805,2019-02-15 23:49:28,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Assignment Completed
190462802-Assignment Completed,190462802,2019-02-15 23:49:02,"N TEUTONIA AV / W GOOD HOPE RD,MKE",4,FOLLOW UP,Assignment Completed
190462796-Unable to Locate Complainant,190462796,2019-02-15 23:48:30,"S 1ST ST / E WALKER ST,MKE",2,RECKLESS VEHICLE,Unable to Locate Complainant
190462799-Assignment Completed,190462799,2019-02-15 23:47:49,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed
190462745-Service in Progress,190462745,2019-02-15 23:46:17,"2937 N BARTLETT AV,MKE",1,ACC PDO,Service in Progress
190462794-Assignment Completed,190462794,2019-02-15 23:45:12,"4250 W AUER AV,MKE",7,CITIZEN CONTACT,Assignment Completed
190462793-Assignment Completed,190462793,2019-02-15 23:45:01,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed
190462784-Assignment Completed,190462784,2019-02-15 23:41:40,"2812 N 5TH ST,MKE",5,INJ PERSON/SICK,Assignment Completed
190462785-Unable to Locate Complainant,190462785,2019-02-15 23:41:37,"N 60TH ST / W SILVER SPRING DR,MKE",4,WELFARE CITIZEN,Unable to Locate Complainant
190462779-Assignment Completed,190462779,2019-02-15 23:39:34,"2600 N 23RD ST,MKE",3,FIRE,Assignment Completed
190462761-Advised/Referral,190462761,2019-02-15 23:31:56,"1857 E KENILWORTH PL,MKE",1,ENTRY,Advised/Referral
190462814-Assignment Completed,190462814,2019-02-15 23:54:41,"3500 W FLORIST AV,MKE",4,PATROL,Assignment Completed
190462813-Service in Progress,190462813,2019-02-15 23:54:26,"2333 N 49TH ST,MKE",3,RETURN STATION,Service in Progress
190462803-Unable to Locate Complainant,190462803,2019-02-15 23:54:15,"2047 S 16TH ST,MKE",2,TRBL W/SUBJ-DV,Unable to Locate Complainant
190462812-Service in Progress,190462812,2019-02-15 23:53:58,"2920 N VEL R PHILLIPS AV,MKE",5,RETURN STATION,Service in Progress
190462748-Advised,190462748,2019-02-15 23:53:40,"5310 W CENTER ST,MKE",7,TRBL W/SUBJ,Advised
190462811-Assignment Completed,190462811,2019-02-15 23:52:59,"N 27TH ST / W CAPITOL DR,MKE",5,NON PURSUIT NO P,Assignment Completed
190462804-Service in Progress,190462804,2019-02-15 23:52:46,"N 20TH ST / N TEUTONIA AV,MKE",5,TRAFFIC HAZARD,Service in Progress
190462791-Advised/Referral,190462791,2019-02-15 23:52:32,"2235 W CHERRY ST,MKE",3,FIGHT,Advised/Referral
190462810-Assignment Completed,190462810,2019-02-15 23:52:01,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Assignment Completed
190462807-Assignment Completed,190462807,2019-02-15 23:50:57,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed
190462783-Service in Progress,190462783,2019-02-15 23:58:42,"3553 S 41ST ST,MKE",6,WELFARE CITIZEN,Service in Progress
190462816-Unable to Locate Complainant,190462816,2019-02-15 23:56:51,"3120 W VILLARD AV,MKE",4,TRBL W/SUBJ,Unable to Locate Complainant
190462755-Service in Progress,190462755,2019-02-15 23:55:59,"5000 W CHAMBERS ST,MKE",7,BATTERY CUTTING,Service in Progress
190462818-Advised,190462818,2019-02-15 23:55:56,"3931 N 28TH ST,MKE",5,TRAFFIC STOP,Advised
190462817-Assignment Completed,190462817,2019-02-15 23:55:38,"N 21ST ST / N TEUTONIA AV,MKE",5,VEHICLE PURSUIT,Assignment Completed
190462813-Assignment Completed,190462813,2019-02-15 23:54:26,"2333 N 49TH ST,MKE",3,RETURN STATION,Assignment Completed
