ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
190852997-Advised,190852997,2019-03-26 23:29:17,"3300 S 27TH ST,MKE",6,TRAFFIC STOP,Advised
190852998-Assignment Completed,190852998,2019-03-26 23:29:17,"146 S 84TH ST,MKE",3,INVESTIGATION,Assignment Completed
190852992-Unable to Locate Complainant,190852992,2019-03-26 23:28:39,"W FOREST HOME AV / S 35TH ST,MKE",6,RECKLESS VEHICLE,Unable to Locate Complainant
190852993-Assignment Completed,190852993,2019-03-26 23:27:30,"3000 W WISCONSIN AV,MKE",3,INVESTIGATION,Assignment Completed
190852989-Assignment Completed,190852989,2019-03-26 23:25:29,"4900 W BLUE MOUND RD,MKE",3,PATROL,Assignment Completed
190852957-Unable to Locate Complainant,190852957,2019-03-26 23:20:50,"4909 N 24TH ST,MKE",7,NOISE NUISANCE,Unable to Locate Complainant
190852969-Assignment Completed,190852969,2019-03-26 23:15:04,"3407 W SCOTT ST,MKE",2,NOTIFICATION,Assignment Completed
190852950-Advised,190852950,2019-03-26 23:13:02,"4903 N 39TH ST,MKE",7,FAMILY TROUBLE,Advised
190852963-Assignment Completed,190852963,2019-03-26 23:11:29,"2500 N 29TH ST,MKE",3,PATROL,Assignment Completed
190852959-Advised,190852959,2019-03-26 23:10:13,"2522 W LEGION ST,MKE",2,FAMILY TROUBLE,Advised
190852958-Assignment Completed,190852958,2019-03-26 23:08:14,"3006 S 27TH ST,MKE",6,ASSIGNMENT,Assignment Completed
190852909-To be Filed,190852909,2019-03-26 23:01:54,"2700 W CAPITOL DR,MKE",5,SUBJ WITH GUN,To be Filed
190852941-Assignment Completed,190852941,2019-03-26 22:59:54,"3230 S 30TH ST,MKE",6,TRBL W/SUBJ,Assignment Completed
190852922-Assignment Completed,190852922,2019-03-26 22:53:11,"6402 W NASH ST,MKE",7,FOLLOW UP,Assignment Completed
190853010-Service in Progress,190853010,2019-03-26 23:34:59,"N 49TH ST / W CENTER ST,MKE",3,TRAFFIC STOP,Service in Progress
190853008-Assignment Completed,190853008,2019-03-26 23:33:59,"2600 N 35TH ST,MKE",3,INVESTIGATION,Assignment Completed
190853006-Assignment Completed,190853006,2019-03-26 23:33:33,"749 W STATE ST,MKE",1,ASSIGNMENT,Assignment Completed
190853005-Assignment Completed,190853005,2019-03-26 23:33:15,"4000 W CENTER ST,MKE",7,INVESTIGATION,Assignment Completed
190853004-Assignment Completed,190853004,2019-03-26 23:33:04,"3200 W CANAL ST,MKE",3,FOLLOW UP,Assignment Completed
190853000-Assignment Completed,190853000,2019-03-26 23:30:13,"N 35TH ST / W SHERIDAN AV,MKE",4,PATROL,Assignment Completed
190852971-Assignment Completed,190852971,2019-03-26 23:15:26,"4900 S HOWELL AV,MKE",6,TRAFFIC LASER,Assignment Completed
190853017-City Citation(s) Issued,190853017,2019-03-26 23:39:51,"N TEUTONIA AV / W VILLARD AV,MKE",7,TRAFFIC STOP,City Citation(s) Issued
190853016-Assignment Completed,190853016,2019-03-26 23:39:21,"2625 W NATIONAL AV,MKE",2,BUSINESS CHECK,Assignment Completed
