ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
190242805-Assignment Completed,190242805,2019-01-24 23:29:51,"6828 W BROWN DEER RD,MKE",4,BUSINESS CHECK,Assignment Completed
190242803-Assignment Completed,190242803,2019-01-24 23:29:03,"5500 W BLUE MOUND RD,MKE",3,INVESTIGATION,Assignment Completed
190242799-Assignment Completed,190242799,2019-01-24 23:27:30,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Assignment Completed
190242797-Service in Progress,190242797,2019-01-24 23:26:58,"N SHERMAN BL / W WOOLWORTH AV,MKE",4,INVESTIGATION,Service in Progress
190242789-Assignment Completed,190242789,2019-01-24 23:22:44,"5602 W VLIET ST,MKE",3,BUSINESS CHECK,Assignment Completed
190242788-Assignment Completed,190242788,2019-01-24 23:22:18,"2242 N 12TH ST,MKE",3,BUSINESS CHECK,Assignment Completed
190242785-Assignment Completed,190242785,2019-01-24 23:21:15,"5200 N TEUTONIA AV,MKE",4,PATROL,Assignment Completed
190242783-Assignment Completed,190242783,2019-01-24 23:20:52,"N 36TH ST / W BROWN ST,MKE",3,NON PURSUIT NO P,Assignment Completed
190242781-Assignment Completed,190242781,2019-01-24 23:20:08,"10330 W SILVER SPRING DR,MKE",4,BUSINESS CHECK,Assignment Completed
190242780-Assignment Completed,190242780,2019-01-24 23:19:29,"400 E BURLEIGH ST,MKE",5,PARK AND WALK,Assignment Completed
190242775-Assignment Completed,190242775,2019-01-24 23:17:43,"S 15TH PL / W SCOTT ST,MKE",2,NON PURSUIT,Assignment Completed
190242760-Advised,190242760,2019-01-24 23:10:11,"3120 N 46TH ST,MKE",7,SUBJ STOP,Advised
190242758-Assignment Completed,190242758,2019-01-24 23:09:05,"3626 W FOND DU LAC AV,MKE",7,REPORTS,Assignment Completed
190242706-Assignment Completed,190242706,2019-01-24 22:40:47,"N 35TH ST / W VILLARD AV,MKE",7,PATROL,Assignment Completed
190242813-Assignment Completed,190242813,2019-01-24 23:34:20,"1216 S CESAR E CHAVEZ DR,MKE",2,BUSINESS CHECK,Assignment Completed
190242811-Assignment Completed,190242811,2019-01-24 23:33:51,"2532 W WISCONSIN AV,MKE",3,PATROL,Assignment Completed
190242808-Service in Progress,190242808,2019-01-24 23:33:48,"2571 N 51ST ST,MKE",3,BATTERY DV,Service in Progress
190242810-To be Filed,190242810,2019-01-24 23:33:32,"3006 S 27TH ST,MKE",6,REPORTS,To be Filed
