ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
182562891-To be Filed,182562891,2018-09-13 23:29:52,"1023 N OLD WORLD THIRD ST,MKE",1,TRBL W/SUBJ,To be Filed
182562890-Assignment Completed,182562890,2018-09-13 23:29:42,"700 N HAWLEY RD,MKE",3,BUS INVESTIGATIO,Assignment Completed
182562889-Assignment Completed,182562889,2018-09-13 23:29:16,"1737 N WATER ST,MKE",1,PARK AND WALK,Assignment Completed
182562485-Service in Progress,182562485,2018-09-13 23:27:46,"2523 W PIERCE ST,MKE",2,STOLEN VEHICLE,Service in Progress
182562887-Assignment Completed,182562887,2018-09-13 23:27:02,"3476 N HOLTON ST,MKE",5,BUSINESS CHECK,Assignment Completed
182562886-Assignment Completed,182562886,2018-09-13 23:26:44,"3869 S 84TH ST,MKE",6,BUSINESS CHECK,Assignment Completed
182562884-Unable to Locate Complainant,182562884,2018-09-13 23:25:59,"2478 N 26TH ST,MKE",3,SHOTSPOTTER,Unable to Locate Complainant
182562885-Service in Progress,182562885,2018-09-13 23:25:55,"3006 S 27TH ST,MKE",6,REPORTS,Service in Progress
182562881-Assignment Completed,182562881,2018-09-13 23:24:15,"3626 W FOND DU LAC AV,MKE",7,FOLLOW UP,Assignment Completed
182562875-Assignment Completed,182562875,2018-09-13 23:22:40,"5901 W BLUE MOUND RD,MKE",3,TAVERN CHECK,Assignment Completed
182562870-To be Filed,182562870,2018-09-13 23:19:01,"749 W STATE ST,MKE",1,REPORTS,To be Filed
182562855-To be Filed,182562855,2018-09-13 23:09:40,"E CENTER ST / N BREMEN ST,MKE",5,PARK AND WALK,To be Filed
182562818-To be Filed,182562818,2018-09-13 22:55:59,"N 27TH ST / W CAPITOL DR,MKE",5,ACC PDO,To be Filed
182562613-Assignment Completed,182562613,2018-09-13 22:43:09,"5245 N 37TH ST,MKE",4,SUBJ WANTED,Assignment Completed
182562896-Service in Progress,182562896,2018-09-13 23:34:53,"749 W STATE ST,MKE",1,OUT OF SERVICE,Service in Progress
182562895-Assignment Completed,182562895,2018-09-13 23:34:12,"505 E CAPITOL DR,MKE",5,BUSINESS CHECK,Assignment Completed
182562858-Service in Progress,182562858,2018-09-13 23:33:49,"605 S 1ST ST,MKE",2,NOISE NUISANCE,Service in Progress
182562669-Advised,182562669,2018-09-13 23:33:31,"5739 W SILVER SPRING DR,MKE",4,THEFT,Advised
182562893-Assignment Completed,182562893,2018-09-13 23:32:05,"5200 W VLIET ST,MKE",3,BUS INVESTIGATIO,Assignment Completed
182562892-Advised,182562892,2018-09-13 23:30:45,"4620 W MARION ST,MKE",7,TRAFFIC STOP,Advised
182562843-Service in Progress,182562843,2018-09-13 23:30:38,"1040 S 29TH ST,MKE",2,TRBL W/SUBJ,Service in Progress
182562885-To be Filed,182562885,2018-09-13 23:25:55,"3006 S 27TH ST,MKE",6,REPORTS,To be Filed
182562877-Assignment Completed,182562877,2018-09-13 23:23:13,"3381 N 35TH ST,MKE",7,BUSINESS CHECK,Assignment Completed
182562876-Assignment Completed,182562876,2018-09-13 23:23:01,"5600 W CAPITOL DR,MKE",7,RETURN STATION,Assignment Completed
182562873-Assignment Completed,182562873,2018-09-13 23:21:49,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Assignment Completed
182562814-Advised,182562814,2018-09-13 23:03:12,"5280 N 67TH ST,MKE",4,FAMILY TROUBL-DV,Advised
182562831-Unable to Locate Complainant,182562831,2018-09-13 22:59:34,"N 35TH ST / W LISBON AV,MKE",3,TRBL W/SUBJ,Unable to Locate Complainant
182562823-Advised/Referral,182562823,2018-09-13 22:54:42,"3845 N 17TH ST,MKE",5,BATTERY DV,Advised/Referral
182562613-Unable to Locate Complainant,182562613,2018-09-13 22:43:09,"5245 N 37TH ST,MKE",4,SUBJ WANTED,Unable to Locate Complainant
182562908-Assignment Completed,182562908,2018-09-13 23:39:13,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed
182562906-Assignment Completed,182562906,2018-09-13 23:37:54,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed
182562905-Advised,182562905,2018-09-13 23:37:10,"2900 S SHORE DR,MKE",6,SUBJ STOP,Advised
182562902-Unable to Locate Complainant,182562902,2018-09-13 23:36:58,"115 N 68TH ST,MKE",3,SHOTS FIRED,Unable to Locate Complainant
182562900-Assignment Completed,182562900,2018-09-13 23:36:09,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed
182562747-Service in Progress,182562747,2018-09-13 23:35:37,"5742 N 79TH ST,MKE",4,NOISE NUISANCE,Service in Progress
