ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
190992870-Service in Progress,190992870,2019-04-09 23:26:25,"120 E NATIONAL AV,MKE",2,TRBL W/SUBJ,Service in Progress
190992875-Assignment Completed,190992875,2019-04-09 23:26:13,"6680 N TEUTONIA AV,MKE",4,RETURN STATION,Assignment Completed
190992886-Assignment Completed,190992886,2019-04-09 23:33:56,"3500 W WISCONSIN AV,MKE",3,INVESTIGATION,Assignment Completed
190992884-Assignment Completed,190992884,2019-04-09 23:33:39,"2617 S AUSTIN ST,MKE",6,FOLLOW UP,Assignment Completed
190992879-Service in Progress,190992879,2019-04-09 23:31:39,"5950 N 75TH ST,MKE",4,WELFARE CITIZEN,Service in Progress
190992853-Advised,190992853,2019-04-09 23:19:01,"3100 S 60TH ST,MKE",6,TRBL W/SUBJ,Advised
190992852-Assignment Completed,190992852,2019-04-09 23:17:04,"749 W STATE ST,MKE",1,PROPERTY PICKUP,Assignment Completed
190992850-To be Filed,190992850,2019-04-09 23:16:34,"3006 S 27TH ST,MKE",6,REPORTS,To be Filed
190992812-To be Filed,190992812,2019-04-09 23:01:09,"3426 W SCOTT ST,MKE",2,ENTRY,To be Filed
190992810-Referral,190992810,2019-04-09 22:58:13,"S 16TH ST / W MITCHELL ST,MKE",2,CALL FOR POLICE,Referral
190992795-To be Filed,190992795,2019-04-09 22:51:14,"6003 W FOND DU LAC AV,MKE",7,THEFT,To be Filed
190992749-City Citation(s) Issued,190992749,2019-04-09 22:49:04,"2555 S 28TH ST,MKE",2,PROPERTY DAMAGE,City Citation(s) Issued
190992772-Assignment Completed,190992772,2019-04-09 22:36:28,"749 W STATE ST,MKE",1,REPORTS,Assignment Completed
190992893-Assignment Completed,190992893,2019-04-09 23:39:39,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed
190992892-Assignment Completed,190992892,2019-04-09 23:39:36,"N 68TH ST / W SILVER SPRING DR,MKE",4,PATROL,Assignment Completed
190992861-Service in Progress,190992861,2019-04-09 23:38:47,"6477 N 40TH ST,MKE",4,THEFT,Service in Progress
190992885-Unable to Locate Complainant,190992885,2019-04-09 23:37:52,"3352 N 10TH ST,MKE",5,SHOTS FIRED,Unable to Locate Complainant
190992890-Advised,190992890,2019-04-09 23:37:06,"1601 W HOWARD AV,MKE",6,SUBJ STOP,Advised
190992857-Assignment Completed,190992857,2019-04-09 23:18:42,"N 91ST ST / W SILVER SPRING DR,MKE",4,INVESTIGATION,Assignment Completed
190992901-Assignment Completed,190992901,2019-04-09 23:43:49,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed
190992898-Service in Progress,190992898,2019-04-09 23:43:18,"2828 N 49TH ST,MKE",7,VIOL REST ORDER,Service in Progress
190992881-Unable to Locate Complainant,190992881,2019-04-09 23:43:11,"3300-BLK N 16TH ST,MKE",5,MFD OTHER,Unable to Locate Complainant
190992900-Service in Progress,190992900,2019-04-09 23:43:05,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Service in Progress
190992897-Service in Progress,190992897,2019-04-09 23:41:27,"1425 S 11TH ST,MKE",2,SPECIAL ASSIGN,Service in Progress
190992887-Service in Progress,190992887,2019-04-09 23:40:38,"1521 W SCOTT ST,MKE",2,BATTERY,Service in Progress
190992894-Assignment Completed,190992894,2019-04-09 23:40:27,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed
190992912-Assignment Completed,190992912,2019-04-09 23:49:43,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed
190992877-Advised,190992877,2019-04-09 23:49:42,"4136 N 42ND ST,MKE",7,PARKING TROUBLE,Advised
190992903-Service in Progress,190992903,2019-04-09 23:47:18,"5550 N 54TH ST,MKE",4,SUBJ WITH GUN,Service in Progress
190992908-Assignment Completed,190992908,2019-04-09 23:47:13,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Assignment Completed
190992907-Assignment Completed,190992907,2019-04-09 23:46:13,"2217 S 1ST ST,MKE",2,BUSINESS CHECK,Assignment Completed
190992906-Advised,190992906,2019-04-09 23:45:43,"N 54TH ST / W ROOSEVELT DR,MKE",7,TRAFFIC STOP,Advised
190992905-Service in Progress,190992905,2019-04-09 23:45:27,"749 W STATE ST,MKE",1,OUT OF SERVICE,Service in Progress
190992904-Assignment Completed,190992904,2019-04-09 23:45:04,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Assignment Completed
190992900-Assignment Completed,190992900,2019-04-09 23:43:05,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Assignment Completed
190992841-Unable to Locate Complainant,190992841,2019-04-09 23:17:11,"9001 N 75TH ST,MKE",4,CALL FOR POLICE,Unable to Locate Complainant
190992805-Unable to Locate Complainant,190992805,2019-04-09 23:54:37,"W CAPITOL DR / N PORT WASHINGTON AV,MKE",5,LOOSE ANIMAL,Unable to Locate Complainant
190992874-Unable to Locate Complainant,190992874,2019-04-09 23:54:07,"8334 W APPLETON AV,MKE",7,TRBL W/SUBJ,Unable to Locate Complainant
190992921-Service in Progress,190992921,2019-04-09 23:53:49,"N 16TH ST / W CONCORDIA AV,MKE",5,WELFARE CITIZEN,Service in Progress
190992919-Service in Progress,190992919,2019-04-09 23:52:30,"E KENWOOD BL / N DOWNER AV,MKE",1,PATROL,Service in Progress
190992917-Assignment Completed,190992917,2019-04-09 23:51:19,"125 W BECHER ST,MKE",2,BUSINESS CHECK,Assignment Completed
190992916-Assignment Completed,190992916,2019-04-09 23:51:16,"3522 W WISCONSIN AV,MKE",3,BUSINESS CHECK,Assignment Completed
190992915-Service in Progress,190992915,2019-04-09 23:51:09,"2333 N 49TH ST,MKE",3,RETURN STATION,Service in Progress
190992914-Service in Progress,190992914,2019-04-09 23:50:43,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Service in Progress
190992866-Service in Progress,190992866,2019-04-09 23:50:08,"4736 N 37TH ST,MKE",7,SUBJ WANTED,Service in Progress
190992921-Assignment Completed,190992921,2019-04-09 23:53:49,"N 16TH ST / W CONCORDIA AV,MKE",5,WELFARE CITIZEN,Assignment Completed
190992919-Assignment Completed,190992919,2019-04-09 23:52:30,"E KENWOOD BL / N DOWNER AV,MKE",1,PATROL,Assignment Completed
190992914-Assignment Completed,190992914,2019-04-09 23:50:43,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Assignment Completed
190992905-Assignment Completed,190992905,2019-04-09 23:45:27,"749 W STATE ST,MKE",1,OUT OF SERVICE,Assignment Completed
191000001-To be Filed,191000001,2019-04-10 00:02:41,"3228 W MC KINLEY BL,MKE",3,FOLLOW UP,To be Filed
190992915-Assignment Completed,190992915,2019-04-09 23:51:09,"2333 N 49TH ST,MKE",3,RETURN STATION,Assignment Completed
191000013-Service in Progress,191000013,2019-04-10 00:09:19,"245 W LINCOLN AV,MKE",2,REPORTS,Service in Progress
191000008-Service in Progress,191000008,2019-04-10 00:08:45,"7601 W HAMPTON AV,MKE",7,ROBBERY ARMED,Service in Progress
191000012-Assignment Completed,191000012,2019-04-10 00:08:33,"369 E OKLAHOMA AV,MKE",6,BUSINESS CHECK,Assignment Completed
191000010-Assignment Completed,191000010,2019-04-10 00:08:09,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Assignment Completed
191000011-Advised,191000011,2019-04-10 00:08:09,"8059 W POTOMAC AV,MKE",7,TRAFFIC STOP,Advised
191000007-Service in Progress,191000007,2019-04-10 00:06:08,"N 60TH ST / W KAUL AV,MKE",4,TRAFFIC STOP,Service in Progress
191000006-Service in Progress,191000006,2019-04-10 00:05:37,"2333 N 49TH ST,MKE",3,SPECIAL ASSIGN,Service in Progress
191000005-Advised,191000005,2019-04-10 00:05:28,"4227 W ROOSEVELT DR,MKE",7,TRAFFIC STOP,Advised
191000021-Unable to Locate Complainant,191000021,2019-04-10 00:14:42,"353 N 33RD ST,MKE",3,CALL FOR POLICE,Unable to Locate Complainant
190992923-Advised,190992923,2019-04-10 00:14:27,"962 N 37TH ST,MKE",3,TRBL W/SUBJ,Advised
191000020-Assignment Completed,191000020,2019-04-10 00:13:38,"2333 N 49TH ST,MKE",3,RETURN STATION,Assignment Completed
191000016-Service in Progress,191000016,2019-04-10 00:11:13,"1207 S 17TH ST,MKE",2,WELFARE CITIZEN,Service in Progress
191000014-Advised/Referral,191000014,2019-04-10 00:10:40,"2924 N 41ST ST,MKE",7,ENTRY,Advised/Referral
191000007-Advised,191000007,2019-04-10 00:06:08,"N 60TH ST / W KAUL AV,MKE",4,TRAFFIC STOP,Advised
190992859-Assignment Completed,190992859,2019-04-09 23:20:30,"2342 N 18TH ST,MKE",3,THREAT,Assignment Completed
190992918-Service in Progress,190992918,2019-04-10 00:19:30,"10404 W KIEHNAU AV,MKE",4,THREAT,Service in Progress
190992909-Service in Progress,190992909,2019-04-10 00:18:33,"2332 N 7TH ST,MKE",5,TRBL W/SUBJ,Service in Progress
191000027-Assignment Completed,191000027,2019-04-10 00:18:22,"1609 E NORTH AV,MKE",1,BUSINESS CHECK,Assignment Completed
191000022-Service in Progress,191000022,2019-04-10 00:17:31,"4933 N 38TH ST,MKE",7,BATTERY,Service in Progress
