ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
183232660-To be Filed,183232660,2018-11-19 22:55:25,"S 34TH ST / W ARTHUR AV,MKE",2,SHOTS FIRED,To be Filed
183232700-Service in Progress,183232700,2018-11-19 23:30:46,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Service in Progress
183232692-Assignment Completed,183232692,2018-11-19 23:23:00,"1609 E NORTH AV,MKE",1,THEFT,Assignment Completed
183232665-Cleared by Arrest,183232665,2018-11-19 22:56:21,"245 W LINCOLN AV,MKE",2,SUBJ WANTED,Cleared by Arrest
183232684-Unable to Locate Complainant,183232684,2018-11-19 23:38:39,"7284 W APPLETON AV,MKE",7,STOLEN VEHICLE,Unable to Locate Complainant
183232703-Service in Progress,183232703,2018-11-19 23:37:34,"5032 N 105TH ST,MKE",4,ENTRY,Service in Progress
183232709-Assignment Completed,183232709,2018-11-19 23:37:06,"6929 W SILVER SPRING DR,MKE",4,RETURN STATION,Assignment Completed
183232706-Advised,183232706,2018-11-19 23:35:13,"1810 S 16TH ST,MKE",2,TRAFFIC STOP,Advised
183232719-Service in Progress,183232719,2018-11-19 23:44:56,"N 74TH ST / W CAPITOL DR,MKE",7,TRAFFIC HAZARD,Service in Progress
183232714-Advised/Referral,183232714,2018-11-19 23:44:43,"10443 W FAIRMOUNT AV,MKE",4,WELFARE CITIZEN,Advised/Referral
183232661-To be Filed,183232661,2018-11-19 23:41:39,"2944 N 9TH ST,MKE",5,THEFT,To be Filed
183232712-Assignment Completed,183232712,2018-11-19 23:40:04,"6929 W SILVER SPRING DR,MKE",4,RETURN STATION,Assignment Completed
183232721-Assignment Completed,183232721,2018-11-19 23:48:57,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Assignment Completed
183232701-Advised,183232701,2018-11-19 23:46:58,"902 S 26TH ST,MKE",2,WELFARE CITIZEN,Advised
183232717-Service in Progress,183232717,2018-11-19 23:46:15,"5805 N 40TH ST,MKE",4,SHOTS FIRED,Service in Progress
183232715-Advised/Referral,183232715,2018-11-19 23:46:11,"2722 N VEL R PHILLIPS AV,MKE",5,BATTERY,Advised/Referral
183232719-Assignment Completed,183232719,2018-11-19 23:44:56,"N 74TH ST / W CAPITOL DR,MKE",7,TRAFFIC HAZARD,Assignment Completed
183232680-To be Filed,183232680,2018-11-19 23:09:41,"S 5TH ST / W ORCHARD ST,MKE",2,TRAFFIC STOP,To be Filed
183232728-Service in Progress,183232728,2018-11-19 23:53:18,"749 W STATE ST,MKE",1,PRISONER TRANS,Service in Progress
183232724-Assignment Completed,183232724,2018-11-19 23:51:22,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Assignment Completed
183232723-Assignment Completed,183232723,2018-11-19 23:51:20,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed
183232693-Assignment Completed,183232693,2018-11-19 23:23:11,"S LAYTON BL / W BURNHAM ST,MKE",2,ACC PI,Assignment Completed
183232733-Advised,183232733,2018-11-19 23:58:18,"2556 N MURRAY AV,MKE",1,ENTRY,Advised
183232726-Service in Progress,183232726,2018-11-19 23:57:08,"N 37TH ST / W CENTER ST,MKE",3,ACC PI,Service in Progress
183232732-Assignment Completed,183232732,2018-11-19 23:56:14,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed
183232731-Assignment Completed,183232731,2018-11-19 23:55:12,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed
183232693-To be Filed,183232693,2018-11-19 23:23:11,"S LAYTON BL / W BURNHAM ST,MKE",2,ACC PI,To be Filed
183232646-Advised,183232646,2018-11-19 23:11:58,"945 N 12TH ST,MKE",3,THEFT,Advised
183240001-Unable to Locate Complainant,183240001,2018-11-20 00:09:52,"1811 N 18TH ST,MKE",3,SUSP PERS/AUTO,Unable to Locate Complainant
183240007-Service in Progress,183240007,2018-11-20 00:09:44,"749 W STATE ST,MKE",1,SPECIAL ASSIGN,Service in Progress
183240006-Service in Progress,183240006,2018-11-20 00:09:29,"749 W STATE ST,MKE",1,SPECIAL ASSIGN,Service in Progress
183240004-Advised,183240004,2018-11-20 00:07:40,"1428 S 13TH ST,MKE",2,TRAFFIC STOP,Advised
183240010-Service in Progress,183240010,2018-11-20 00:14:55,"134 E JUNEAU AV,MKE",1,PARK AND WALK,Service in Progress
183232588-Service in Progress,183232588,2018-11-20 00:13:53,"2929 N 27TH ST,MKE",5,ACC PDO,Service in Progress
183240009-Service in Progress,183240009,2018-11-20 00:13:20,"3869 N 42ND ST,MKE",7,ENTRY,Service in Progress
183232726-Assignment Completed,183232726,2018-11-19 23:57:08,"N 37TH ST / W CENTER ST,MKE",3,ACC PI,Assignment Completed
183232702-Service in Progress,183232702,2018-11-20 00:19:33,"5000 W CHAMBERS ST,MKE",7,SUBJ WANTED,Service in Progress
183240012-Service in Progress,183240012,2018-11-20 00:18:43,"4666 N 18TH ST,MKE",7,TRBL W/SUBJ-DV,Service in Progress
183232729-Assignment Completed,183232729,2018-11-20 00:18:29,"W HAMPTON AV / N LOVERS LANE RD,MKE",4,TRAFFIC HAZARD,Assignment Completed
183232697-Service in Progress,183232697,2018-11-20 00:17:55,"4838 N 71ST ST,MKE",7,CALL FOR POLICE,Service in Progress
183240014-Service in Progress,183240014,2018-11-20 00:17:13,"3626 W FOND DU LAC AV,MKE",7,POLICE ADMIN,Service in Progress
183240013-Service in Progress,183240013,2018-11-20 00:16:39,"6929 W SILVER SPRING DR,MKE",4,REPORTS,Service in Progress
183232588-To be Filed,183232588,2018-11-20 00:13:53,"2929 N 27TH ST,MKE",5,ACC PDO,To be Filed
183232678-Advised,183232678,2018-11-19 23:20:44,"S LAYTON BL / W NATIONAL AV,MKE",2,TRBL W/SUBJ,Advised
183240018-Service in Progress,183240018,2018-11-20 00:20:40,"3626 W FOND DU LAC AV,MKE",7,ASSIGNMENT,Service in Progress
183240012-Advised,183240012,2018-11-20 00:18:43,"4666 N 18TH ST,MKE",7,TRBL W/SUBJ-DV,Advised
183240013-Assignment Completed,183240013,2018-11-20 00:16:39,"6929 W SILVER SPRING DR,MKE",4,REPORTS,Assignment Completed
183240023-Service in Progress,183240023,2018-11-20 00:29:20,"2690 W WISCONSIN AV,MKE",3,INVESTIGATION,Service in Progress
183240020-Service in Progress,183240020,2018-11-20 00:26:57,"1032 E KNAPP ST,MKE",1,SUSP PERS/AUTO,Service in Progress
183232713-Service in Progress,183232713,2018-11-20 00:26:49,"1212 S 30TH ST,MKE",2,SUBJ WANTED,Service in Progress
183240021-Assignment Completed,183240021,2018-11-20 00:25:41,"245 W LINCOLN AV,MKE",2,RETURN STATION,Assignment Completed
183240027-To be Filed,183240027,2018-11-20 00:33:50,"749 W STATE ST,MKE",1,RETURN STATION,To be Filed
183240026-Assignment Completed,183240026,2018-11-20 00:33:09,"1366 W COLLEGE AV,MKE",6,BUSINESS CHECK,Assignment Completed
183240024-Service in Progress,183240024,2018-11-20 00:32:08,"1402 W MEINECKE AV,MKE",3,TRBL W/SUBJ-DV,Service in Progress
183232641-Service in Progress,183232641,2018-11-20 00:30:43,"2920 N VEL R PHILLIPS AV,MKE",5,SUBJ WANTED,Service in Progress
183232713-Unable to Locate Complainant,183232713,2018-11-20 00:26:49,"1212 S 30TH ST,MKE",2,SUBJ WANTED,Unable to Locate Complainant
183240014-Assignment Completed,183240014,2018-11-20 00:17:13,"3626 W FOND DU LAC AV,MKE",7,POLICE ADMIN,Assignment Completed
183240033-Advised,183240033,2018-11-20 00:38:50,"1529 W GREENFIELD AV,MKE",2,TRAFFIC STOP,Advised
183240031-Assignment Completed,183240031,2018-11-20 00:36:37,"1850 N FARWELL AV,MKE",1,BUSINESS CHECK,Assignment Completed
183240030-Assignment Completed,183240030,2018-11-20 00:35:57,"4600 S 6TH ST,MKE",6,BUSINESS CHECK,Assignment Completed
183232734-Service in Progress,183232734,2018-11-20 00:35:13,"3149 S 77TH ST,MKE",6,ACC PDO,Service in Progress
183240028-Service in Progress,183240028,2018-11-20 00:35:09,"3626 W FOND DU LAC AV,MKE",7,REPORTS,Service in Progress
183240024-Advised,183240024,2018-11-20 00:32:08,"1402 W MEINECKE AV,MKE",3,TRBL W/SUBJ-DV,Advised
183240016-Service in Progress,183240016,2018-11-20 00:44:46,"3829 N HUMBOLDT BL,MKE",5,TRBL W/SUBJ,Service in Progress
183240039-Service in Progress,183240039,2018-11-20 00:44:16,"5602 W VLIET ST,MKE",3,BUSINESS CHECK,Service in Progress
183240038-Service in Progress,183240038,2018-11-20 00:43:25,"245 W LINCOLN AV,MKE",2,RETURN STATION,Service in Progress
183240034-Service in Progress,183240034,2018-11-20 00:40:02,"2333 N 49TH ST,MKE",3,RETURN STATION,Service in Progress
183240047-Service in Progress,183240047,2018-11-20 00:49:36,"6929 W SILVER SPRING DR,MKE",4,POLICE ADMIN,Service in Progress
183240042-Advised,183240042,2018-11-20 00:49:10,"4519 N 20TH ST,MKE",5,WELFARE CITIZEN,Advised
183240046-Assignment Completed,183240046,2018-11-20 00:49:05,"4488 S 27TH ST,MKE",6,BUSINESS CHECK,Assignment Completed
183240045-Assignment Completed,183240045,2018-11-20 00:48:06,"W SILVER SPRING DR / N 76TH ST,MKE",4,PATROL,Assignment Completed
183240044-Service in Progress,183240044,2018-11-20 00:47:25,"9400-BLK W MT ZION DR,MKE",4,INVESTIGATION,Service in Progress
183240043-Assignment Completed,183240043,2018-11-20 00:47:05,"749 W STATE ST,MKE",1,POLICE ADMIN,Assignment Completed
183240041-Service in Progress,183240041,2018-11-20 00:46:32,"2920 N VEL R PHILLIPS AV,MKE",5,RETURN STATION,Service in Progress
183240040-Assignment Completed,183240040,2018-11-20 00:46:31,"1200 W COLLEGE AV,MKE",6,PATROL,Assignment Completed
183240016-Unable to Locate Complainant,183240016,2018-11-20 00:44:46,"3829 N HUMBOLDT BL,MKE",5,TRBL W/SUBJ,Unable to Locate Complainant
183240038-Assignment Completed,183240038,2018-11-20 00:43:25,"245 W LINCOLN AV,MKE",2,RETURN STATION,Assignment Completed
183240020-Assignment Completed,183240020,2018-11-20 00:26:57,"1032 E KNAPP ST,MKE",1,SUSP PERS/AUTO,Assignment Completed
183232702-Unable to Locate Complainant,183232702,2018-11-20 00:19:33,"5000 W CHAMBERS ST,MKE",7,SUBJ WANTED,Unable to Locate Complainant
