ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
191202824-Service in Progress,191202824,2019-04-30 23:29:32,"N 91ST ST / W CONGRESS ST,MKE",7,FOLLOW UP,Service in Progress
191202822-Service in Progress,191202822,2019-04-30 23:29:31,"S CESAR E CHAVEZ DR / W NATIONAL AV,MKE",2,BATTERY DV,Service in Progress
191202823-Service in Progress,191202823,2019-04-30 23:29:25,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Service in Progress
191202819-Service in Progress,191202819,2019-04-30 23:28:10,"N SWAN RD / W BROWN DEER RD,MKE",4,SUSP PERS/AUTO,Service in Progress
191202817-Service in Progress,191202817,2019-04-30 23:27:03,"777 N VAN BUREN ST,MKE",1,CALL FOR POLICE,Service in Progress
191202818-Assignment Completed,191202818,2019-04-30 23:26:58,"4928 W VLIET ST,MKE",3,TAVERN CHECK,Assignment Completed
191202831-Service in Progress,191202831,2019-04-30 23:32:37,"5600 W CAPITOL DR,MKE",7,RETURN STATION,Service in Progress
191202830-Service in Progress,191202830,2019-04-30 23:32:06,"4300 N GREEN BAY AV,MKE",5,INVESTIGATION,Service in Progress
191202827-Assignment Completed,191202827,2019-04-30 23:30:59,"2759 S KINNICKINNIC AV,MKE",6,BUSINESS CHECK,Assignment Completed
191202828-Assignment Completed,191202828,2019-04-30 23:30:59,"6000 W MILL RD,MKE",4,PATROL,Assignment Completed
191202826-Assignment Completed,191202826,2019-04-30 23:30:48,"245 W LINCOLN AV,MKE",2,RETURN STATION,Assignment Completed
191202822-Assignment Completed,191202822,2019-04-30 23:29:31,"S CESAR E CHAVEZ DR / W NATIONAL AV,MKE",2,BATTERY DV,Assignment Completed
191202823-Assignment Completed,191202823,2019-04-30 23:29:25,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Assignment Completed
191202809-Unable to Locate Complainant,191202809,2019-04-30 23:24:30,"4425 W NORTH AV,MKE",3,THREAT,Unable to Locate Complainant
191202804-Assignment Completed,191202804,2019-04-30 23:19:02,"3006 S 27TH ST,MKE",6,ASSIGN-ADMN MPD,Assignment Completed
191202792-Assignment Completed,191202792,2019-04-30 23:11:43,"5885 S HOWELL AV,MKE",6,BUSINESS CHECK,Assignment Completed
191202784-Assignment Completed,191202784,2019-04-30 23:07:01,"455 S 72ND ST,MKE",3,ASSIGNMENT,Assignment Completed
191202774-Advised/Referral,191202774,2019-04-30 23:01:28,"1704 N 29TH ST,MKE",3,ENTRY,Advised/Referral
191202832-Service in Progress,191202832,2019-04-30 23:38:21,"2221 W NATIONAL AV,MKE",2,TRBL W/SUBJ,Service in Progress
191202803-City Citation(s) Issued,191202803,2019-04-30 23:19:40,"4057 N GREEN BAY AV,MKE",5,THEFT,City Citation(s) Issued
191202733-Assignment Completed,191202733,2019-04-30 22:43:38,"949 N 9TH ST,MKE",1,FOLLOW UP,Assignment Completed
191202843-Service in Progress,191202843,2019-04-30 23:43:31,"1705 W GALENA ST,MKE",3,SHOTSPOTTER,Service in Progress
191202846-Assignment Completed,191202846,2019-04-30 23:43:09,"5500 N HOPKINS ST,MKE",4,FOLLOW UP,Assignment Completed
191202837-Service in Progress,191202837,2019-04-30 23:43:01,"9100 W LOCUST ST,MKE",7,SUSPICIOUS-OTH,Service in Progress
191202845-Assignment Completed,191202845,2019-04-30 23:42:56,"405 N 27TH ST,MKE",3,BUSINESS CHECK,Assignment Completed
191202842-Service in Progress,191202842,2019-04-30 23:42:25,"W HAMPTON AV / N HOPKINS ST,MKE",7,ACC UNKN INJ,Service in Progress
191202841-Service in Progress,191202841,2019-04-30 23:42:09,"2920 N VEL R PHILLIPS AV,MKE",5,REPORTS,Service in Progress
191202839-Service in Progress,191202839,2019-04-30 23:42:00,"W HAMPTON AV / N MOTHER DANIELS WA,MKE",7,ACC UNKN INJ,Service in Progress
191202840-Service in Progress,191202840,2019-04-30 23:41:45,"2049 N 12TH ST,MKE",3,SHOTSPOTTER,Service in Progress
191202819-Unable to Locate Complainant,191202819,2019-04-30 23:28:10,"N SWAN RD / W BROWN DEER RD,MKE",4,SUSP PERS/AUTO,Unable to Locate Complainant
191202779-Unable to Locate Complainant,191202779,2019-04-30 23:22:24,"4630 N 77TH ST,MKE",7,SUBJ WANTED,Unable to Locate Complainant
191202802-Advised,191202802,2019-04-30 23:18:49,"3920 W GOOD HOPE RD,MKE",4,PROPERTY DAMAGE,Advised
191202859-Assignment Completed,191202859,2019-04-30 23:54:56,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed
191202857-Assignment Completed,191202857,2019-04-30 23:54:43,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed
191202853-Service in Progress,191202853,2019-04-30 23:51:11,"5004 W VLIET ST,MKE",3,TAVERN CHECK,Service in Progress
191202839-Advised,191202839,2019-04-30 23:42:00,"W HAMPTON AV / N MOTHER DANIELS WA,MKE",7,ACC UNKN INJ,Advised
191202831-Assignment Completed,191202831,2019-04-30 23:32:37,"5600 W CAPITOL DR,MKE",7,RETURN STATION,Assignment Completed
191202824-Open Investigation,191202824,2019-04-30 23:29:32,"N 91ST ST / W CONGRESS ST,MKE",7,FOLLOW UP,Open Investigation
191202817-Advised,191202817,2019-04-30 23:27:03,"777 N VAN BUREN ST,MKE",1,CALL FOR POLICE,Advised
191202844-Service in Progress,191202844,2019-04-30 23:56:02,"3442 N 15TH ST,MKE",5,SUBJ WITH WEAPON,Service in Progress
191202858-Service in Progress,191202858,2019-04-30 23:56:02,"3326 N CRAMER ST,MKE",1,SUSP PERS/AUTO,Service in Progress
191202843-Unable to Locate Complainant,191202843,2019-04-30 23:43:31,"1705 W GALENA ST,MKE",3,SHOTSPOTTER,Unable to Locate Complainant
191202839-Assignment Completed,191202839,2019-04-30 23:42:00,"W HAMPTON AV / N MOTHER DANIELS WA,MKE",7,ACC UNKN INJ,Assignment Completed
191202832-Advised,191202832,2019-04-30 23:38:21,"2221 W NATIONAL AV,MKE",2,TRBL W/SUBJ,Advised
191202781-Open Investigation,191202781,2019-04-30 23:09:12,"4366 N 14TH ST,MKE",5,PROPERTY DAMAGE,Open Investigation
