ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
183072647-Advised,183072647,2018-11-03 23:27:57,"S 1ST ST / W MINERAL ST,MKE",2,ACC PDO,Advised
183072687-Advised,183072687,2018-11-03 23:26:24,"N 40TH ST / W CAPITOL DR,MKE",7,TRAFFIC STOP,Advised
183072597-Service in Progress,183072597,2018-11-03 23:25:55,"3888 N PORT WASHINGTON AV,MKE",5,TRBL W/SUBJ,Service in Progress
183072675-Unable to Locate Complainant,183072675,2018-11-03 23:19:57,"3039 W KILBOURN AV,MKE",3,SHOTS FIRED,Unable to Locate Complainant
183072651-Advised,183072651,2018-11-03 23:17:36,"2900 S 9TH ST,MKE",6,NOISE NUISANCE,Advised
183072598-Advised,183072598,2018-11-03 23:16:32,"4415 N 25TH ST,MKE",5,WELFARE CITIZEN,Advised
183072624-Advised,183072624,2018-11-03 23:12:52,"7745 W OKLAHOMA AV,MKE",6,TRBL W/SUBJ,Advised
183072650-Unable to Locate Complainant,183072650,2018-11-03 23:12:08,"2451 N 46TH ST,MKE",3,SHOTSPOTTER,Unable to Locate Complainant
183072608-Unable to Locate Complainant,183072608,2018-11-03 22:54:42,"224 S 61ST ST,MKE",3,BATTERY DV,Unable to Locate Complainant
183072541-Advised,183072541,2018-11-03 22:45:57,"2650 N 25TH ST,MKE",3,FAMILY TROUBLE,Advised
183072582-Assignment Completed,183072582,2018-11-03 22:36:26,"6929 W SILVER SPRING DR,MKE",4,REPORTS,Assignment Completed
183072644-Advised,183072644,2018-11-03 23:33:36,"N 58TH ST / W MEINECKE AV,MKE",3,ACC PDO,Advised
183072690-Service in Progress,183072690,2018-11-03 23:33:26,"E AUER AV / N HUMBOLDT BL,MKE",5,ACC PDO,Service in Progress
183072672-Advised,183072672,2018-11-03 23:32:37,"3235 S ILLINOIS AV,MKE",6,TRBL W/JUV,Advised
183072617-Unable to Locate Complainant,183072617,2018-11-03 23:32:32,"401 E KILBOURN AV,MKE",1,TRBL W/SUBJ,Unable to Locate Complainant
183072695-Assignment Completed,183072695,2018-11-03 23:32:15,"5201 W SILVER SPRING DR,MKE",4,BUSINESS CHECK,Assignment Completed
183072694-Assignment Completed,183072694,2018-11-03 23:31:48,"6929 W SILVER SPRING DR,MKE",4,RETURN STATION,Assignment Completed
183072665-Service in Progress,183072665,2018-11-03 23:31:47,"4909 N 49TH ST,MKE",7,TRBL W/SUBJ-DV,Service in Progress
183072646-To be Filed,183072646,2018-11-03 23:17:26,"N 60TH ST / W CENTER ST,MKE",3,ACC PDO,To be Filed
183072634-Unable to Locate Complainant,183072634,2018-11-03 23:14:21,"2128 E LOCUST ST,MKE",1,TRBL W/SUBJ,Unable to Locate Complainant
183072663-Cleared by Arrest,183072663,2018-11-03 23:12:42,"3000 S 20TH ST,MKE",6,TRAFFIC STOP,Cleared by Arrest
183072605-To be Filed,183072605,2018-11-03 22:53:22,"812 S LAYTON BL,MKE",2,ACC PDO,To be Filed
183072577-Advised,183072577,2018-11-03 22:52:44,"4569 N TEUTONIA AV,MKE",5,TRBL W/SUBJ,Advised
183072593-Assignment Completed,183072593,2018-11-03 22:45:55,"749 W STATE ST,MKE",1,POLICE ADMIN,Assignment Completed
183072700-Service in Progress,183072700,2018-11-03 23:38:16,"2920 N VEL R PHILLIPS AV,MKE",5,BATTERY,Service in Progress
183072705-Assignment Completed,183072705,2018-11-03 23:37:03,"6001 N TEUTONIA AV,MKE",4,BUSINESS CHECK,Assignment Completed
183072699-Service in Progress,183072699,2018-11-03 23:36:37,"5734 W VILLARD AV,MKE",4,CALL FOR POLICE,Service in Progress
183072693-Advised,183072693,2018-11-03 23:35:56,"2147 S MOUND ST,MKE",6,NOISE NUISANCE,Advised
183072586-Service in Progress,183072586,2018-11-03 23:35:02,"4759 N 29TH ST,MKE",5,PROBATION/PAROLE,Service in Progress
183072628-Assignment Completed,183072628,2018-11-03 22:59:33,"S 11TH ST / W MAPLE ST,MKE",2,PATROL,Assignment Completed
183072595-Advised,183072595,2018-11-03 22:47:15,"3134 N 11TH ST,MKE",5,TRAFFIC STOP,Advised
183072702-Service in Progress,183072702,2018-11-03 23:44:10,"6442 W EUCLID AV,MKE",6,TRBL W/SUBJ,Service in Progress
183072706-Service in Progress,183072706,2018-11-03 23:43:22,"2624 W LISBON AV,MKE",3,SUBJ WITH WEAPON,Service in Progress
183072715-Assignment Completed,183072715,2018-11-03 23:42:16,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed
183072714-Assignment Completed,183072714,2018-11-03 23:42:05,"3300 W NATIONAL AV,MKE",2,TAVERN CHECK,Assignment Completed
183072713-Service in Progress,183072713,2018-11-03 23:41:51,"550 N HARBOR DR,MKE",1,SPECIAL ASSIGN,Service in Progress
183072688-Service in Progress,183072688,2018-11-03 23:41:49,"3709 S 14TH ST,MKE",6,PROPERTY DAMAGE,Service in Progress
183072674-Service in Progress,183072674,2018-11-03 23:40:36,"3031 N 24TH ST,MKE",5,LANDLORD/TEN TRB,Service in Progress
183072728-Assignment Completed,183072728,2018-11-03 23:48:43,"749 W STATE ST,MKE",1,OUT OF SERVICE,Assignment Completed
183072716-Service in Progress,183072716,2018-11-03 23:48:37,"4950 N 51ST BL,MKE",7,CALL FOR POLICE,Service in Progress
183072727-Assignment Completed,183072727,2018-11-03 23:48:21,"3830 W NATIONAL AV,MKE",2,TAVERN CHECK,Assignment Completed
183072726-Assignment Completed,183072726,2018-11-03 23:47:44,"350 N PLANKINTON AV,MKE",1,BUSINESS CHECK,Assignment Completed
183072718-Assignment Completed,183072718,2018-11-03 23:47:31,"3756 N 76TH ST,MKE",7,MEET GOVT AGENCY,Assignment Completed
