ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
190182774-Assignment Completed,190182774,2019-01-18 23:24:20,"3520 S PINE AV,MKE",6,ACC PI,Assignment Completed
190182770-Assignment Completed,190182770,2019-01-18 23:21:53,"3500 W VLIET ST,MKE",3,PATROL,Assignment Completed
190182763-Advised,190182763,2019-01-18 23:18:33,"5415 W LISBON AV,MKE",3,TRAFFIC STOP,Advised
190182760-Assignment Completed,190182760,2019-01-18 23:17:13,"3626 W FOND DU LAC AV,MKE",7,CST ASSIGNMENT,Assignment Completed
190182739-Assignment Completed,190182739,2019-01-18 23:15:39,"1216 N 13TH ST,MKE",3,TRBL W/SUBJ,Assignment Completed
190182757-Assignment Completed,190182757,2019-01-18 23:14:50,"N 107TH ST / W MILL RD,MKE",4,PATROL,Assignment Completed
190182724-Unable to Locate Complainant,190182724,2019-01-18 23:08:38,"1218 W HIGHLAND AV,MKE",3,TRBL W/SUBJ,Unable to Locate Complainant
190182707-Advised,190182707,2019-01-18 22:54:55,"2446 W HOPKINS ST,MKE",5,TRAFFIC STOP,Advised
190182702-Advised,190182702,2019-01-18 22:54:42,"2330 N 47TH ST,MKE",3,SUSP PERS/AUTO,Advised
190182670-Advised,190182670,2019-01-18 22:42:18,"N 86TH ST / W MEDFORD AV,MKE",4,SUSP PERS/AUTO,Advised
190182672-To be Filed,190182672,2019-01-18 22:39:55,"3626 W FOND DU LAC AV,MKE",7,FOLLOW UP,To be Filed
190182789-Service in Progress,190182789,2019-01-18 23:33:39,"2604 N 55TH ST,MKE",3,FOLLOW UP,Service in Progress
190182785-Unable to Locate Complainant,190182785,2019-01-18 23:32:33,"2045 S 15TH PL,MKE",2,SHOTSPOTTER,Unable to Locate Complainant
190182782-Service in Progress,190182782,2019-01-18 23:31:17,"S 17TH ST / W FOREST HOME AV,MKE",2,SHOTS FIRED,Service in Progress
190182780-Assignment Completed,190182780,2019-01-18 23:30:12,"6929 W SILVER SPRING DR,MKE",4,REPORTS,Assignment Completed
190182769-Assignment Completed,190182769,2019-01-18 23:21:30,"822 N 25TH ST,MKE",3,FOLLOW UP,Assignment Completed
190182748-To be Filed,190182748,2019-01-18 23:12:15,"610 W LINCOLN AV,MKE",2,ACC PDO,To be Filed
190182735-Advised/Referral,190182735,2019-01-18 23:08:56,"2727 S 13TH ST,MKE",2,ENTRY,Advised/Referral
190182700-Unable to Locate Complainant,190182700,2019-01-18 22:51:15,"N 62ND ST / W CAPITOL DR,MKE",7,SUBJ WANTED,Unable to Locate Complainant
190182800-Assignment Completed,190182800,2019-01-18 23:39:00,"2399 W NORTH AV,MKE",3,BUSINESS CHECK,Assignment Completed
190182791-Service in Progress,190182791,2019-01-18 23:37:37,"858 W MONTANA ST,MKE",6,INJ PERSON/SICK,Service in Progress
190182797-Service in Progress,190182797,2019-01-18 23:37:26,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Service in Progress
190182795-Assignment Completed,190182795,2019-01-18 23:37:07,"749 W STATE ST,MKE",1,ASSIGNMENT,Assignment Completed
190182713-Unable to Locate Complainant,190182713,2019-01-18 23:36:35,"3573 N 19TH ST,MKE",5,CALL FOR POLICE,Unable to Locate Complainant
190182811-Assignment Completed,190182811,2019-01-18 23:43:48,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed
