ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
190162901-Service in Progress,190162901,2019-01-16 23:28:12,"2064 S 14TH ST,MKE",2,TRAFFIC STOP,Service in Progress
190162900-Unable to Locate Complainant,190162900,2019-01-16 23:27:49,"4213 N 47TH ST,MKE",7,SHOTSPOTTER,Unable to Locate Complainant
190162899-Advised,190162899,2019-01-16 23:24:46,"3115 W FOND DU LAC AV,MKE",7,PARKING TROUBLE,Advised
190162890-Assignment Completed,190162890,2019-01-16 23:22:45,"1901 W VILLARD AV,MKE",7,SHOTS FIRED,Assignment Completed
190162811-To be Filed,190162811,2019-01-16 22:42:58,"749 W STATE ST,MKE",1,REPORTS,To be Filed
190162908-Assignment Completed,190162908,2019-01-16 23:34:25,"749 W STATE ST,MKE",1,POLICE ADMIN,Assignment Completed
190162905-Advised,190162905,2019-01-16 23:31:40,"3421 N 27TH ST,MKE",5,TRAFFIC STOP,Advised
190162904-Advised,190162904,2019-01-16 23:31:32,"350 N PLANKINTON AV,MKE",1,BUSINESS CHECK,Advised
190162902-Unable to Locate Complainant,190162902,2019-01-16 23:30:01,"905 S 18TH ST,MKE",2,SHOTS FIRED,Unable to Locate Complainant
190162827-Assignment Completed,190162827,2019-01-16 22:50:40,"901 N 9TH ST,MKE",1,LOOSE ANIMAL,Assignment Completed
190162913-Service in Progress,190162913,2019-01-16 23:39:01,"749 W STATE ST,MKE",1,OUT OF SERVICE,Service in Progress
190162910-Service in Progress,190162910,2019-01-16 23:38:30,"3031 N 30TH ST,MKE",5,ROBBERY ST ARM,Service in Progress
190162911-Advised,190162911,2019-01-16 23:37:15,"4207 W HAMPTON AV,MKE",7,TRAFFIC STOP,Advised
190162907-Service in Progress,190162907,2019-01-16 23:36:41,"3626 W FOND DU LAC AV,MKE",7,ASSIGNMENT,Service in Progress
190162921-Unable to Locate Complainant,190162921,2019-01-16 23:44:09,"3930 N 11TH ST,MKE",5,INVESTIGATION,Unable to Locate Complainant
190162919-Service in Progress,190162919,2019-01-16 23:43:38,"237 N 35TH ST,MKE",3,TAVERN CHECK,Service in Progress
190162917-Assignment Completed,190162917,2019-01-16 23:42:49,"4401 N GREEN BAY AV,MKE",5,BUSINESS CHECK,Assignment Completed
190162915-Assignment Completed,190162915,2019-01-16 23:41:38,"N 37TH ST / W FLORIST AV,MKE",4,SPECIAL ASSIGN,Assignment Completed
190162914-Assignment Completed,190162914,2019-01-16 23:40:13,"1108 N 5TH ST,MKE",1,TRBL W/SUBJ,Assignment Completed
190162913-Assignment Completed,190162913,2019-01-16 23:39:01,"749 W STATE ST,MKE",1,OUT OF SERVICE,Assignment Completed
190162901-Advised,190162901,2019-01-16 23:28:12,"2064 S 14TH ST,MKE",2,TRAFFIC STOP,Advised
190162885-Advised,190162885,2019-01-16 23:21:43,"6167 N 36TH ST,MKE",4,FAMILY TROUBLE,Advised
190162846-Advised,190162846,2019-01-16 23:03:48,"1414 N PROSPECT AV,MKE",1,INJ PERSON/SICK,Advised
190162936-Assignment Completed,190162936,2019-01-16 23:49:40,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Assignment Completed
190162934-Assignment Completed,190162934,2019-01-16 23:49:24,"4344 W CAPITOL DR,MKE",7,SHOTSPOTTER,Assignment Completed
190162932-Service in Progress,190162932,2019-01-16 23:48:30,"4574 N TEUTONIA AV,MKE",5,TRAFFIC STOP,Service in Progress
190162931-Service in Progress,190162931,2019-01-16 23:48:18,"10212 W SILVER SPRING DR,MKE",4,TRAFFIC STOP,Service in Progress
190162929-Assignment Completed,190162929,2019-01-16 23:48:00,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed
190162927-Assignment Completed,190162927,2019-01-16 23:47:46,"3500 W CLYBOURN ST,MKE",3,PATROL,Assignment Completed
190162924-Advised,190162924,2019-01-16 23:47:07,"4057 N SHERMAN BL,MKE",7,TRAFFIC STOP,Advised
