ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
183533072-Service in Progress,183533072,2018-12-19 23:28:26,"3000 W LINCOLN AV,MKE",2,TAVERN CHECK,Service in Progress
183533071-Assignment Completed,183533071,2018-12-19 23:28:10,"4820 N 76TH ST,MKE",7,BUSINESS CHECK,Assignment Completed
183533067-Assignment Completed,183533067,2018-12-19 23:27:38,"600 E GREENFIELD AV,MKE",2,BUSINESS CHECK,Assignment Completed
183533035-Assignment Completed,183533035,2018-12-19 23:27:15,"N 79TH ST / W HAMPTON AV,MKE",7,MEET GOVT AGENCY,Assignment Completed
183533044-Advised,183533044,2018-12-19 23:13:57,"3039 N 27TH ST,MKE",5,TRBL W/SUBJ-DV,Advised
183533043-Advised,183533043,2018-12-19 23:12:11,"4935 S 26TH ST,MKE",6,SUSP PERS/AUTO,Advised
183533018-City Citation(s) Issued,183533018,2018-12-19 23:00:01,"2617 N 35TH ST,MKE",3,BATTERY,City Citation(s) Issued
183532995-Assignment Completed,183532995,2018-12-19 22:44:27,"8522 W CONGRESS ST,MKE",7,BATTERY,Assignment Completed
183533078-Service in Progress,183533078,2018-12-19 23:34:55,"N 35TH ST / W HIGHLAND BL,MKE",3,INJ PERSON/SICK,Service in Progress
183533079-Service in Progress,183533079,2018-12-19 23:33:33,"N 9TH ST / W LOCUST ST,MKE",5,TRAFFIC STOP,Service in Progress
183533073-Service in Progress,183533073,2018-12-19 23:32:16,"415 E KNAPP ST,MKE",1,WELFARE CITIZEN,Service in Progress
183533076-Service in Progress,183533076,2018-12-19 23:30:43,6141 N HOPKINS,4,FOLLOW UP,Service in Progress
183533072-Assignment Completed,183533072,2018-12-19 23:28:26,"3000 W LINCOLN AV,MKE",2,TAVERN CHECK,Assignment Completed
183533046-Assignment Completed,183533046,2018-12-19 23:13:06,"3300 W VILLARD AV,MKE",4,PARK AND WALK,Assignment Completed
183533010-To be Filed,183533010,2018-12-19 22:52:54,"S LAYTON BL / W MITCHELL ST,MKE",2,ACC PDO,To be Filed
183533096-Assignment Completed,183533096,2018-12-19 23:39:45,"2333 N 49TH ST,MKE",3,POLICE ADMIN,Assignment Completed
183533093-Service in Progress,183533093,2018-12-19 23:38:32,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Service in Progress
183533091-Service in Progress,183533091,2018-12-19 23:37:46,"2218 N 42ND ST,MKE",3,SHOTSPOTTER,Service in Progress
183533092-Assignment Completed,183533092,2018-12-19 23:37:40,"245 W LINCOLN AV,MKE",2,RETURN STATION,Assignment Completed
183533090-Service in Progress,183533090,2018-12-19 23:37:16,"2301 N 40TH ST,MKE",3,SHOTSPOTTER,Service in Progress
183533089-Assignment Completed,183533089,2018-12-19 23:37:02,"2920 N VEL R PHILLIPS AV,MKE",5,RETURN STATION,Assignment Completed
183533088-Assignment Completed,183533088,2018-12-19 23:36:55,"749 W STATE ST,MKE",1,OUT OF SERVICE,Assignment Completed
183533087-Assignment Completed,183533087,2018-12-19 23:36:44,"1100 S 5TH ST,MKE",2,PATROL,Assignment Completed
183533085-Unable to Locate Complainant,183533085,2018-12-19 23:36:40,"2326 N 41ST ST,MKE",3,SHOTSPOTTER,Unable to Locate Complainant
183533083-Advised,183533083,2018-12-19 23:36:07,"3261 N MARTIN L KING JR DR,MKE",5,TRAFFIC STOP,Advised
183533108-Assignment Completed,183533108,2018-12-19 23:43:54,"3301 N OAKLAND AV,MKE",1,BUSINESS CHECK,Assignment Completed
183533107-Assignment Completed,183533107,2018-12-19 23:43:35,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed
183533104-Advised,183533104,2018-12-19 23:42:04,"425 W CENTER ST,MKE",5,TRAFFIC STOP,Advised
183533103-Assignment Completed,183533103,2018-12-19 23:41:33,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed
183533101-Service in Progress,183533101,2018-12-19 23:40:46,"245 W LINCOLN AV,MKE",2,PRISONER TRANS,Service in Progress
183533099-Assignment Completed,183533099,2018-12-19 23:40:21,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Assignment Completed
183533098-Advised,183533098,2018-12-19 23:40:06,"4050 N 24TH ST,MKE",5,TRAFFIC STOP,Advised
183533097-Assignment Completed,183533097,2018-12-19 23:40:04,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed
183533093-Assignment Completed,183533093,2018-12-19 23:38:32,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed
183533090-Unable to Locate Complainant,183533090,2018-12-19 23:37:16,"2301 N 40TH ST,MKE",3,SHOTSPOTTER,Unable to Locate Complainant
183533079-Advised,183533079,2018-12-19 23:33:33,"N 9TH ST / W LOCUST ST,MKE",5,TRAFFIC STOP,Advised
183533073-Advised,183533073,2018-12-19 23:32:16,"1200 N MILWAUKEE ST,MKE",1,WELFARE CITIZEN,Advised
183533076-Open Investigation,183533076,2018-12-19 23:30:43,6141 N HOPKINS,4,FOLLOW UP,Open Investigation
183533064-To be Filed,183533064,2018-12-19 23:24:30,"245 W LINCOLN AV,MKE",2,REPORTS,To be Filed
183533117-Assignment Completed,183533117,2018-12-19 23:49:57,"245 W LINCOLN AV,MKE",2,POLICE ADMIN,Assignment Completed
183533114-Service in Progress,183533114,2018-12-19 23:47:05,"245 W LINCOLN AV,MKE",2,POLICE ADMIN,Service in Progress
