ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
182662556-Service in Progress,182662556,2018-09-23 23:26:45,"1350 N 39TH ST,MKE",3,TRAFFIC STOP,Service in Progress
182662555-Service in Progress,182662555,2018-09-23 23:26:37,"4200 N 27TH ST,MKE",5,PARK AND WALK,Service in Progress
182662554-Service in Progress,182662554,2018-09-23 23:26:33,"749 W STATE ST,MKE",1,PRISONER TRANS,Service in Progress
182662565-Unable to Locate Complainant,182662565,2018-09-23 23:33:40,"1334 W LOCUST ST,MKE",5,SHOTSPOTTER,Unable to Locate Complainant
182662558-Assignment Completed,182662558,2018-09-23 23:32:56,"S 13TH ST / W HISTORIC MITCHELL ST,MKE",2,INJ PERSON/SICK,Assignment Completed
182662566-Assignment Completed,182662566,2018-09-23 23:31:32,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed
182662562-Advised,182662562,2018-09-23 23:30:29,"7424 W APPLETON AV,MKE",7,TRAFFIC STOP,Advised
182662561-Assignment Completed,182662561,2018-09-23 23:30:09,"245 W LINCOLN AV,MKE",2,POLICE ADMIN,Assignment Completed
182662555-Assignment Completed,182662555,2018-09-23 23:26:37,"4200 N 27TH ST,MKE",5,PARK AND WALK,Assignment Completed
182662519-Unable to Locate Complainant,182662519,2018-09-23 23:15:39,"2920 W GRANT ST,MKE",2,FIGHT,Unable to Locate Complainant
182662482-Assignment Completed,182662482,2018-09-23 23:01:23,"1701 N 28TH ST,MKE",3,SHOTSPOTTER,Assignment Completed
182662587-Assignment Completed,182662587,2018-09-23 23:39:52,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Assignment Completed
182662586-Assignment Completed,182662586,2018-09-23 23:39:39,"749 W STATE ST,MKE",1,OUT OF SERVICE,Assignment Completed
182662549-Service in Progress,182662549,2018-09-23 23:38:19,"5514 W MORGAN AV,MKE",6,WELFARE CITIZEN,Service in Progress
182662581-Service in Progress,182662581,2018-09-23 23:38:11,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Service in Progress
182662571-Service in Progress,182662571,2018-09-23 23:38:01,"2377 S 19TH ST,MKE",2,VIOL REST ORD-DV,Service in Progress
182662574-Service in Progress,182662574,2018-09-23 23:37:37,"3434 S 3RD ST,MKE",6,BATTERY,Service in Progress
182662578-Assignment Completed,182662578,2018-09-23 23:37:32,"2920 N 4TH ST,MKE",5,OUT OF SERVICE,Assignment Completed
182662576-Service in Progress,182662576,2018-09-23 23:36:06,"749 W STATE ST,MKE",1,OUT OF SERVICE,Service in Progress
182662575-Assignment Completed,182662575,2018-09-23 23:35:55,"3626 W FOND DU LAC AV,MKE",7,REPORTS,Assignment Completed
182662564-Service in Progress,182662564,2018-09-23 23:35:15,"5736 N 63RD ST,MKE",4,SUBJ WITH GUN,Service in Progress
182662573-Assignment Completed,182662573,2018-09-23 23:35:05,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed
182662579-Service in Progress,182662579,2018-09-23 23:44:59,"S LAYTON BL / W NATIONAL AV,MKE",2,TRAFFIC HAZARD,Service in Progress
182662592-Advised,182662592,2018-09-23 23:42:37,"N 52ND ST / W GLENDALE AV,MKE",7,TRAFFIC STOP,Advised
182662591-Service in Progress,182662591,2018-09-23 23:42:23,"N SWAN RD / W BROWN DEER RD,MKE",4,SUBJ WANTED,Service in Progress
182662551-Advised,182662551,2018-09-23 23:41:24,"4624 N 39TH ST,MKE",7,NOISE NUISANCE,Advised
182662588-Service in Progress,182662588,2018-09-23 23:41:07,"N 95TH ST / W BROWN DEER RD,MKE",4,INVESTIGATION,Service in Progress
182662581-Assignment Completed,182662581,2018-09-23 23:38:11,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed
182662532-To be Filed,182662532,2018-09-23 23:23:15,"N 28TH ST / W RUBY AV,MKE",5,BATTERY,To be Filed
182662541-Assignment Completed,182662541,2018-09-23 23:20:02,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Assignment Completed
182662511-Advised,182662511,2018-09-23 23:49:58,"725 N PLANKINTON AV,MKE",1,TRBL W/SUBJ,Advised
182662603-Assignment Completed,182662603,2018-09-23 23:49:24,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed
182662596-Advised/Referral,182662596,2018-09-23 23:48:41,"N 51ST BL / W ROHR AV,MKE",4,ROBBERY ARMED,Advised/Referral
182662602-Assignment Completed,182662602,2018-09-23 23:48:13,"5311 S HOWELL AV,MKE",6,BUSINESS CHECK,Assignment Completed
182662598-Assignment Completed,182662598,2018-09-23 23:47:33,"4715 W VLIET ST,MKE",3,RETURN STATION,Assignment Completed
182662597-Advised,182662597,2018-09-23 23:47:28,"3006 S 27TH ST,MKE",6,CITIZEN CONTACT,Advised
182662567-Unable to Locate Complainant,182662567,2018-09-23 23:46:01,"1346 W ALBANY PL,MKE",5,SHOTSPOTTER,Unable to Locate Complainant
182662549-Assignment Completed,182662549,2018-09-23 23:38:19,"5514 W MORGAN AV,MKE",6,WELFARE CITIZEN,Assignment Completed
182662550-Service in Progress,182662550,2018-09-23 23:52:05,"5288 W HADLEY ST,MKE",7,ENTRY AUTOS,Service in Progress
182662604-Advised/Referral,182662604,2018-09-23 23:51:55,"N 7TH ST / W NORTH AV,MKE",5,SUBJ WITH GUN,Advised/Referral
182662605-Assignment Completed,182662605,2018-09-23 23:51:02,"5841 W BLUE MOUND RD,MKE",3,TAVERN CHECK,Assignment Completed
182662415-Unable to Locate Complainant,182662415,2018-09-23 23:50:22,"N 96TH ST / W BROWN DEER RD,MKE",4,TRBL W/SUBJ,Unable to Locate Complainant
182662607-Service in Progress,182662607,2018-09-23 23:58:15,"944 N 25TH ST,MKE",3,ENTRY,Service in Progress
182662612-Assignment Completed,182662612,2018-09-23 23:57:28,"2333 N 49TH ST,MKE",3,RETURN STATION,Assignment Completed
182662557-Service in Progress,182662557,2018-09-23 23:57:24,"4493 N 83RD ST,MKE",7,ENTRY AUTOS,Service in Progress
182662556-City Citation(s) Issued,182662556,2018-09-23 23:26:45,"1350 N 39TH ST,MKE",3,TRAFFIC STOP,City Citation(s) Issued
182662618-Service in Progress,182662618,2018-09-24 00:04:09,"530 N 27TH ST,MKE",3,FIGHT,Service in Progress
182662611-Service in Progress,182662611,2018-09-24 00:04:05,"6064 N 37TH ST,MKE",4,WELFARE CITIZEN,Service in Progress
182670004-Assignment Completed,182670004,2018-09-24 00:03:46,"4400 W HAMPTON AV,MKE",7,NON PURSUIT NO P,Assignment Completed
182662610-Unable to Locate Complainant,182662610,2018-09-24 00:03:00,"S 14TH ST / W WINDLAKE AV,MKE",2,BATTERY,Unable to Locate Complainant
182670002-Service in Progress,182670002,2018-09-24 00:02:58,"N 9TH ST / W JUNEAU AV,MKE",1,PATROL,Service in Progress
182662527-Service in Progress,182662527,2018-09-24 00:02:56,"11022 W LANGLADE ST,MKE",4,TRBL W/SUBJ-DV,Service in Progress
182670001-Service in Progress,182670001,2018-09-24 00:02:21,"245 W LINCOLN AV,MKE",2,REPORTS,Service in Progress
182662606-Advised/Referral,182662606,2018-09-24 00:01:30,"3034 N 24TH ST,MKE",5,BATTERY,Advised/Referral
182662613-Unable to Locate Complainant,182662613,2018-09-24 00:00:16,"9403 W SILVER SPRING DR,MKE",4,BATTERY DV,Unable to Locate Complainant
182662609-Service in Progress,182662609,2018-09-24 00:08:58,"2830 N 34TH ST,MKE",7,ENTRY-DV,Service in Progress
182670013-Assignment Completed,182670013,2018-09-24 00:08:55,"6929 W SILVER SPRING DR,MKE",4,ASSIGNMENT,Assignment Completed
182662528-Service in Progress,182662528,2018-09-24 00:07:59,"1801 N MARTIN L KING JR DR,MKE",5,THEFT FROM PERSN,Service in Progress
182670011-Advised,182670011,2018-09-24 00:07:10,"4400 W STARK ST,MKE",7,TRAFFIC STOP,Advised
182670009-Assignment Completed,182670009,2018-09-24 00:07:05,"350 N PLANKINTON AV,MKE",1,BUSINESS CHECK,Assignment Completed
182670007-Service in Progress,182670007,2018-09-24 00:06:57,"1579 S 21ST ST,MKE",2,SHOTSPOTTER,Service in Progress
182662529-Service in Progress,182662529,2018-09-24 00:06:12,"3523 N 18TH ST,MKE",5,LOOSE ANIMAL,Service in Progress
182670006-Assignment Completed,182670006,2018-09-24 00:05:49,"E NORTH AV / N CAMBRIDGE AV,MKE",1,TRAFFIC LASER,Assignment Completed
182670005-Assignment Completed,182670005,2018-09-24 00:05:21,"245 W LINCOLN AV,MKE",2,ASSIGNMENT,Assignment Completed
182662460-Service in Progress,182662460,2018-09-24 00:05:11,"6517 N 81ST ST,MKE",4,TRBL W/SUBJ,Service in Progress
182662487-Advised,182662487,2018-09-24 00:12:15,"1654 N WARREN AV,MKE",1,NOISE NUISANCE,Advised
