ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
190072932-Service in Progress,190072932,2019-01-07 23:29:53,"N 68TH ST / W FOND DU LAC AV,MKE",7,TRAFFIC STOP,Service in Progress
190072931-Assignment Completed,190072931,2019-01-07 23:29:51,"6929 W SILVER SPRING DR,MKE",4,CITIZEN CONTACT,Assignment Completed
190072929-Service in Progress,190072929,2019-01-07 23:27:56,"W VIENNA AV / W APPLETON AV,MKE",7,WELFARE CITIZEN,Service in Progress
190072928-To be Filed,190072928,2019-01-07 23:27:33,"245 W LINCOLN AV,MKE",2,REPORTS,To be Filed
190072923-Assignment Completed,190072923,2019-01-07 23:26:20,"2700 W CENTER ST,MKE",5,PATROL,Assignment Completed
190072922-Unable to Locate Complainant,190072922,2019-01-07 23:25:51,"N 7TH ST / W CAPITOL DR,MKE",5,RECKLESS VEHICLE,Unable to Locate Complainant
190072876-Assignment Completed,190072876,2019-01-07 23:00:44,"9217 N 76TH ST,MKE",4,PATROL,Assignment Completed
190072864-To be Filed,190072864,2019-01-07 22:55:30,"245 W LINCOLN AV,MKE",2,REPORTS,To be Filed
190072947-Assignment Completed,190072947,2019-01-07 23:34:44,"3811 W LINCOLN AV,MKE",2,RETURN STATION,Assignment Completed
190072946-Assignment Completed,190072946,2019-01-07 23:34:14,"4400 S 27TH ST,MKE",6,BUSINESS CHECK,Assignment Completed
190072945-Service in Progress,190072945,2019-01-07 23:34:05,"1322 W CENTER ST,MKE",5,TRAFFIC STOP,Service in Progress
190072941-Assignment Completed,190072941,2019-01-07 23:32:04,"1202 W HIGHLAND AV,MKE",3,BUSINESS CHECK,Assignment Completed
190072936-Service in Progress,190072936,2019-01-07 23:31:38,"8824 W HERBERT AV,MKE",7,ENTRY,Service in Progress
190072939-Assignment Completed,190072939,2019-01-07 23:31:18,"2333 N 49TH ST,MKE",3,RETURN STATION,Assignment Completed
190072937-Assignment Completed,190072937,2019-01-07 23:31:12,"749 W STATE ST,MKE",1,RETURN STATION,Assignment Completed
190072935-Assignment Completed,190072935,2019-01-07 23:30:52,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed
190072933-Assignment Completed,190072933,2019-01-07 23:30:22,"2400 N WEIL ST,MKE",5,PARK AND WALK,Assignment Completed
190072778-To be Filed,190072778,2019-01-07 22:36:48,"2017 W GRANT ST,MKE",2,PROPERTY DAMAGE,To be Filed
190072953-Service in Progress,190072953,2019-01-07 23:39:49,"749 W STATE ST,MKE",1,OUT OF SERVICE,Service in Progress
190072951-Assignment Completed,190072951,2019-01-07 23:39:03,"N 111TH ST / W VILLA AV,MKE",4,PATROL,Assignment Completed
190072948-Assignment Completed,190072948,2019-01-07 23:36:40,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed
190072944-Service in Progress,190072944,2019-01-07 23:36:01,"3028 N 36TH ST,MKE",7,SUBJ WITH GUN,Service in Progress
190072932-Advised,190072932,2019-01-07 23:29:53,"N 68TH ST / W FOND DU LAC AV,MKE",7,TRAFFIC STOP,Advised
190072830-Assignment Completed,190072830,2019-01-07 22:40:01,"749 W STATE ST,MKE",1,POLICE ADMIN,Assignment Completed
190072957-Assignment Completed,190072957,2019-01-07 23:44:35,"1609 E NORTH AV,MKE",1,BUSINESS CHECK,Assignment Completed
190072955-Service in Progress,190072955,2019-01-07 23:42:24,"5020 N 24TH PL,MKE",7,SUBJ STOP,Service in Progress
190072954-Assignment Completed,190072954,2019-01-07 23:41:43,"3510 W LINCOLN AV,MKE",2,BUSINESS CHECK,Assignment Completed
190072953-Assignment Completed,190072953,2019-01-07 23:39:49,"749 W STATE ST,MKE",1,OUT OF SERVICE,Assignment Completed
190072945-Advised,190072945,2019-01-07 23:34:05,"1322 W CENTER ST,MKE",5,TRAFFIC STOP,Advised
190072929-Advised,190072929,2019-01-07 23:27:56,"W VIENNA AV / W APPLETON AV,MKE",7,WELFARE CITIZEN,Advised
190072887-Assignment Completed,190072887,2019-01-07 23:05:57,"2325 S LOGAN AV,MKE",6,WELFARE CITIZEN,Assignment Completed
190072962-Service in Progress,190072962,2019-01-07 23:49:44,"N MARTIN L KING JR DR / W KEEFE AV,MKE",5,PARK AND WALK,Service in Progress
190072961-Assignment Completed,190072961,2019-01-07 23:48:00,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Assignment Completed
190072958-Assignment Completed,190072958,2019-01-07 23:46:22,"S CLEMENT AV / E OTJEN ST,MKE",6,SUSP PERS/AUTO,Assignment Completed
190072960-Service in Progress,190072960,2019-01-07 23:46:16,"N OLD WORLD THIRD ST / W WISCONSIN AV,MKE",1,SPECIAL ASSIGN,Service in Progress
190072959-Assignment Completed,190072959,2019-01-07 23:45:51,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed
190072955-Advised,190072955,2019-01-07 23:42:24,"5020 N 24TH PL,MKE",7,SUBJ STOP,Advised
190072966-Service in Progress,190072966,2019-01-07 23:53:30,"4121 N 26TH ST,MKE",5,TRBL W/SUBJ,Service in Progress
190072969-Advised,190072969,2019-01-07 23:52:58,"901 W GREENFIELD AV,MKE",2,TRAFFIC STOP,Advised
190072968-Service in Progress,190072968,2019-01-07 23:52:51,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Service in Progress
190072965-Advised,190072965,2019-01-07 23:51:21,"3650 W BURLEIGH ST,MKE",7,TRAFFIC STOP,Advised
190072964-Assignment Completed,190072964,2019-01-07 23:51:04,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Assignment Completed
190072962-Assignment Completed,190072962,2019-01-07 23:49:44,"N MARTIN L KING JR DR / W KEEFE AV,MKE",5,PARK AND WALK,Assignment Completed
190072898-Assignment Completed,190072898,2019-01-07 23:13:36,"700 E BURLEIGH ST,MKE",5,PATROL,Assignment Completed
190072974-Service in Progress,190072974,2019-01-07 23:58:03,"2333 N 49TH ST,MKE",3,REPORTS,Service in Progress
190072949-Service in Progress,190072949,2019-01-07 23:56:22,"2109 W CLARKE ST,MKE",3,SUBJ WITH GUN,Service in Progress
190072970-Advised,190072970,2019-01-07 23:55:45,"1404 W MINERAL ST,MKE",2,TRBL W/SUBJ,Advised
190072972-Assignment Completed,190072972,2019-01-07 23:55:25,"1400 E BRADY ST,MKE",1,PATROL,Assignment Completed
190072968-Assignment Completed,190072968,2019-01-07 23:52:51,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed
190072936-Advised/Referral,190072936,2019-01-07 23:31:38,"8824 W HERBERT AV,MKE",7,ENTRY,Advised/Referral
190080004-Service in Progress,190080004,2019-01-08 00:04:40,"8526 W BROWN DEER RD,MKE",4,SPECIAL ASSIGN,Service in Progress
190080001-Service in Progress,190080001,2019-01-08 00:02:00,"245 W LINCOLN AV,MKE",2,ASSIGNMENT,Service in Progress
190072949-Assignment Completed,190072949,2019-01-07 23:56:22,"2109 W CLARKE ST,MKE",3,SUBJ WANTED,Assignment Completed
190080005-Service in Progress,190080005,2019-01-08 00:09:16,"7300 W BURLEIGH ST,MKE",7,TRBL W/SUBJ,Service in Progress
190072938-Service in Progress,190072938,2019-01-08 00:08:52,"3278 N 28TH ST,MKE",5,SUBJ WANTED,Service in Progress
190080009-Advised,190080009,2019-01-08 00:08:50,"N 54TH ST / W BURLEIGH ST,MKE",7,CITIZEN CONTACT,Advised
190080007-Service in Progress,190080007,2019-01-08 00:07:59,"949 N 9TH ST,MKE",1,PRISONER TRANS,Service in Progress
190080006-Unable to Locate Complainant,190080006,2019-01-08 00:07:57,"N 35TH ST / W CENTER ST,MKE",3,RECKLESS VEHICLE,Unable to Locate Complainant
190072956-Service in Progress,190072956,2019-01-08 00:07:36,"2920 N VEL R PHILLIPS AV,MKE",5,CONVEY PROPERTY,Service in Progress
