ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
183252855-Unable to Locate Complainant,183252855,2018-11-21 23:29:16,"4475 N HOPKINS ST,MKE",7,FIGHT,Unable to Locate Complainant
183252857-Assignment Completed,183252857,2018-11-21 23:29:07,"4395 N TEUTONIA AV,MKE",5,INVESTIGATION,Assignment Completed
183252854-To be Filed,183252854,2018-11-21 23:25:29,"3626 W FOND DU LAC AV,MKE",7,ASSIGNMENT,To be Filed
183252853-Advised,183252853,2018-11-21 23:25:12,"N SHERMAN BL / W KEEFE AV,MKE",7,TRAFFIC STOP,Advised
183252843-Advised,183252843,2018-11-21 23:21:12,"1323 E BRADY ST,MKE",1,TRBL W/SUBJ,Advised
183252815-To be Filed,183252815,2018-11-21 23:04:07,"3006 S 27TH ST,MKE",6,REPORTS,To be Filed
183252806-To be Filed,183252806,2018-11-21 22:59:08,"749 W STATE ST,MKE",1,RETURN STATION,To be Filed
183252839-Service in Progress,183252839,2018-11-21 23:34:29,"3824 N 62ND ST,MKE",7,FAMILY TROUBL-DV,Service in Progress
183252863-Service in Progress,183252863,2018-11-21 23:34:20,"3460 S 35TH ST,MKE",6,TRAFFIC STOP,Service in Progress
183252860-Advised,183252860,2018-11-21 23:32:34,"4545 W LEON TR,MKE",7,TRAFFIC STOP,Advised
183252858-City Citation(s) Issued,183252858,2018-11-21 23:32:07,"N VEL R PHILLIPS AV / W JUNEAU AV,MKE",1,TRAFFIC STOP,City Citation(s) Issued
183252756-Unable to Locate Complainant,183252756,2018-11-21 23:31:45,"N 12TH ST / W NORTH AV,MKE",3,TRBL W/SUBJ,Unable to Locate Complainant
183252875-Service in Progress,183252875,2018-11-21 23:39:49,"3728 N 53RD ST,MKE",7,SHOTS FIRED,Service in Progress
183252864-Service in Progress,183252864,2018-11-21 23:39:48,"4567 N 30TH ST,MKE",5,CALL FOR POLICE,Service in Progress
183252876-Assignment Completed,183252876,2018-11-21 23:39:48,"828 S 1ST ST,MKE",2,TAVERN CHECK,Assignment Completed
183252873-Service in Progress,183252873,2018-11-21 23:38:05,"3006 S 27TH ST,MKE",6,RETURN STATION,Service in Progress
183252872-Service in Progress,183252872,2018-11-21 23:38:02,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Service in Progress
183252870-Service in Progress,183252870,2018-11-21 23:37:51,"N 71ST ST / W MILL RD,MKE",4,TRAFFIC STOP,Service in Progress
183252867-Service in Progress,183252867,2018-11-21 23:36:43,"3345 W HIGHLAND BL,MKE",3,BATTERY DV,Service in Progress
183252868-Assignment Completed,183252868,2018-11-21 23:36:01,"811 S 1ST ST,MKE",2,TAVERN CHECK,Assignment Completed
183252869-Assignment Completed,183252869,2018-11-21 23:36:01,"2319 E FERNWOOD AV,MKE",6,FOLLOW UP,Assignment Completed
183252866-Advised,183252866,2018-11-21 23:35:33,"125 E JUNEAU AV,MKE",1,INVESTIGATION,Advised
