ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
191272768-Advised,191272768,2019-05-07 23:29:03,"4445 N HOUSTON AV,MKE",7,TRAFFIC STOP,Advised
191272767-Assignment Completed,191272767,2019-05-07 23:28:25,"749 W STATE ST,MKE",1,ASSIGNMENT,Assignment Completed
191272766-Service in Progress,191272766,2019-05-07 23:28:01,"3600 S 18TH ST,MKE",6,PATROL,Service in Progress
191272763-Assignment Completed,191272763,2019-05-07 23:27:27,"2333 N 49TH ST,MKE",3,RETURN STATION,Assignment Completed
191272761-Assignment Completed,191272761,2019-05-07 23:26:46,"3200 W LLOYD ST,MKE",3,INVESTIGATION,Assignment Completed
191272760-Assignment Completed,191272760,2019-05-07 23:25:54,"6929 W SILVER SPRING DR,MKE",4,REPORTS,Assignment Completed
191272752-Service in Progress,191272752,2019-05-07 23:25:42,"N 36TH ST / W KEEFE AV,MKE",7,SHOTS FIRED,Service in Progress
191272742-Advised,191272742,2019-05-07 23:16:46,"S 5TH ST / W NATIONAL AV,MKE",2,INJ PERSON/SICK,Advised
191272785-Assignment Completed,191272785,2019-05-07 23:34:35,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Assignment Completed
191272784-Service in Progress,191272784,2019-05-07 23:33:41,"3939 W HIGHLAND BL,MKE",3,TRAFFIC STOP,Service in Progress
191272778-Advised,191272778,2019-05-07 23:33:16,"1581 S 5TH ST,MKE",2,CALL FOR POLICE,Advised
191272781-Assignment Completed,191272781,2019-05-07 23:32:58,24/TOW,5,INVESTIGATION,Assignment Completed
191272779-Advised,191272779,2019-05-07 23:32:24,"350 N PLANKINTON AV,MKE",1,BUSINESS CHECK,Advised
191272776-Advised,191272776,2019-05-07 23:31:11,"110 E CAPITOL DR,MKE",5,TRAFFIC STOP,Advised
191272775-Assignment Completed,191272775,2019-05-07 23:31:03,"1341 W CENTER ST,MKE",3,BUSINESS CHECK,Assignment Completed
