ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
183512762-Assignment Completed,183512762,2018-12-17 23:29:08,28/ VIENNA,5,VEHICLE PURSUIT,Assignment Completed
183512760-Advised,183512760,2018-12-17 23:27:51,"6200 W SILVER SPRING DR,MKE",4,TRAFFIC STOP,Advised
183512758-Service in Progress,183512758,2018-12-17 23:27:35,"2333 N 49TH ST,MKE",3,CONVEY PROPERTY,Service in Progress
183512755-Assignment Completed,183512755,2018-12-17 23:27:34,"N VAN BUREN ST / E KNAPP ST,MKE",1,INJ PERSON/SICK,Assignment Completed
183512756-Assignment Completed,183512756,2018-12-17 23:26:49,"11800 W SILVER SPRING DR,MKE",4,BUSINESS CHECK,Assignment Completed
183512751-Assignment Completed,183512751,2018-12-17 23:26:21,"1802 N 53RD ST,MKE",3,SHOTS FIRED,Assignment Completed
183512754-Assignment Completed,183512754,2018-12-17 23:26:03,2730 N HUMBOLDT BLVD,5,BUSINESS CHECK,Assignment Completed
183512752-Service in Progress,183512752,2018-12-17 23:25:41,"245 W LINCOLN AV,MKE",2,REPORTS,Service in Progress
183512750-Assignment Completed,183512750,2018-12-17 23:25:30,"5600 W CAPITOL DR,MKE",7,PARK AND WALK,Assignment Completed
183512748-Advised,183512748,2018-12-17 23:23:37,"2450 W CAPITOL DR,MKE",5,TRAFFIC STOP,Advised
183512738-Advised,183512738,2018-12-17 23:18:16,"4873 S 14TH ST,MKE",6,FIGHT,Advised
183512734-To be Filed,183512734,2018-12-17 23:14:19,"6929 W SILVER SPRING DR,MKE",4,REPORTS,To be Filed
183512685-Unable to Locate Complainant,183512685,2018-12-17 23:09:43,"2780 N 35TH ST,MKE",7,CALL FOR POLICE,Unable to Locate Complainant
183512763-Unable to Locate Complainant,183512763,2018-12-17 23:34:03,"N 21ST ST / W CENTER ST,MKE",3,ROBBERY ST ARM,Unable to Locate Complainant
183512710-Service in Progress,183512710,2018-12-17 23:33:47,"3365 S 58TH ST,MKE",6,WELFARE CITIZEN,Service in Progress
