ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
190792761-Service in Progress,190792761,2019-03-20 23:29:34,"3800 W WISCONSIN AV,MKE",3,TRAFFIC STOP,Service in Progress
190792749-Service in Progress,190792749,2019-03-20 23:26:25,"9216 W BIRCH AV,MKE",4,SUBJ WITH GUN,Service in Progress
190792755-Service in Progress,190792755,2019-03-20 23:25:21,"700 N MILWAUKEE ST,MKE",1,PARK AND WALK,Service in Progress
190792753-Service in Progress,190792753,2019-03-20 23:25:11,"3626 W FOND DU LAC AV,MKE",7,PRISONER TRANS,Service in Progress
190792699-Unable to Locate Complainant,190792699,2019-03-20 23:15:37,"4825 N 41ST ST,MKE",7,TRBL W/SUBJ,Unable to Locate Complainant
190792725-Advised,190792725,2019-03-20 23:11:30,"1331 W EUCLID AV,MKE",6,TRBL W/SUBJ-DV,Advised
190792716-Assignment Completed,190792716,2019-03-20 23:06:12,"2333 N 49TH ST,MKE",3,REPORTS,Assignment Completed
190792703-Assignment Completed,190792703,2019-03-20 23:00:15,"749 W STATE ST,MKE",1,FOLLOW UP,Assignment Completed
190792617-Open Investigation,190792617,2019-03-20 22:36:43,"317 E GARFIELD AV,MKE",5,THEFT,Open Investigation
190792769-Service in Progress,190792769,2019-03-20 23:34:37,"359 N 33RD ST,MKE",3,CALL FOR POLICE,Service in Progress
190792771-Service in Progress,190792771,2019-03-20 23:34:15,"4325 W BURLEIGH ST,MKE",7,TRAFFIC STOP,Service in Progress
190792766-Advised,190792766,2019-03-20 23:31:41,"N TEUTONIA AV / W SHERIDAN AV,MKE",4,TRAFFIC STOP,Advised
190792759-Assignment Completed,190792759,2019-03-20 23:30:36,"3854 S MINER ST,MKE",6,MEET MFD,Assignment Completed
190792758-Service in Progress,190792758,2019-03-20 23:30:21,"3390 N 97TH PL,MKE",7,WELFARE CITIZEN,Service in Progress
190792761-Advised,190792761,2019-03-20 23:29:34,"3800 W WISCONSIN AV,MKE",3,TRAFFIC STOP,Advised
190792731-Assignment Completed,190792731,2019-03-20 23:15:21,"3000 W LISBON AV,MKE",3,INVESTIGATION,Assignment Completed
190792713-Assignment Completed,190792713,2019-03-20 23:04:46,"780 N JEFFERSON ST,MKE",1,BUSINESS CHECK,Assignment Completed
190792678-Open Investigation,190792678,2019-03-20 22:56:26,"2707 S SUPERIOR ST,MKE",6,TRBL W/SUBJ,Open Investigation
190792774-Service in Progress,190792774,2019-03-20 23:39:06,"5145 N 62ND ST,MKE",7,INJ PERSON/SICK,Service in Progress
190792775-Assignment Completed,190792775,2019-03-20 23:38:13,"749 W STATE ST,MKE",1,OUT OF SERVICE,Assignment Completed
190792772-Service in Progress,190792772,2019-03-20 23:36:18,"6929 W SILVER SPRING DR,MKE",4,MED RUN,Service in Progress
190792773-Service in Progress,190792773,2019-03-20 23:35:47,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Service in Progress
190792784-Assignment Completed,190792784,2019-03-20 23:42:15,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed
190792783-Advised,190792783,2019-03-20 23:41:57,"1535 W MITCHELL ST,MKE",2,TRAFFIC STOP,Advised
190792781-Assignment Completed,190792781,2019-03-20 23:41:18,"1500 W PLAINFIELD AV,MKE",6,PATROL,Assignment Completed
190792778-Service in Progress,190792778,2019-03-20 23:41:14,"2560 N 11TH ST,MKE",3,BATTERY DV,Service in Progress
190792780-Service in Progress,190792780,2019-03-20 23:40:29,"1400 W BECHER ST,MKE",2,PATROL,Service in Progress
190792779-Assignment Completed,190792779,2019-03-20 23:40:06,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed
