ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
190052700-City Citation(s) Issued,190052700,2019-01-05 23:28:53,"4710 S 27TH ST,MKE",6,TRAFFIC STOP,City Citation(s) Issued
190052678-Service in Progress,190052678,2019-01-05 23:26:28,"E STATE ST / N BROADWAY,MKE",1,ENTRY AUTOS,Service in Progress
190052695-Assignment Completed,190052695,2019-01-05 23:24:51,"3800 W FLORIST AV,MKE",4,INVESTIGATION,Assignment Completed
190052625-Advised/Referral,190052625,2019-01-05 23:18:36,"3001 W SILVER SPRING DR,MKE",4,SUBJ WITH GUN,Advised/Referral
190052587-To be Filed,190052587,2019-01-05 22:38:02,"4313 N 75TH ST,MKE",7,BATTERY DV,To be Filed
190052701-Unable to Locate Complainant,190052701,2019-01-05 23:33:56,"S 21ST ST / W GRANT ST,MKE",2,VIOL REST ORDER,Unable to Locate Complainant
190052715-Assignment Completed,190052715,2019-01-05 23:33:54,"E KEEFE AV / N HUBBARD ST,MKE",5,INVESTIGATION,Assignment Completed
190052713-Service in Progress,190052713,2019-01-05 23:33:49,"1000-BLK N OLD WORLD THIRD ST,MKE",1,PARK AND WALK,Service in Progress
190052707-Unable to Locate Complainant,190052707,2019-01-05 23:33:21,"1721 W CANAL ST,MKE",3,DUI,Unable to Locate Complainant
190052710-Service in Progress,190052710,2019-01-05 23:32:53,"6929 W SILVER SPRING DR,MKE",4,ASSIGNMENT,Service in Progress
190052698-Service in Progress,190052698,2019-01-05 23:32:21,"W FOND DU LAC AV / W CENTER ST,MKE",3,ACC PDO,Service in Progress
190052708-Service in Progress,190052708,2019-01-05 23:31:48,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Service in Progress
190052706-Advised,190052706,2019-01-05 23:31:05,"2900 W HIGHLAND BL,MKE",3,TRAFFIC STOP,Advised
190052705-Assignment Completed,190052705,2019-01-05 23:30:50,"4400 N TEUTONIA AV,MKE",5,INVESTIGATION,Assignment Completed
190052704-Service in Progress,190052704,2019-01-05 23:30:24,"1200 N WATER ST,MKE",1,PARK AND WALK,Service in Progress
190052628-Assignment Completed,190052628,2019-01-05 23:17:37,"2750 N 46TH ST,MKE",7,WELFARE CITIZEN,Assignment Completed
190052657-To be Filed,190052657,2019-01-05 23:04:46,"2602 W BURLEIGH ST,MKE",5,SUSP PERS/AUTO,To be Filed
190052616-Assignment Completed,190052616,2019-01-05 22:53:15,"5308 W CENTER ST,MKE",7,SUSP PERS/AUTO,Assignment Completed
190052614-Unable to Locate Complainant,190052614,2019-01-05 22:51:36,"3609 N 80TH ST,MKE",7,SUSP PERS/AUTO,Unable to Locate Complainant
190052578-City Citation(s) Issued,190052578,2019-01-05 22:36:34,"908 S 26TH ST,MKE",2,PROPERTY DAM-DV,City Citation(s) Issued
190052721-Service in Progress,190052721,2019-01-05 23:38:54,"3428 S 20TH ST,MKE",6,ENTRY,Service in Progress
190052723-Advised,190052723,2019-01-05 23:38:26,"N 7TH ST / W KEEFE AV,MKE",5,TRAFFIC STOP,Advised
