ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status
191142880-Service in Progress,191142880,2019-04-24 23:29:48,"6929 W SILVER SPRING DR,MKE",4,CONVEY PROPERTY,Service in Progress
191142876-Service in Progress,191142876,2019-04-24 23:26:44,"2254 S 13TH ST,MKE",2,SUBJ STOP,Service in Progress
191142874-Assignment Completed,191142874,2019-04-24 23:26:11,"9130 W OKLAHOMA AV,WA",OUT,BUSINESS CHECK,Assignment Completed
191142818-Advised,191142818,2019-04-24 23:25:52,"2707 W BURLEIGH ST,MKE",5,TRBL W/SUBJ,Advised
191142407-Service in Progress,191142407,2019-04-24 23:25:39,"2333 N 49TH ST,MKE",3,CONVEY PROPERTY,Service in Progress
191142617-Service in Progress,191142617,2019-04-24 23:25:25,"169 N 60TH ST,MKE",3,FAMILY TROUBLE,Service in Progress
191142868-Unable to Locate Complainant,191142868,2019-04-24 23:24:40,"945 N 12TH ST,MKE",4,WELFARE CITIZEN,Unable to Locate Complainant
191142845-Assignment Completed,191142845,2019-04-24 23:18:12,"N COMMERCE ST / E PLEASANT ST,MKE",5,TRAFFIC HAZARD,Assignment Completed
191142838-Advised,191142838,2019-04-24 23:02:35,"2683 S 9TH PL,MKE",2,SUBJ WITH GUN,Advised
191142826-Assignment Completed,191142826,2019-04-24 22:56:05,"W MILL RD / N 60TH ST,MKE",4,VEHICLE PURSUIT,Assignment Completed
191142893-Assignment Completed,191142893,2019-04-24 23:34:49,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Assignment Completed
191142891-Assignment Completed,191142891,2019-04-24 23:33:50,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed
191142888-Assignment Completed,191142888,2019-04-24 23:33:16,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed
191142696-Advised,191142696,2019-04-24 23:33:05,"2163 N 48TH ST,MKE",3,TRBL W/SUBJ,Advised
191142763-Unable to Locate Complainant,191142763,2019-04-24 23:32:36,"1145 N CALLAHAN PL,MKE",3,TRBL W/SUBJ,Unable to Locate Complainant
191142886-Assignment Completed,191142886,2019-04-24 23:32:35,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Assignment Completed
191142885-Advised,191142885,2019-04-24 23:32:15,"1300 S LAYTON BL,MKE",2,TRAFFIC STOP,Advised
191142881-To be Filed,191142881,2019-04-24 23:30:26,"245 W LINCOLN AV,MKE",2,REPORTS,To be Filed
191142876-Advised,191142876,2019-04-24 23:26:44,"2254 S 13TH ST,MKE",2,SUBJ STOP,Advised
191142884-Advised,191142884,2019-04-24 23:38:44,"510 W CHAMBERS ST,MKE",5,SUBJ WITH WEAPON,Advised
191142901-Assignment Completed,191142901,2019-04-24 23:38:41,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed
191142879-Unable to Locate Complainant,191142879,2019-04-24 23:37:16,"N 69TH ST / W CAPITOL DR,MKE",7,RECK USE OF WEAP,Unable to Locate Complainant
191142895-To be Filed,191142895,2019-04-24 23:36:35,"2920 N VEL R PHILLIPS AV,MKE",5,REPORTS,To be Filed
191142825-Advised,191142825,2019-04-24 23:36:10,"2752 N 19TH ST,MKE",5,CALL FOR POLICE,Advised
191142890-Service in Progress,191142890,2019-04-24 23:36:03,"2323 W CLARKE ST,MKE",3,SUBJ WITH WEAPON,Service in Progress
191142653-Service in Progress,191142653,2019-04-24 23:35:51,"4343 N 50TH ST,MKE",7,FAMILY TROUBLE,Service in Progress
191142744-Service in Progress,191142744,2019-04-24 23:44:14,"N 32ND ST / W MC KINLEY BL,MKE",3,STOLEN VEHICLE,Service in Progress
191142906-Service in Progress,191142906,2019-04-24 23:43:29,"612 W WISCONSIN AV,MKE",1,ALTERED CURRENCY,Service in Progress
191142897-Unable to Locate Complainant,191142897,2019-04-24 23:42:24,"W ATKINSON AV / N 13TH ST,MKE",5,WELFARE CITIZEN,Unable to Locate Complainant
191142904-Assignment Completed,191142904,2019-04-24 23:41:25,"11800 W SILVER SPRING DR,MKE",4,BUSINESS CHECK,Assignment Completed
191142903-Assignment Completed,191142903,2019-04-24 23:41:07,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed
191142918-Service in Progress,191142918,2019-04-24 23:49:49,"4115 N 56TH ST,MKE",7,RETURN STATION,Service in Progress
191142917-Service in Progress,191142917,2019-04-24 23:49:47,"545 W LAYTON AV,MKE",6,BUSINESS CHECK,Service in Progress
191142914-Service in Progress,191142914,2019-04-24 23:47:02,"4702 N 49TH ST,MKE",7,ACC PDO,Service in Progress
191142916-Unable to Locate Complainant,191142916,2019-04-24 23:46:46,"3304 W LISBON AV,MKE",3,SHOTSPOTTER,Unable to Locate Complainant
191142913-Advised,191142913,2019-04-24 23:45:36,"3465 N 3RD ST,MKE",5,TRAFFIC STOP,Advised
191142912-Assignment Completed,191142912,2019-04-24 23:45:23,"N 35TH ST / W SILVER SPRING DR,MKE",4,PATROL,Assignment Completed
191142910-Advised,191142910,2019-04-24 23:45:14,"1300 S LAYTON BL,MKE",2,TRAFFIC STOP,Advised
191142859-Unable to Locate Complainant,191142859,2019-04-24 23:21:55,"945 N 12TH ST,MKE",3,WELFARE CITIZEN,Unable to Locate Complainant
191142789-Service in Progress,191142789,2019-04-24 23:53:42,"3331 W NORTH AV,MKE",3,ACC PDO,Service in Progress
191142922-Assignment Completed,191142922,2019-04-24 23:53:24,"1409 N PROSPECT AV,MKE",1,CALL FOR POLICE,Assignment Completed
191142919-Service in Progress,191142919,2019-04-24 23:51:27,"2410 W HAMPTON AV,MKE",7,VIOL REST ORDER,Service in Progress
191142921-Advised,191142921,2019-04-24 23:51:03,"300 W KEEFE AV,MKE",5,TRAFFIC STOP,Advised
191142935-Service in Progress,191142935,2019-04-24 23:59:56,"N 13TH ST / W ATKINSON AV,MKE",5,TRAFFIC STOP,Service in Progress
191142933-Service in Progress,191142933,2019-04-24 23:59:18,"749 W STATE ST,MKE",1,REPORTS,Service in Progress
191142925-Service in Progress,191142925,2019-04-24 23:58:08,"5550 N 54TH ST,MKE",4,BATTERY DV,Service in Progress
191142928-Assignment Completed,191142928,2019-04-24 23:56:01,"749 W STATE ST,MKE",1,OUT OF SERVICE,Assignment Completed
191142918-Assignment Completed,191142918,2019-04-24 23:49:49,"4115 N 56TH ST,MKE",7,RETURN STATION,Assignment Completed
191142793-Service in Progress,191142793,2019-04-25 00:04:55,"2827 S 11TH ST,MKE",6,ACC PDO,Service in Progress
191142831-Advised,191142831,2019-04-25 00:04:28,"8562 N SERVITE DR,MKE",4,NOISE NUISANCE,Advised
191142930-Service in Progress,191142930,2019-04-25 00:03:35,"5000 W CHAMBERS ST,MKE",7,BATTERY,Service in Progress
191150013-Advised,191150013,2019-04-25 00:03:26,"N FRANKLIN PL / N PROSPECT AV,MKE",1,TRAFFIC STOP,Advised
191150012-Service in Progress,191150012,2019-04-25 00:03:15,"2920 N VEL R PHILLIPS AV,MKE",5,ASSIGN-ADMN MPD,Service in Progress
