,ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status,Cleaned_Location,Coordinates,Error_Logging
0,182552949-Service in Progress,182552949,2018-09-12 23:28:26,"3324 N 36TH ST,MKE",7,SUBJ STOP,Service in Progress,"3324 N 36TH ST,MILWAUKEE","{'lat': 43.079694, 'lng': -87.958015}",
1,182552930-Unable to Locate Complainant,182552930,2018-09-12 23:25:54,"N 19TH ST / W ATKINSON AV,MKE",5,WELFARE CITIZEN,Unable to Locate Complainant,"N 19TH ST & W ATKINSAV,MILWAUKEE","{'lat': 43.088794, 'lng': -87.934457}",
2,182552941-Assignment Completed,182552941,2018-09-12 23:25:17,"749 W STATE ST,MKE",1,POLICE ADMIN,Assignment Completed,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
3,182552936-Unable to Locate Complainant,182552936,2018-09-12 23:24:53,"815 W MEINECKE AV,MKE",3,FIRE,Unable to Locate Complainant,"815 W MEINECKE AV,MILWAUKEE","{'lat': 43.061948, 'lng': -87.921944}",
4,182552924-Advised/Referral,182552924,2018-09-12 23:15:19,"2727 S 60TH ST,MKE",6,BATTERY DV,Advised/Referral,"2727 S 60TH ST,MILWAUKEE","{'lat': 42.994947, 'lng': -87.987974}",
5,182552866-Advised/Referral,182552866,2018-09-12 22:41:05,"6303 W KEEFE AVENUE PK,MKE",7,VIOL REST ORDER,Advised/Referral,"6303 W KEEFE AVENUE PK,MILWAUKEE","{'lat': 43.082269, 'lng': -87.991155}",
6,182552867-Cleared by Arrest,182552867,2018-09-12 22:37:56,"4413 W CAPITOL DR,MKE",7,TRAFFIC STOP,Cleared by Arrest,"4413 W CAPITOL DR,MILWAUKEE","{'lat': 43.089483, 'lng': -87.968849}",
7,182552939-Service in Progress,182552939,2018-09-12 23:34:38,"7718 W HOWARD AV,MKE",6,SUSP PERS/AUTO,Service in Progress,"7718 W HOWARD AV,MILWAUKEE","{'lat': 42.974136, 'lng': -88.009903}",
8,182552956-Service in Progress,182552956,2018-09-12 23:32:30,"3006 S 27TH ST,MKE",6,REPORTS,Service in Progress,"3006 S 27TH ST,MILWAUKEE","{'lat': 42.990377, 'lng': -87.947407}",
9,182552951-Service in Progress,182552951,2018-09-12 23:31:24,"3600 W DOUGLAS AV,MKE",4,SHOTS FIRED,Service in Progress,"3600 W DOUGLAS AV,MILWAUKEE","{'lat': 43.131767, 'lng': -87.957409}",
10,182552922-Assignment Completed,182552922,2018-09-12 23:14:41,"1500 W SONATA DR,MKE",6,SUSP PERS/AUTO,Assignment Completed,"1500 W SONATA DR,MILWAUKEE","{'lat': 42.96955, 'lng': -87.931665}",
11,182552921-Advised,182552921,2018-09-12 23:12:06,"4740 N 37TH ST,MKE",7,CALL FOR POLICE,Advised,"4740 N 37TH ST,MILWAUKEE","{'lat': 43.103475, 'lng': -87.958723}",
12,182552966-Assignment Completed,182552966,2018-09-12 23:39:12,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
13,182552962-Unable to Locate Complainant,182552962,2018-09-12 23:38:56,"2571 W ATKINSON AV,MKE",5,CALL FOR POLICE,Unable to Locate Complainant,"2571 W ATKINSAV,MILWAUKEE","{'lat': 43.095842, 'lng': -87.945197}",
14,182552964-Assignment Completed,182552964,2018-09-12 23:36:55,"N 24TH PL / W AUER AV,MKE",5,PARK AND WALK,Assignment Completed,"N 24TH PL & W AUER AV,MILWAUKEE","{'lat': 43.076954, 'lng': -87.943513}",
15,182552963-Service in Progress,182552963,2018-09-12 23:36:41,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Service in Progress,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
16,182552939-Advised,182552939,2018-09-12 23:34:38,"7718 W HOWARD AV,MKE",6,SUSP PERS/AUTO,Advised,"7718 W HOWARD AV,MILWAUKEE","{'lat': 42.974136, 'lng': -88.009903}",
17,182552956-Assignment Completed,182552956,2018-09-12 23:32:30,"3006 S 27TH ST,MKE",6,REPORTS,Assignment Completed,"3006 S 27TH ST,MILWAUKEE","{'lat': 42.990377, 'lng': -87.947407}",
18,182552949-Advised,182552949,2018-09-12 23:28:26,"3324 N 36TH ST,MKE",7,SUBJ STOP,Advised,"3324 N 36TH ST,MILWAUKEE","{'lat': 43.079694, 'lng': -87.958015}",
19,182552845-Unable to Locate Complainant,182552845,2018-09-12 23:15:44,"3651 N 6TH ST,MKE",5,TRBL W/SUBJ-DV,Unable to Locate Complainant,"3651 N 6TH ST,MILWAUKEE","{'lat': 43.083948, 'lng': -87.918775}",
20,182552906-Open Investigation,182552906,2018-09-12 23:07:44,"1123 N VAN BUREN ST,MKE",1,SHOPLIFTER,Open Investigation,"1123 N VAN BUREN ST,MILWAUKEE","{'lat': 43.045037, 'lng': -87.903996}",
21,182552889-Advised,182552889,2018-09-12 23:05:45,"1842 N 36TH ST,MKE",3,WELFARE CITIZEN,Advised,"1842 N 36TH ST,MILWAUKEE","{'lat': 43.0542, 'lng': -87.958347}",
22,182552817-Advised,182552817,2018-09-12 22:40:51,"5348 N 91ST ST,MKE",4,THEFT,Advised,"5348 N 91ST ST,MILWAUKEE","{'lat': 43.115074, 'lng': -88.025298}",
23,182552926-Service in Progress,182552926,2018-09-12 23:44:33,"S 25TH ST / W NATIONAL AV,MKE",2,TRBL W/SUBJ,Service in Progress,"S 25TH ST & W NATIONAL AV,MILWAUKEE","{'lat': 43.022353, 'lng': -87.945008}",
24,182552965-Service in Progress,182552965,2018-09-12 23:44:33,"4622 S 20TH ST,MKE",6,ENTRY,Service in Progress,"4622 S 20TH ST,MILWAUKEE","{'lat': 42.96099, 'lng': -87.937207}",
25,182552974-Service in Progress,182552974,2018-09-12 23:44:25,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Service in Progress,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
26,182552973-Assignment Completed,182552973,2018-09-12 23:43:54,"2920 N 4TH ST,MKE",5,OUT OF SERVICE,Assignment Completed,"2920 N 4TH ST,MILWAUKEE","{'lat': 43.071738, 'lng': -87.914995}",
27,182552950-Unable to Locate Complainant,182552950,2018-09-12 23:43:25,"3954 W BURNHAM ST,MKE",2,CALL FOR POLICE,Unable to Locate Complainant,"3954 W BURNHAM ST,MILWAUKEE","{'lat': 43.010355, 'lng': -87.963242}",
28,182552970-Unable to Locate Complainant,182552970,2018-09-12 23:42:26,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Unable to Locate Complainant,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
29,182552968-Advised,182552968,2018-09-12 23:41:33,"E MASON ST / N PROSPECT AV,MKE",1,TRAFFIC STOP,Advised,"E MASST & N PROSPECT AV,MILWAUKEE","{'lat': 43.082018, 'lng': -87.889534}",
30,182552899-City Citation(s) Issued,182552899,2018-09-12 23:41:11,"1341 W CENTER ST,MKE",3,THEFT,City Citation(s) Issued,"1341 W CENTER ST,MILWAUKEE","{'lat': 43.06753, 'lng': -87.928951}",
31,182552591-Service in Progress,182552591,2018-09-12 23:47:42,"2761 N 28TH ST,MKE",5,SUBJ WANTED,Service in Progress,"2761 N 28TH ST,MILWAUKEE","{'lat': 43.069242, 'lng': -87.948722}",
32,182552917-Advised,182552917,2018-09-12 23:46:52,"2529 S 9TH ST,MKE",2,NOISE NUISANCE,Advised,"2529 S 9TH ST,MILWAUKEE","{'lat': 42.998489, 'lng': -87.922752}",
33,182552978-Assignment Completed,182552978,2018-09-12 23:46:32,"749 W STATE ST,MKE",1,RETURN STATION,Assignment Completed,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
34,182552975-Assignment Completed,182552975,2018-09-12 23:46:18,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
