,ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status,Cleaned_Location,Coordinates,Error_Logging
0,182572849-Advised,182572849,2018-09-14 23:29:02,"3401 W WELLS ST,MKE",3,NOISE NUISANCE,Advised,"3401 W WELLS ST, MILWAUKEE, WI","{'lat': 43.040448, 'lng': -87.956441}",
1,182572933-Service in Progress,182572933,2018-09-14 23:28:08,"7620 W DONNA CT,MKE",4,INJ PERSON/SICK,Service in Progress,"7620 W DONNA CT, MILWAUKEE, WI","{'lat': 43.172109, 'lng': -88.006142}",
2,182572965-Service in Progress,182572965,2018-09-14 23:28:05,"359 N 33RD ST,MKE",3,WELFARE CITIZEN,Service in Progress,"359 N 33RD ST,MILWAUKEE","{'lat': 43.034334, 'lng': -87.955423}",
3,182572971-Service in Progress,182572971,2018-09-14 23:26:19,"1721 W CANAL ST,MKE",3,BATTERY DV,Service in Progress,"1721 W CANAL ST,MILWAUKEE","{'lat': 43.030391, 'lng': -87.934735}",
4,182572970-To be Filed,182572970,2018-09-14 23:25:29,"3006 S 27TH ST,MKE",6,REPORTS,To be Filed,"3006 S 27TH ST,MILWAUKEE","{'lat': 42.990377, 'lng': -87.947407}",
5,182572952-Advised,182572952,2018-09-14 23:17:10,2710 W VINE ST,3,TRAFFIC STOP,Advised,"2710 W VINE ST, MILWAUKEE, WI","{'lat': 43.055058, 'lng': -87.947682}",
6,182572855-Advised,182572855,2018-09-14 22:50:03,"5631 N 79TH ST,MKE",4,FAMILY TROUBL-DV,Advised,"5631 N 79TH ST,MILWAUKEE","{'lat': 43.120384, 'lng': -88.009995}",
7,182572810-Advised,182572810,2018-09-14 22:36:20,"11333 W SILVER SPRING DR,MKE",4,ACC PDO,Advised,"11333 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.116012, 'lng': -88.054222}",
8,182572990-Service in Progress,182572990,2018-09-14 23:34:52,"720 N MILWAUKEE ST,MKE",1,SUBJ STOP,Service in Progress,"720 N MILWAUKEE ST,MILWAUKEE","{'lat': 43.039284, 'lng': -87.906141}",
9,182572989-Assignment Completed,182572989,2018-09-14 23:34:41,"2920 N 4TH ST,MKE",5,RETURN STATION,Assignment Completed,"2920 N 4TH ST,MILWAUKEE","{'lat': 43.071738, 'lng': -87.914995}",
10,182572988-Service in Progress,182572988,2018-09-14 23:34:35,6530 W FOND DU LAC AV,7,TRAFFIC STOP,Service in Progress,"6530 W FOND DU LAC AV, MILWAUKEE","{'lat': 43.10377, 'lng': -87.993136}",
11,182572985-Service in Progress,182572985,2018-09-14 23:32:35,"1000 N OLD WORLD THIRD ST,MKE",1,SPECIAL ASSIGN,Service in Progress,"1000 N OLD WORLD THIRD ST,MILWAUKEE","{'lat': 43.042768, 'lng': -87.914475}",
12,182572921-City Citation(s) Issued,182572921,2018-09-14 23:08:20,"3101 N BARTLETT AV,MKE",1,TRBL W/SUBJ,City Citation(s) Issued,"3101 N BARTLETT AV,MILWAUKEE","{'lat': 43.074788, 'lng': -87.889363}",
13,182572936-Assignment Completed,182572936,2018-09-14 23:07:34,"N 9TH ST / W KEEFE AV,MKE",5,ACC PDO,Assignment Completed,"N 9TH ST & W KEEFE AV,MILWAUKEE","{'lat': 43.081641, 'lng': -87.922379}",
14,182572900-Advised,182572900,2018-09-14 23:05:57,"6340 W MEDFORD AV,MKE",7,TRBL W/SUBJ,Advised,"6340 W MEDFORD AV,MILWAUKEE","{'lat': 43.100342, 'lng': -87.990767}",
15,182572929-Assignment Completed,182572929,2018-09-14 23:03:43,"N FRATNEY ST / E CENTER ST,MKE",5,PATROL,Assignment Completed,"N FRATNEY ST & E CENTER ST,MILWAUKEE","{'lat': 43.06747, 'lng': -87.901564}",
16,182572626-Unable to Locate Complainant,182572626,2018-09-14 23:03:38,"4128 W BURLEIGH ST,MKE",7,BATTERY,Unable to Locate Complainant,"4128 W BURLEIGH ST,MILWAUKEE","{'lat': 43.07543, 'lng': -87.965302}",
17,182572979-Service in Progress,182572979,2018-09-14 23:37:57,"1227 N MILWAUKEE ST,MKE",1,MEET MFD,Service in Progress,"1227 N MILWAUKEE ST,MILWAUKEE","{'lat': 43.046414, 'lng': -87.907582}",
18,182572986-Service in Progress,182572986,2018-09-14 23:36:14,"1923 S 10TH ST,MKE",2,STOLEN VEHICLE,Service in Progress,"1923 S 10TH ST,MILWAUKEE","{'lat': 43.009659, 'lng': -87.924516}",
