,ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status,Cleaned_Location,Coordinates,Error_Logging
0,182562891-To be Filed,182562891,2018-09-13 23:29:52,"1023 N OLD WORLD THIRD ST,MKE",1,TRBL W/SUBJ,To be Filed,"1023 N OLD WORLD THIRD ST,MILWAUKEE","{'lat': 43.043513, 'lng': -87.914803}",
1,182562890-Assignment Completed,182562890,2018-09-13 23:29:42,"700 N HAWLEY RD,MKE",3,BUS INVESTIGATIO,Assignment Completed,"700 N HAWLEY RD,MILWAUKEE","{'lat': 43.038643, 'lng': -87.98398}",
2,182562889-Assignment Completed,182562889,2018-09-13 23:29:16,"1737 N WATER ST,MKE",1,PARK AND WALK,Assignment Completed,"1737 N WATER ST,MILWAUKEE","{'lat': 43.05382, 'lng': -87.903472}",
3,182562485-Service in Progress,182562485,2018-09-13 23:27:46,"2523 W PIERCE ST,MKE",2,STOLEN VEHICLE,Service in Progress,"2523 W PIERCE ST,MILWAUKEE","{'lat': 43.023952, 'lng': -87.945782}",
4,182562887-Assignment Completed,182562887,2018-09-13 23:27:02,"3476 N HOLTON ST,MKE",5,BUSINESS CHECK,Assignment Completed,"3476 N HOLTST,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
5,182562886-Assignment Completed,182562886,2018-09-13 23:26:44,"3869 S 84TH ST,MKE",6,BUSINESS CHECK,Assignment Completed,"3869 S 84TH ST,MILWAUKEE","{'lat': 42.974045, 'lng': -88.018181}",
6,182562884-Unable to Locate Complainant,182562884,2018-09-13 23:25:59,"2478 N 26TH ST,MKE",3,SHOTSPOTTER,Unable to Locate Complainant,"2478 N 26TH ST,MILWAUKEE","{'lat': 43.064202, 'lng': -87.945811}",
7,182562885-Service in Progress,182562885,2018-09-13 23:25:55,"3006 S 27TH ST,MKE",6,REPORTS,Service in Progress,"3006 S 27TH ST,MILWAUKEE","{'lat': 42.990377, 'lng': -87.947407}",
8,182562881-Assignment Completed,182562881,2018-09-13 23:24:15,"3626 W FOND DU LAC AV,MKE",7,FOLLOW UP,Assignment Completed,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
9,182562875-Assignment Completed,182562875,2018-09-13 23:22:40,"5901 W BLUE MOUND RD,MKE",3,TAVERN CHECK,Assignment Completed,"5901 W BLUE MOUND RD,MILWAUKEE","{'lat': 43.036135, 'lng': -87.986208}",
10,182562870-To be Filed,182562870,2018-09-13 23:19:01,"749 W STATE ST,MKE",1,REPORTS,To be Filed,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
11,182562855-To be Filed,182562855,2018-09-13 23:09:40,"E CENTER ST / N BREMEN ST,MKE",5,PARK AND WALK,To be Filed,"E CENTER ST & N BREMEN ST,MILWAUKEE","{'lat': 43.067462, 'lng': -87.900351}",
12,182562818-To be Filed,182562818,2018-09-13 22:55:59,"N 27TH ST / W CAPITOL DR,MKE",5,ACC PDO,To be Filed,"N 27TH ST & W CAPITOL DR,MILWAUKEE","{'lat': 43.089801, 'lng': -87.947006}",
13,182562613-Assignment Completed,182562613,2018-09-13 22:43:09,"5245 N 37TH ST,MKE",4,SUBJ WANTED,Assignment Completed,"5245 N 37TH ST,MILWAUKEE","{'lat': 43.112906, 'lng': -87.959108}",
14,182562896-Service in Progress,182562896,2018-09-13 23:34:53,"749 W STATE ST,MKE",1,OUT OF SERVICE,Service in Progress,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
15,182562895-Assignment Completed,182562895,2018-09-13 23:34:12,"505 E CAPITOL DR,MKE",5,BUSINESS CHECK,Assignment Completed,"505 E CAPITOL DR,MILWAUKEE","{'lat': 43.088713, 'lng': -87.903768}",
16,182562858-Service in Progress,182562858,2018-09-13 23:33:49,"605 S 1ST ST,MKE",2,NOISE NUISANCE,Service in Progress,"605 S 1ST ST,MILWAUKEE","{'lat': 43.024908, 'lng': -87.911772}",
17,182562669-Advised,182562669,2018-09-13 23:33:31,"5739 W SILVER SPRING DR,MKE",4,THEFT,Advised,"5739 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118741, 'lng': -87.984965}",
18,182562893-Assignment Completed,182562893,2018-09-13 23:32:05,"5200 W VLIET ST,MKE",3,BUS INVESTIGATIO,Assignment Completed,"5200 W VLIET ST,MILWAUKEE","{'lat': 43.048945, 'lng': -87.978816}",
19,182562892-Advised,182562892,2018-09-13 23:30:45,"4620 W MARION ST,MKE",7,TRAFFIC STOP,Advised,"4620 W MARIST,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
20,182562843-Service in Progress,182562843,2018-09-13 23:30:38,"1040 S 29TH ST,MKE",2,TRBL W/SUBJ,Service in Progress,"1040 S 29TH ST,MILWAUKEE","{'lat': 43.020144, 'lng': -87.949855}",
21,182562885-To be Filed,182562885,2018-09-13 23:25:55,"3006 S 27TH ST,MKE",6,REPORTS,To be Filed,"3006 S 27TH ST,MILWAUKEE","{'lat': 42.990377, 'lng': -87.947407}",
