,ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status,Cleaned_Location,Coordinates,Error_Logging
0,182582750-Service in Progress,182582750,2018-09-15 23:28:58,"3239 N 9TH ST,MKE",5,SHOTSPOTTER,Service in Progress,"3239 N 9TH ST,MILWAUKEE","{'lat': 43.076972, 'lng': -87.923018}",
1,182582753-Advised,182582753,2018-09-15 23:28:54,"2947 N CRAMER ST,MKE",1,NOISE NUISANCE,Advised,"2947 N CRAMER ST,MILWAUKEE","{'lat': 43.072058, 'lng': -87.886945}",
2,182582752-Advised,182582752,2018-09-15 23:28:10,"4002 N 24TH ST,MKE",5,TRAFFIC STOP,Advised,"4002 N 24TH ST,MILWAUKEE","{'lat': 43.089759, 'lng': -87.943388}",
3,182582749-Assignment Completed,182582749,2018-09-15 23:27:22,"2242 S KINNICKINNIC AV,MKE",6,BUSINESS CHECK,Assignment Completed,"2242 S KINNICKINNIC AV,MILWAUKEE","{'lat': 43.003779, 'lng': -87.904584}",
4,182582740-Service in Progress,182582740,2018-09-15 23:27:12,"5511 N 34TH ST,MKE",4,BATTERY,Service in Progress,"5511 N 34TH ST,MILWAUKEE","{'lat': 43.117651, 'lng': -87.955337}",
5,182582732-Advised,182582732,2018-09-15 23:26:36,"2707 W BURLEIGH ST,MKE",5,TRBL W/SUBJ,Advised,"2707 W BURLEIGH ST,MILWAUKEE","{'lat': 43.074953, 'lng': -87.947566}",
6,182582742-Unable to Locate Complainant,182582742,2018-09-15 23:25:41,"3418 N 12TH ST,MKE",5,CALL FOR POLICE,Unable to Locate Complainant,"3418 N 12TH ST,MILWAUKEE","{'lat': 43.080581, 'lng': -87.925666}",
7,182582744-Advised,182582744,2018-09-15 23:23:03,"101 W CAPITOL DR,MKE",5,TRAFFIC STOP,Advised,"101 W CAPITOL DR,MILWAUKEE","{'lat': 43.088767, 'lng': -87.911077}",
8,182582598-Advised,182582598,2018-09-15 23:19:28,"1240 S 22ND ST,MKE",2,TRBL W/SUBJ,Advised,"1240 S 22ND ST,MILWAUKEE","{'lat': 43.018097, 'lng': -87.940382}",
9,182582734-Advised,182582734,2018-09-15 23:19:21,"2217 W HOPKINS ST,MKE",5,CALL FOR POLICE,Advised,"2217 W HOPKINS ST,MILWAUKEE","{'lat': 43.07792, 'lng': -87.940469}",
10,182582726-Unable to Locate Complainant,182582726,2018-09-15 23:18:53,"2419 W TOWNSEND ST,MKE",5,CALL FOR POLICE,Unable to Locate Complainant,"2419 W TOWNSEND ST,MILWAUKEE","{'lat': 43.080997, 'lng': -87.944126}",
