,ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status,Cleaned_Location,Coordinates,Error_Logging
0,182551269-Service in Progress,182551269,2018-09-12 12:49:30,"3626 W FOND DU LAC AV,MKE",7,COURT DUTY,Service in Progress,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
1,182551267-Service in Progress,182551267,2018-09-12 12:48:57,"749 W STATE ST,MKE",1,SPECIAL ASSIGN,Service in Progress,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
2,182551191-Advised/Referral,182551191,2018-09-12 12:48:55,"7009 W SILVER SPRING DR,MKE",4,TRBL W/SUBJ,Advised/Referral,"7009 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.119098, 'lng': -87.999648}",
3,182551256-Service in Progress,182551256,2018-09-12 12:48:12,"N 15TH ST / W HADLEY ST,MKE",5,TRBL W/SUBJ,Service in Progress,"N 15TH ST & W HADLEY ST,MILWAUKEE","{'lat': 43.069547, 'lng': -87.931272}",
4,182551265-Assignment Completed,182551265,2018-09-12 12:48:04,"5636 N 79TH ST,MKE",4,VACANT HOUSE CHK,Assignment Completed,"5636 N 79TH ST,MILWAUKEE","{'lat': 43.120495, 'lng': -88.009319}",
5,182551261-Assignment Completed,182551261,2018-09-12 12:47:21,"7009 W SILVER SPRING DR,MKE",4,INVESTIGATION,Assignment Completed,"7009 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.119098, 'lng': -87.999648}",
6,182551258-Advised,182551258,2018-09-12 12:47:17,"2410 E OKLAHOMA AV,MKE",6,LOCKOUT,Advised,"2410 E OKLAHOMA AV,MILWAUKEE","{'lat': 42.988395, 'lng': -87.878639}",
7,182551252-Assignment Completed,182551252,2018-09-12 12:47:13,"906 W HISTORIC MITCHELL ST,MKE",2,TRBL W/SUBJ,Assignment Completed,"906 W HISTORIC MITCHELL ST,MILWAUKEE","{'lat': 43.012603, 'lng': -87.923001}",
8,182551255-Advised,182551255,2018-09-12 12:46:32,"5600 S HOWELL AV,MKE",6,TRAFFIC STOP,Advised,"5600 S HOWELL AV,MILWAUKEE","{'lat': 42.941643, 'lng': -87.909363}",
9,182551251-Service in Progress,182551251,2018-09-12 12:45:18,420 N 27TH STREET,SPD,TRAFFIC STOP,Service in Progress,"420 N 27TH STREET, MILWAUKEE","{'lat': 43.036226, 'lng': -87.947882}",
10,182551250-City Citation(s) Issued,182551250,2018-09-12 12:45:14,"3530 N MARTIN L KING JR DR,MKE",5,TRAFFIC STOP,City Citation(s) Issued,"3530 N DOCTOR M.L.K. DR,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
11,182551212-Unable to Locate Complainant,182551212,2018-09-12 12:45:05,"761 N 25TH ST,MKE",3,LANDLORD/TEN TRB,Unable to Locate Complainant,"761 N 25TH ST,MILWAUKEE","{'lat': 43.040064, 'lng': -87.945212}",
12,182551248-Service in Progress,182551248,2018-09-12 12:45:04,"3245 S 25TH ST,MKE",6,ENTRY,Service in Progress,"3245 S 25TH ST,MILWAUKEE","{'lat': 42.985586, 'lng': -87.946032}",
13,182551247-Service in Progress,182551247,2018-09-12 12:44:28,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Service in Progress,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
14,182551245-Service in Progress,182551245,2018-09-12 12:43:58,"3626 W FOND DU LAC AV,MKE",7,SPECIAL ASSIGN,Service in Progress,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
15,182551243-Assignment Completed,182551243,2018-09-12 12:43:44,"7301 W GOOD HOPE RD,MKE",4,BUSINESS CHECK,Assignment Completed,"7301 W GOOD HOPE RD,MILWAUKEE","{'lat': 43.148528, 'lng': -88.001527}",
16,182551012-Service in Progress,182551012,2018-09-12 12:43:41,"707 S 1ST ST,MKE",2,TRBL W/JUV,Service in Progress,"707 S 1ST ST,MILWAUKEE","{'lat': 43.023933, 'lng': -87.91175}",
17,182551227-Advised,182551227,2018-09-12 12:42:46,"230 S 76TH ST,MKE",3,THEFT,Advised,"230 S 76TH ST,MILWAUKEE","{'lat': 43.029565, 'lng': -88.006756}",
18,182551240-Service in Progress,182551240,2018-09-12 12:42:40,"N MITCHELL BL / N STORY PK,MKE",3,TRAFFIC CONTROL,Service in Progress,"N MITCHELL BL & N STORY PK,MILWAUKEE","{'lat': 43.035499, 'lng': -87.978946}",
19,182551236-Service in Progress,182551236,2018-09-12 12:41:28,"949 N 9TH ST,MKE",1,MED RUN,Service in Progress,"949 N 9TH ST,MILWAUKEE","{'lat': 43.041733, 'lng': -87.923662}",
20,182551234-Service in Progress,182551234,2018-09-12 12:41:22,"N MARSHALL ST / E WELLS ST,MKE",1,ACC PDO,Service in Progress,"N MARSHALL ST & E WELLS ST,MILWAUKEE",,"{'input': {'address_components': {'predirectional': 'N', 'street': 'Marshall', 'suffix': 'St', 'formatted_street': 'N Marshall St', 'city': 'Milwaukee', 'state': 'WI', 'zip': '53202', 'country': 'US'}, 'formatted_address': 'N Marshall St and E Wells St, Milwaukee, WI 53202'}, 'results': []}"
21,182551237-Assignment Completed,182551237,2018-09-12 12:41:17,"4715 W VLIET ST,MKE",3,RETURN STATION,Assignment Completed,"4715 W VLIET ST,MILWAUKEE","{'lat': 43.048316, 'lng': -87.973303}",
22,182551219-Advised,182551219,2018-09-12 12:40:57,"3107 N 44TH ST,MKE",7,TRBL W/SUBJ,Advised,"3107 N 44TH ST,MILWAUKEE","{'lat': 43.075431, 'lng': -87.968916}",
23,182551202-Service in Progress,182551202,2018-09-12 12:40:20,"8435 W BURLEIGH ST,MKE",7,TRBL W/SUBJ,Service in Progress,"8435 W BURLEIGH ST,MILWAUKEE","{'lat': 43.074864, 'lng': -88.0185}",
24,182551108-Service in Progress,182551108,2018-09-12 12:38:54,"3731 W GARFIELD AV,MKE",3,ENTRY AUTOS,Service in Progress,"3731 W GARFIELD AV,MILWAUKEE","{'lat': 43.059066, 'lng': -87.960851}",
25,182551226-Service in Progress,182551226,2018-09-12 12:38:42,"2333 N 49TH ST,MKE",3,SPECIAL ASSIGN,Service in Progress,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
26,182551155-Service in Progress,182551155,2018-09-12 12:38:04,"2429 N 16TH ST,MKE",3,ADDL INFO,Service in Progress,"2429 N 16TH ST,MILWAUKEE","{'lat': 43.062907, 'lng': -87.932893}",
27,182551223-Assignment Completed,182551223,2018-09-12 12:37:32,"245 W LINCOLN AV,MKE",2,RETURN STATION,Assignment Completed,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
28,182551221-Advised/Referral,182551221,2018-09-12 12:35:46,"2449 W FOND DU LAC AV,MKE",3,PROPERTY DAM-DV,Advised/Referral,"2449 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.064195, 'lng': -87.943909}",
29,182551213-Service in Progress,182551213,2018-09-12 12:34:44,"2973 N NEWHALL ST,MKE",1,ENTRY,Service in Progress,"2973 N NEWHALL ST,MILWAUKEE","{'lat': 43.072604, 'lng': -87.890613}",
30,182551216-Service in Progress,182551216,2018-09-12 12:34:24,"7125 N 41ST ST,MKE",4,WIRES DOWN,Service in Progress,"7125 N 41ST ST,MILWAUKEE","{'lat': 43.14731, 'lng': -87.963278}",
31,182551169-Unable to Locate Complainant,182551169,2018-09-12 12:34:12,"2460 N MARTIN L KING JR DR,MKE",5,TRBL W/SUBJ,Unable to Locate Complainant,"2460 N DOCTOR M.L.K. DR,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
32,182551217-Advised,182551217,2018-09-12 12:33:57,"1500 W COLLEGE AV,MKE",6,TRAFFIC STOP,Advised,"1500 W COLLEGE AV,MILWAUKEE","{'lat': 42.931633, 'lng': -87.935047}",
