,ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status,Cleaned_Location,Coordinates,Error_Logging
0,182603076-Service in Progress,182603076,2018-09-17 23:27:50,34/BURNHAM,2,INVESTIGATION,Service in Progress,"34&BURNHAM, MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
1,182603075-Service in Progress,182603075,2018-09-17 23:26:04,"604 S 64TH ST,MKE",3,TAVERN CHECK,Service in Progress,"604 S 64TH ST,MILWAUKEE","{'lat': 43.025832, 'lng': -87.992007}",
2,182603074-Assignment Completed,182603074,2018-09-17 23:25:59,"5600 W CAPITOL DR,MKE",7,RETURN STATION,Assignment Completed,"5600 W CAPITOL DR,MILWAUKEE","{'lat': 43.089303, 'lng': -88.052286}",
3,182603087-Assignment Completed,182603087,2018-09-17 23:34:09,"9101 N 107TH ST,MKE",4,PATROL,Assignment Completed,"9101 N 107TH ST, MILWAUKEE, WI","{'lat': 43.183317, 'lng': -88.045946}",
4,182603086-Advised,182603086,2018-09-17 23:34:02,"5032 N 51ST BL,MKE",7,TRAFFIC STOP,Advised,"5032 N 51ST BL, MILWAUKEE, WI","{'lat': 43.109093, 'lng': -87.975875}",
5,182603079-Service in Progress,182603079,2018-09-17 23:33:41,"8001 W CRAWFORD AV,MKE",6,TRBL W/SUBJ-DV,Service in Progress,"8001 W CRAWFORD AV, MILWAUKEE, WI","{'lat': 42.975253, 'lng': -88.013029}",
6,182603082-Advised,182603082,2018-09-17 23:32:15,"2301 S 6TH ST,MKE",2,TRAFFIC STOP,Advised,"2301 S 6TH ST, MILWAUKEE, WI","{'lat': 43.00267, 'lng': -87.918779}",
7,182603081-Assignment Completed,182603081,2018-09-17 23:31:40,"1400 E BRADY ST,MKE",1,PARK AND WALK,Assignment Completed,"1400 E BRADY ST,MILWAUKEE","{'lat': 43.05327, 'lng': -87.893025}",
8,182603076-Assignment Completed,182603076,2018-09-17 23:27:50,"3400 W BURNHAM ST,MKE",2,INVESTIGATION,Assignment Completed,"3400 W BURNHAM ST, MILWAUKEE, WI","{'lat': 43.010451, 'lng': -87.956036}",
9,182603075-Assignment Completed,182603075,2018-09-17 23:26:04,"604 S 64TH ST,MKE",3,TAVERN CHECK,Assignment Completed,"604 S 64TH ST, MILWAUKEE, WI","{'lat': 43.025832, 'lng': -87.992007}",
10,182603049-Assignment Completed,182603049,2018-09-17 23:18:29,"2900 W OKLAHOMA AV,MKE",6,FIGHT,Assignment Completed,"2900 W OKLAHOMA AV,MILWAUKEE","{'lat': 42.990356, 'lng': -87.9515}",
11,182603046-To be Filed,182603046,2018-09-17 23:14:56,"615 E BRADY ST,MKE",1,TAVERN CHECK,To be Filed,"615 E BRADY ST, MILWAUKEE, WI","{'lat': 43.052716, 'lng': -87.904153}",
12,182603034-Assignment Completed,182603034,2018-09-17 23:12:04,"6275 N DENMARK ST,MKE",4,BATTERY,Assignment Completed,"6275 N DENMARK ST, MILWAUKEE, WI","{'lat': 43.131473, 'lng': -88.032288}",
13,182603032-Advised,182603032,2018-09-17 23:10:04,"3306 N 89TH ST,MKE",7,TRBL W/SUBJ,Advised,"3306 N 89TH ST, MILWAUKEE, WI","{'lat': 43.079043, 'lng': -88.023384}",
14,182603018-Assignment Completed,182603018,2018-09-17 22:58:02,"749 W STATE ST,MKE",1,ASSIGNMENT,Assignment Completed,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
15,182603095-Assignment Completed,182603095,2018-09-17 23:39:59,"9440 W GOOD HOPE RD,MKE",4,BUSINESS CHECK,Assignment Completed,"9440 W GOOD HOPE RD, MILWAUKEE, WI","{'lat': 43.148701, 'lng': -88.029555}",
16,182603094-Assignment Completed,182603094,2018-09-17 23:39:46,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Assignment Completed,"3006 S 27TH ST,MILWAUKEE","{'lat': 42.990377, 'lng': -87.947407}",
17,182603089-Assignment Completed,182603089,2018-09-17 23:35:40,"2920 N 4TH ST,MKE",5,OUT OF SERVICE,Assignment Completed,"2920 N 4TH ST,MILWAUKEE","{'lat': 43.071738, 'lng': -87.914995}",
18,182603078-Service in Progress,182603078,2018-09-17 23:35:36,"245 W LINCOLN AV,MKE",2,MED RUN,Service in Progress,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
19,182603085-Advised,182603085,2018-09-17 23:35:34,"N 81ST ST / W LOCUST ST,MKE",7,SUSP PERS/AUTO,Advised,"N 81ST ST & W LOCUST ST, MILWAUKEE, WI","{'lat': 43.071602, 'lng': -88.013677}",
20,182603103-Assignment Completed,182603103,2018-09-17 23:44:06,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
21,182603104-Assignment Completed,182603104,2018-09-17 23:44:06,"7600 W HAMPTON AV,MKE",7,BUSINESS CHECK,Assignment Completed,"7600 W HAMPTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
22,182603102-Service in Progress,182603102,2018-09-17 23:43:42,"749 W STATE ST,MKE",1,OUT OF SERVICE,Service in Progress,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
23,182603100-Assignment Completed,182603100,2018-09-17 23:42:15,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
24,182603099-Assignment Completed,182603099,2018-09-17 23:42:08,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
25,182603092-Service in Progress,182603092,2018-09-17 23:40:47,"9245 N BURBANK AV,MKE",4,SUBJ WITH WEAPON,Service in Progress,"9245 N BURBANK AV, MILWAUKEE, WI","{'lat': 43.18574, 'lng': -88.015228}",
