,ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status,Cleaned_Location,Coordinates,Error_Logging
0,182592671-Service in Progress,182592671,2018-09-16 23:29:41,"2301 N LAKE DR,MKE",1,HOSPITAL GUARD,Service in Progress,"2301 N LAKE DR,MILWAUKEE","{'lat': 43.061285, 'lng': -87.880087}",
1,182592668-Service in Progress,182592668,2018-09-16 23:29:22,"2725 S 12TH ST,MKE",2,SUBJ WITH GUN,Service in Progress,"2725 S 12TH ST,MILWAUKEE","{'lat': 42.994954, 'lng': -87.927671}",
2,182592670-Advised,182592670,2018-09-16 23:29:10,"101 W CAPITOL DR,MKE",5,TRAFFIC STOP,Advised,"101 W CAPITOL DR,MILWAUKEE","{'lat': 43.088767, 'lng': -87.911077}",
3,182592650-Service in Progress,182592650,2018-09-16 23:28:47,"1100 S 11TH ST,MKE",2,SUSP PERS/AUTO,Service in Progress,"1100 S 11TH ST, MILWAUKEE, WI","{'lat': 43.019829, 'lng': -87.925019}",
4,182592666-Service in Progress,182592666,2018-09-16 23:27:41,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Service in Progress,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
5,182592528-Advised,182592528,2018-09-16 23:12:37,"9415 W SILVER SPRING DR,MKE",4,FAMILY TROUBLE,Advised,"9415 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.119145, 'lng': -88.030081}",
6,182592615-Unable to Locate Complainant,182592615,2018-09-16 23:10:28,"1110 W MAPLE ST,MKE",2,ACC PI,Unable to Locate Complainant,"1110 W MAPLE ST,MILWAUKEE","{'lat': 43.01126, 'lng': -87.926165}",
7,182592616-City Citation(s) Issued,182592616,2018-09-16 22:53:47,"4044 W VERA AV,MKE",4,BATTERY DV,City Citation(s) Issued,"4044 W VERA AV,MILWAUKEE","{'lat': 43.143979, 'lng': -87.962077}",
8,182592601-To be Filed,182592601,2018-09-16 22:50:01,"204 W LAYTON AV,MKE",6,INJ PERSON/SICK,To be Filed,"204 W LAYTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
9,182592510-City Citation(s) Issued,182592510,2018-09-16 22:44:31,"5501 N 76TH ST,MKE",4,BATTERY,City Citation(s) Issued,"5501 N 76TH ST,MILWAUKEE","{'lat': 43.117756, 'lng': -88.006533}",
10,182592678-Assignment Completed,182592678,2018-09-16 23:32:39,"435 S WATER ST,MKE",2,NON PURSUIT NO P,Assignment Completed,"435 S WATER ST, MILWAUKEE, WI","{'lat': 43.026346, 'lng': -87.906167}",
11,182592672-Service in Progress,182592672,2018-09-16 23:30:06,"146 E JUNEAU AV,MKE",1,SPECIAL ASSIGN,Service in Progress,"146 E JUNEAU AV,MILWAUKEE","{'lat': 43.045961, 'lng': -87.911528}",
12,182592666-Assignment Completed,182592666,2018-09-16 23:27:41,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
13,182592658-Assignment Completed,182592658,2018-09-16 23:20:42,"4115 N 56TH ST,MKE",7,POLICE ADMIN,Assignment Completed,"4115 N 56TH ST,MILWAUKEE","{'lat': 43.091323, 'lng': -87.984621}",
14,182592627-Open Investigation,182592627,2018-09-16 23:03:16,"9324 W BROWN DEER RD,MKE",4,SHOTS FIRED,Open Investigation,"9324 W BROWN DEER RD,MILWAUKEE","{'lat': 43.178191, 'lng': -88.026913}",
15,182592694-Assignment Completed,182592694,2018-09-16 23:39:40,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Assignment Completed,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
16,182592517-Advised,182592517,2018-09-16 23:39:39,"3410 N NEWHALL ST,MKE",1,TRBL W/SUBJ-DV,Advised,"3410 N NEWHALL ST, MILWAUKEE, WI","{'lat': 43.079757, 'lng': -87.88981}",
17,182592690-Service in Progress,182592690,2018-09-16 23:38:39,"749 W STATE ST,MKE",1,OUT OF SERVICE,Service in Progress,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
18,182592687-Assignment Completed,182592687,2018-09-16 23:37:29,"232 W LOCUST ST,MKE",5,BUSINESS CHECK,Assignment Completed,"232 W LOCUST ST,MILWAUKEE","{'lat': 43.071516, 'lng': -87.913503}",
19,182592685-Service in Progress,182592685,2018-09-16 23:37:05,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Service in Progress,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
20,182592680-Unable to Locate Complainant,182592680,2018-09-16 23:36:53,"2153 W MORGAN AV,MKE",6,CALL FOR POLICE,Unable to Locate Complainant,"2153 W MORGAN AV, MILWAUKEE, WI","{'lat': 42.981028, 'lng': -87.941296}",
21,182592681-Advised,182592681,2018-09-16 23:35:21,"4400 W MEINECKE AV,MKE",3,TRAFFIC STOP,Advised,"4400 W MEINECKE AV, MILWAUKEE, WI","{'lat': 43.062293, 'lng': -87.968857}",
22,182592669-Service in Progress,182592669,2018-09-16 23:43:49,"2433 W NATIONAL AV,MKE",2,SHOTS FIRED,Service in Progress,"2433 W NATIONAL AV, MILWAUKEE, WI","{'lat': 43.02207, 'lng': -87.944613}",
23,182592701-Assignment Completed,182592701,2018-09-16 23:43:18,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
24,182592700-Assignment Completed,182592700,2018-09-16 23:42:11,"2920 N 4TH ST,MKE",5,OUT OF SERVICE,Assignment Completed,"2920 N 4TH ST,MILWAUKEE","{'lat': 43.071738, 'lng': -87.914995}",
25,182592688-Service in Progress,182592688,2018-09-16 23:41:43,"N 9TH ST / W SOMERS ST,MKE",5,SHOTS FIRED,Service in Progress,"N 9TH ST & W SOMERS ST, MILWAUKEE, WI","{'lat': 43.050024, 'lng': -87.922559}",
26,182592698-Assignment Completed,182592698,2018-09-16 23:41:12,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
27,182592691-Service in Progress,182592691,2018-09-16 23:40:28,"1212 W VINE ST,MKE",3,SHOTSPOTTER,Service in Progress,"1212 W VINE ST, MILWAUKEE, WI","{'lat': 43.054134, 'lng': -87.927534}",
28,182592690-Assignment Completed,182592690,2018-09-16 23:38:39,"749 W STATE ST,MKE",1,OUT OF SERVICE,Assignment Completed,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
29,182592685-Assignment Completed,182592685,2018-09-16 23:37:05,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
30,182592704-Unable to Locate Complainant,182592704,2018-09-16 23:48:08,"1500-BLK S 22ND ST,MKE",2,SHOTS FIRED,Unable to Locate Complainant,"1500- S 22ND ST, MILWAUKEE, WI","{'lat': 43.016155, 'lng': -87.940877}",
31,182592696-Service in Progress,182592696,2018-09-16 23:47:12,"4221 W CAPITOL DR,MKE",7,SUBJ WITH WEAPON,Service in Progress,"4221 W CAPITOL DR, MILWAUKEE, WI","{'lat': 43.089511, 'lng': -87.96597}",
32,182592703-Assignment Completed,182592703,2018-09-16 23:45:16,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
33,182592669-Advised,182592669,2018-09-16 23:43:49,"2433 W NATIONAL AV,MKE",2,SHOTS FIRED,Advised,"2433 W NATIONAL AV, MILWAUKEE, WI","{'lat': 43.02207, 'lng': -87.944613}",
34,182592709-Assignment Completed,182592709,2018-09-16 23:50:50,"749 W STATE ST,MKE",1,OUT OF SERVICE,Assignment Completed,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
35,182592707-Unable to Locate Complainant,182592707,2018-09-16 23:50:11,"S MUSKEGO AV / W MITCHELL ST,MKE",2,SHOTS FIRED,Unable to Locate Complainant,"S MUSKEGO AVE & W MITCHELL ST, MILWAUKEE, WI","{'lat': 43.01236, 'lng': -87.937929}",
36,182592708-Unable to Locate Complainant,182592708,2018-09-16 23:50:04,"3829 N 42ND ST,MKE",7,SHOTS FIRED,Unable to Locate Complainant,"3829 N 42ND ST, MILWAUKEE, WI","{'lat': 43.087105, 'lng': -87.96579}",
37,182592706-Assignment Completed,182592706,2018-09-16 23:48:04,"N 60TH ST / W SILVER SPRING DR,MKE",4,TRAFFIC HAZARD,Assignment Completed,"N 60TH ST & W SILVER SPRING DR,MILWAUKEE","{'lat': 43.119325, 'lng': -87.986127}",
38,182592696-Unable to Locate Complainant,182592696,2018-09-16 23:47:12,"4221 W CAPITOL DR,MKE",7,SUBJ WITH WEAPON,Unable to Locate Complainant,"4221 W CAPITOL DR, MILWAUKEE, WI","{'lat': 43.089511, 'lng': -87.96597}",
